"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.4201,2.49,2.42,2.49,3600,"BHTG","NASDAQ"
2019-05-31,2.47,2.47,2.37,2.42,3200,"BHTG","NASDAQ"
2019-06-03,2.42,2.43,2.25,2.288,13200,"BHTG","NASDAQ"
2019-06-04,2.2999,2.3,2.24,2.25,26400,"BHTG","NASDAQ"
2019-06-05,2.26,2.414,2.25,2.25,12100,"BHTG","NASDAQ"
2019-06-06,2.25,2.26,2.15,2.15,11800,"BHTG","NASDAQ"
2019-06-07,2.25,2.25,2.13,2.13,13800,"BHTG","NASDAQ"
2019-06-10,2.16,2.16,2.05,2.05,8400,"BHTG","NASDAQ"
2019-06-11,2.08,2.1,2.03,2.04,20400,"BHTG","NASDAQ"
2019-06-12,2.04,2.08,1.95,1.95,9200,"BHTG","NASDAQ"
2019-06-13,1.96,2,1.96,1.963,14300,"BHTG","NASDAQ"
2019-06-14,2.01,2.44,2,2.01,13000,"BHTG","NASDAQ"
2019-06-17,2.0702,2.07,1.995,2,22600,"BHTG","NASDAQ"
2019-06-18,2.02,2.02,1.88,1.88,20900,"BHTG","NASDAQ"
2019-06-19,2.125,2.125,1.89,1.89,9400,"BHTG","NASDAQ"
2019-06-20,1.94,1.995,1.88,1.88,11100,"BHTG","NASDAQ"
2019-06-21,1.88,1.949,1.88,1.88,19800,"BHTG","NASDAQ"
2019-06-24,1.93,1.93,1.81,1.81,5200,"BHTG","NASDAQ"
2019-06-25,1.89,1.89,1.67,1.69,30300,"BHTG","NASDAQ"
2019-06-26,1.86,1.86,1.6,1.82,43700,"BHTG","NASDAQ"
2019-06-27,1.81,1.86,1.69,1.731,8000,"BHTG","NASDAQ"
2019-06-28,1.82,1.85,1.78,1.78,5200,"BHTG","NASDAQ"
2019-07-01,1.766,1.91,1.766,1.83,5100,"BHTG","NASDAQ"
2019-07-02,1.91,1.94,1.789,1.789,15100,"BHTG","NASDAQ"
2019-07-03,1.86,1.92,1.77,1.77,5000,"BHTG","NASDAQ"
2019-07-05,1.881,1.881,1.834,1.85,3100,"BHTG","NASDAQ"
2019-07-08,1.82,1.82,1.8,1.8,1500,"BHTG","NASDAQ"
2019-07-09,1.8499,1.87,1.72,1.775,8900,"BHTG","NASDAQ"
2019-07-10,1.72,1.85,1.72,1.759,3600,"BHTG","NASDAQ"
2019-07-11,1.8,1.8,1.71,1.71,2700,"BHTG","NASDAQ"
2019-07-12,1.8,1.8,1.73,1.73,5600,"BHTG","NASDAQ"
2019-07-15,1.72,1.794,1.72,1.755,1800,"BHTG","NASDAQ"
2019-07-16,1.75,1.75,1.729,1.739,2400,"BHTG","NASDAQ"
2019-07-17,1.75,1.75,1.711,1.72,7000,"BHTG","NASDAQ"
2019-07-18,1.78,1.8,1.6699,1.67,20300,"BHTG","NASDAQ"
2019-07-19,1.7,1.8,1.7,1.8,5300,"BHTG","NASDAQ"
2019-07-22,1.84,1.94,1.818,1.94,15600,"BHTG","NASDAQ"
2019-07-23,1.99,2.389,1.99,2.3,31000,"BHTG","NASDAQ"
2019-07-24,2.37,2.38,2.2,2.37,28200,"BHTG","NASDAQ"
2019-07-25,2.42,2.5,2.27,2.5,59500,"BHTG","NASDAQ"
2019-07-26,2.5,2.5,2.29,2.39,63400,"BHTG","NASDAQ"
2019-07-29,2.4,2.48,2.37,2.37,14800,"BHTG","NASDAQ"
2019-07-30,2.33,2.47,2.33,2.45,5400,"BHTG","NASDAQ"
2019-07-31,2.44,2.44,2.3,2.3,11300,"BHTG","NASDAQ"
2019-08-01,2.32,2.38,2.19,2.21,4400,"BHTG","NASDAQ"
2019-08-02,2.185,2.25,2.04,2.04,3000,"BHTG","NASDAQ"
2019-08-05,2.02,2.02,1.9,1.93,8400,"BHTG","NASDAQ"
2019-08-06,1.97,2.272,1.97,2.22,6800,"BHTG","NASDAQ"
2019-08-07,2.3,2.31,2.03,2.2,11400,"BHTG","NASDAQ"
2019-08-08,2.19,2.29,2.01,2.17,11400,"BHTG","NASDAQ"
2019-08-09,2.15,2.2,2.13,2.13,1200,"BHTG","NASDAQ"
2019-08-12,2.09,2.4,1.9719,2.4,6200,"BHTG","NASDAQ"
2019-08-13,2.1499,2.26,2.131,2.23,10700,"BHTG","NASDAQ"
2019-08-14,2.209,2.2199,2.209,2.21,1200,"BHTG","NASDAQ"
2019-08-15,2.1,2.11,1.9,2.11,6000,"BHTG","NASDAQ"
2019-08-16,2.15,2.2,2.15,2.2,6500,"BHTG","NASDAQ"
2019-08-19,2.02,2.18,2.02,2.18,1800,"BHTG","NASDAQ"
2019-08-20,2.2,2.2,2.06,2.17,4700,"BHTG","NASDAQ"
2019-08-21,2.14,2.14,2.046,2.14,6800,"BHTG","NASDAQ"
2019-08-22,2.15,2.15,2.04,2.05,5800,"BHTG","NASDAQ"
2019-08-23,2.04,2.07,1.918,1.971,10400,"BHTG","NASDAQ"
2019-08-26,1.97,2.04,1.97,2.015,1800,"BHTG","NASDAQ"
2019-08-27,1.97,2.006,1.97,2.006,700,"BHTG","NASDAQ"
2019-08-28,2.05,2.18,2.05,2.12,8500,"BHTG","NASDAQ"
2019-08-29,2.18,2.19,2.08,2.19,19300,"BHTG","NASDAQ"
2019-08-30,2.17,2.18,2.08,2.08,1300,"BHTG","NASDAQ"
2019-09-03,2.03,2.07,1.9,2.06,11500,"BHTG","NASDAQ"
2019-09-04,2.011,2.08,2,2.061,10800,"BHTG","NASDAQ"
2019-09-05,2.059,2.17,2.059,2.115,17600,"BHTG","NASDAQ"
2019-09-06,2.1,2.2,1.803,2.03,92700,"BHTG","NASDAQ"
2019-09-09,2.05,2.05,1.77,1.86,67700,"BHTG","NASDAQ"
2019-09-10,1.91,1.95,1.84,1.85,12600,"BHTG","NASDAQ"
2019-09-11,1.85,1.9,1.838,1.89,11500,"BHTG","NASDAQ"
2019-09-12,1.89,1.986,1.83,1.855,49000,"BHTG","NASDAQ"
2019-09-13,1.88,1.89,1.82,1.84,29600,"BHTG","NASDAQ"
2019-09-16,1.84,1.84,1.799,1.8,17000,"BHTG","NASDAQ"
2019-09-17,1.885,1.89,1.7,1.7,38500,"BHTG","NASDAQ"
2019-09-18,1.75,1.77,1.7,1.7,15500,"BHTG","NASDAQ"
2019-09-19,1.73,1.78,1.61,1.78,22200,"BHTG","NASDAQ"
2019-09-20,1.75,1.845,1.67,1.81,28500,"BHTG","NASDAQ"
2019-09-23,1.83,1.85,1.741,1.79,30700,"BHTG","NASDAQ"
2019-09-24,1.826,1.826,1.765,1.77,31100,"BHTG","NASDAQ"
2019-09-25,1.795,1.92,1.78,1.79,86900,"BHTG","NASDAQ"
2019-09-26,1.82,1.86,1.81,1.83,24000,"BHTG","NASDAQ"
2019-09-27,1.87,1.87,1.75,1.76,8100,"BHTG","NASDAQ"
2019-09-30,1.8,1.84,1.75,1.75,33800,"BHTG","NASDAQ"
2019-10-01,1.76,1.77,1.76,1.76,4700,"BHTG","NASDAQ"
2019-10-02,1.75,1.76,1.72,1.72,6700,"BHTG","NASDAQ"
2019-10-03,1.72,1.77,1.62,1.63,35600,"BHTG","NASDAQ"
2019-10-04,1.64,1.75,1.61,1.75,24700,"BHTG","NASDAQ"
2019-10-07,1.71,1.736,1.62,1.68,16600,"BHTG","NASDAQ"
2019-10-08,1.65,1.689,1.61,1.65,1800,"BHTG","NASDAQ"
2019-10-09,1.69,1.761,1.67,1.691,6000,"BHTG","NASDAQ"
2019-10-10,1.66,1.722,1.66,1.68,3200,"BHTG","NASDAQ"
2019-10-11,1.65,1.66,1.62,1.634,22300,"BHTG","NASDAQ"
2019-10-14,1.64,1.692,1.57,1.57,15900,"BHTG","NASDAQ"
2019-10-15,1.58,1.62,1.56,1.62,10600,"BHTG","NASDAQ"
2019-10-16,1.62,1.69,1.57,1.59,45900,"BHTG","NASDAQ"
2019-10-17,1.62,1.69,1.58,1.58,8200,"BHTG","NASDAQ"
2019-10-18,1.64,1.64,1.583,1.583,12435,"BHTG","NASDAQ"
