"times","open","high","low","close","volume","symbol","market"
2019-05-30,13.93,14.05,13.82,13.89,1532700,"BILI","NASDAQ"
2019-05-31,13.63,13.72,13.2997,13.5,2886300,"BILI","NASDAQ"
2019-06-03,13.51,13.795,13.23,13.48,5497300,"BILI","NASDAQ"
2019-06-04,13.45,14.275,13.27,14.11,5363800,"BILI","NASDAQ"
2019-06-05,14.42,14.45,13.48,13.99,6164700,"BILI","NASDAQ"
2019-06-06,13.8996,14.34,13.73,14.17,2654300,"BILI","NASDAQ"
2019-06-07,14.15,15.1,14.1,14.8,5002000,"BILI","NASDAQ"
2019-06-10,14.91,15.31,14.88,15.06,3584400,"BILI","NASDAQ"
2019-06-11,15.51,15.629,14.545,14.92,5314200,"BILI","NASDAQ"
2019-06-12,14.56,14.78,14.41,14.69,1471300,"BILI","NASDAQ"
2019-06-13,14.62,14.8,14.25,14.48,3091900,"BILI","NASDAQ"
2019-06-14,14.33,14.45,14.01,14.27,2575900,"BILI","NASDAQ"
2019-06-17,14.2,14.58,14.19,14.36,1461100,"BILI","NASDAQ"
2019-06-18,14.59,15.5,14.5,15.16,4473100,"BILI","NASDAQ"
2019-06-19,15.23,15.34,14.95,15.19,955000,"BILI","NASDAQ"
2019-06-20,15.57,15.93,15.48,15.58,3130600,"BILI","NASDAQ"
2019-06-21,15.34,15.57,15.1,15.44,2675600,"BILI","NASDAQ"
2019-06-24,15.44,16.24,15.28,16.07,3683600,"BILI","NASDAQ"
2019-06-25,15.88,16.14,15.47,15.64,2839100,"BILI","NASDAQ"
2019-06-26,15.9,16.23,15.9,15.97,1905400,"BILI","NASDAQ"
2019-06-27,16.07,16.25,15.94,16.1,2739800,"BILI","NASDAQ"
2019-06-28,15.89,16.28,15.82,16.27,1853900,"BILI","NASDAQ"
2019-07-01,16.55,16.82,16.26,16.48,4575000,"BILI","NASDAQ"
2019-07-02,16.42,16.7,16.25,16.61,2952500,"BILI","NASDAQ"
2019-07-03,16.6,16.66,16.3006,16.63,1189600,"BILI","NASDAQ"
2019-07-05,16.52,16.8,16.4,16.74,956300,"BILI","NASDAQ"
2019-07-08,16.5,16.6094,16.4,16.56,1076200,"BILI","NASDAQ"
2019-07-09,16.3,16.66,16.183,16.6,1391200,"BILI","NASDAQ"
2019-07-10,16.7,16.83,16.48,16.59,2012500,"BILI","NASDAQ"
2019-07-11,16.65,16.7,16.33,16.47,1145800,"BILI","NASDAQ"
2019-07-12,16.6,16.75,16.325,16.4,1399700,"BILI","NASDAQ"
2019-07-15,16.58,16.66,16.405,16.45,1491300,"BILI","NASDAQ"
2019-07-16,16.5,16.55,16.055,16.07,1327600,"BILI","NASDAQ"
2019-07-17,16.1,16.1,15.36,15.58,2816900,"BILI","NASDAQ"
2019-07-18,15.5,15.625,15.06,15.53,1997900,"BILI","NASDAQ"
2019-07-19,15.66,15.8,15.425,15.54,2031700,"BILI","NASDAQ"
2019-07-22,15.78,16.24,15.41,15.56,2589000,"BILI","NASDAQ"
2019-07-23,15.78,16.18,15.7,15.71,4330800,"BILI","NASDAQ"
2019-07-24,15.84,15.95,15.72,15.8,1909900,"BILI","NASDAQ"
2019-07-25,15.87,15.99,15.5,15.7,2056100,"BILI","NASDAQ"
2019-07-26,15.76,16.2,15.75,15.96,1748500,"BILI","NASDAQ"
2019-07-29,16,16.15,15.77,16.13,1537100,"BILI","NASDAQ"
2019-07-30,15.9,16.03,15.37,15.49,2580400,"BILI","NASDAQ"
2019-07-31,15.5,15.5,14.9,15.15,3207400,"BILI","NASDAQ"
2019-08-01,15.25,15.49,14.6,14.75,2556100,"BILI","NASDAQ"
2019-08-02,14.7,14.7902,14.21,14.72,2139600,"BILI","NASDAQ"
2019-08-05,14.2,14.295,13.61,13.81,7192500,"BILI","NASDAQ"
2019-08-06,14.26,14.54,13.8802,13.95,4844600,"BILI","NASDAQ"
2019-08-07,14.16,14.39,13.67,14.04,4303800,"BILI","NASDAQ"
2019-08-08,14.19,14.36,13.94,14.19,2475100,"BILI","NASDAQ"
2019-08-09,14.09,14.113,13.86,13.91,2122600,"BILI","NASDAQ"
2019-08-12,13.75,14.01,13.7,13.84,1691300,"BILI","NASDAQ"
2019-08-13,13.88,14.07,13.73,14.01,4253700,"BILI","NASDAQ"
2019-08-14,13.699,13.96,13.55,13.81,2014400,"BILI","NASDAQ"
2019-08-15,13.92,14.13,13.9,14.01,1028400,"BILI","NASDAQ"
2019-08-16,14.29,14.78,14.28,14.52,2501800,"BILI","NASDAQ"
2019-08-19,14.85,15.011,14.4,14.5,3142200,"BILI","NASDAQ"
2019-08-20,14.42,14.58,14.21,14.31,1697500,"BILI","NASDAQ"
2019-08-21,14.5,14.54,14.32,14.41,1427500,"BILI","NASDAQ"
2019-08-22,14.56,14.74,14.35,14.7,2945000,"BILI","NASDAQ"
2019-08-23,14.58,15.34,14.58,14.7,4211200,"BILI","NASDAQ"
2019-08-26,15.12,15.15,14,14.5,7836000,"BILI","NASDAQ"
2019-08-27,14.31,14.9,13.85,13.92,6020000,"BILI","NASDAQ"
2019-08-28,13.81,13.86,13.36,13.53,4262600,"BILI","NASDAQ"
2019-08-29,13.75,14.02,13.58,13.7,2736800,"BILI","NASDAQ"
2019-08-30,13.75,14.248,13.75,14.05,2268700,"BILI","NASDAQ"
2019-09-03,13.81,14.44,13.81,14.16,2755300,"BILI","NASDAQ"
2019-09-04,14.32,14.32,13.7,13.77,4553800,"BILI","NASDAQ"
2019-09-05,14,14.65,14,14.59,7928200,"BILI","NASDAQ"
2019-09-06,14.7,14.89,14.36,14.46,3314000,"BILI","NASDAQ"
2019-09-09,14.48,14.515,14.24,14.34,1597700,"BILI","NASDAQ"
2019-09-10,14.27,14.9,14.16,14.87,3981500,"BILI","NASDAQ"
2019-09-11,14.98,15.28,14.8,15.21,4430400,"BILI","NASDAQ"
2019-09-12,15.3,15.36,14.91,15.14,3548100,"BILI","NASDAQ"
2019-09-13,15.2,15.28,14.94,15.06,1693400,"BILI","NASDAQ"
2019-09-16,14.9,15.195,14.87,15,2288000,"BILI","NASDAQ"
2019-09-17,14.91,15.305,14.83,15.24,1678200,"BILI","NASDAQ"
2019-09-18,15.24,15.35,14.96,15.21,1889900,"BILI","NASDAQ"
2019-09-19,15.24,15.43,15.1,15.1,1769200,"BILI","NASDAQ"
2019-09-20,15.09,15.48,15.03,15.26,2801000,"BILI","NASDAQ"
2019-09-23,15.24,15.33,14.97,15.1,1560500,"BILI","NASDAQ"
2019-09-24,15.1,15.19,14.45,14.6,3471200,"BILI","NASDAQ"
2019-09-25,14.52,14.945,14.41,14.89,2742000,"BILI","NASDAQ"
2019-09-26,14.94,15.13,14.81,15.02,1813000,"BILI","NASDAQ"
2019-09-27,15.05,15.29,14.05,14.33,3475300,"BILI","NASDAQ"
2019-09-30,14.47,14.55,14.07,14.12,1441300,"BILI","NASDAQ"
2019-10-01,14.14,14.2,13.74,13.8,2090100,"BILI","NASDAQ"
2019-10-02,13.69,13.929,13.61,13.8,1844000,"BILI","NASDAQ"
2019-10-03,13.85,14.23,13.639,14.22,1568000,"BILI","NASDAQ"
2019-10-04,14.17,14.25,13.85,13.92,1346300,"BILI","NASDAQ"
2019-10-07,13.88,13.95,13.57,13.64,2375600,"BILI","NASDAQ"
2019-10-08,13.57,13.6,13.23,13.44,2636400,"BILI","NASDAQ"
2019-10-09,13.78,13.82,13.525,13.79,1363700,"BILI","NASDAQ"
2019-10-10,13.81,14.076,13.79,14.01,1448300,"BILI","NASDAQ"
2019-10-11,14.56,14.8,14.32,14.37,2744400,"BILI","NASDAQ"
2019-10-14,14.26,14.43,14.15,14.35,989500,"BILI","NASDAQ"
2019-10-15,14.44,14.63,14.36,14.51,939100,"BILI","NASDAQ"
2019-10-16,14.45,14.56,14.1,14.56,1357800,"BILI","NASDAQ"
2019-10-17,14.63,14.69,14.3,14.35,2952600,"BILI","NASDAQ"
2019-10-18,14.3,14.55,14.25,14.41,1268043,"BILI","NASDAQ"
