"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.2,3.468,3.2,3.245,40900,"BIMI","NASDAQ"
2019-05-31,3.443,3.443,3.01,3.03,23100,"BIMI","NASDAQ"
2019-06-03,3.15,3.15,2.82,2.82,12100,"BIMI","NASDAQ"
2019-06-04,3.06,3.06,2.885,3,31700,"BIMI","NASDAQ"
2019-06-05,3,3,2.82,3,10300,"BIMI","NASDAQ"
2019-06-06,2.98,2.98,2.824,2.9,10400,"BIMI","NASDAQ"
2019-06-07,2.99,2.99,2.8,2.969,5700,"BIMI","NASDAQ"
2019-06-10,2.938,3.1,2.804,2.97,18400,"BIMI","NASDAQ"
2019-06-11,2.94,3.15,2.84,2.989,78700,"BIMI","NASDAQ"
2019-06-12,2.9199,3.09,2.82,3.02,96700,"BIMI","NASDAQ"
2019-06-13,3.02,3.021,2.84,2.86,13200,"BIMI","NASDAQ"
2019-06-14,2.85,2.895,2.51,2.595,26600,"BIMI","NASDAQ"
2019-06-17,2.64,2.7501,2.573,2.75,7400,"BIMI","NASDAQ"
2019-06-18,2.77,2.88,2.65,2.84,146300,"BIMI","NASDAQ"
2019-06-19,2.7199,2.85,2.68,2.68,5900,"BIMI","NASDAQ"
2019-06-20,2.66,2.74,2.6,2.67,28300,"BIMI","NASDAQ"
2019-06-21,2.6,2.74,2.54,2.54,15900,"BIMI","NASDAQ"
2019-06-24,2.51,2.51,2.2,2.21,28700,"BIMI","NASDAQ"
2019-06-25,2.38,2.38,2.31,2.35,2800,"BIMI","NASDAQ"
2019-06-26,2.34,2.4,2.3,2.4,4800,"BIMI","NASDAQ"
2019-06-27,2.47,2.47,2.37,2.39,2300,"BIMI","NASDAQ"
2019-06-28,2.3102,2.4,2.31,2.37,5100,"BIMI","NASDAQ"
2019-07-01,2.31,2.47,2.31,2.42,7600,"BIMI","NASDAQ"
2019-07-02,2.5,2.56,2.46,2.56,22100,"BIMI","NASDAQ"
2019-07-03,2.56,2.9,2.5,2.9,14500,"BIMI","NASDAQ"
2019-07-05,2.85,2.85,2.61,2.67,11100,"BIMI","NASDAQ"
2019-07-08,2.6701,2.67,2.49,2.65,9300,"BIMI","NASDAQ"
2019-07-09,2.5499,2.66,2.5,2.51,11500,"BIMI","NASDAQ"
2019-07-10,2.8,2.8,2.51,2.59,14700,"BIMI","NASDAQ"
2019-07-11,2.52,2.52,2.35,2.5,22900,"BIMI","NASDAQ"
2019-07-12,2.45,4,2.4,2.77,259000,"BIMI","NASDAQ"
2019-07-15,2.55,2.91,2.53,2.62,39900,"BIMI","NASDAQ"
2019-07-16,2.8,2.8,2.55,2.63,19700,"BIMI","NASDAQ"
2019-07-17,2.64,2.68,2.4,2.46,18300,"BIMI","NASDAQ"
2019-07-18,2.35,2.79,2.14,2.55,61100,"BIMI","NASDAQ"
2019-07-19,2.66,2.7,2.42,2.43,12400,"BIMI","NASDAQ"
2019-07-22,2.43,2.43,2.27,2.36,24800,"BIMI","NASDAQ"
2019-07-23,2.29,2.65,2.29,2.36,59000,"BIMI","NASDAQ"
2019-07-24,2.46,2.6,2.4,2.43,56000,"BIMI","NASDAQ"
2019-07-25,2.4,2.48,2.33,2.48,21400,"BIMI","NASDAQ"
2019-07-26,2.31,2.53,2.31,2.46,8000,"BIMI","NASDAQ"
2019-07-29,2.48,2.57,2.38,2.5,16100,"BIMI","NASDAQ"
2019-07-30,2.5,2.71,2.46,2.65,43000,"BIMI","NASDAQ"
2019-07-31,2.67,3.07,2.25,2.31,68400,"BIMI","NASDAQ"
2019-08-01,2.25,2.52,2.25,2.34,16800,"BIMI","NASDAQ"
2019-08-02,2.3,2.57,2.3,2.32,12800,"BIMI","NASDAQ"
2019-08-05,2.29,2.29,2.15,2.25,12700,"BIMI","NASDAQ"
2019-08-06,2.21,2.29,2.15,2.18,7200,"BIMI","NASDAQ"
2019-08-07,2.161,2.304,2.13,2.26,42600,"BIMI","NASDAQ"
2019-08-08,2.284,2.389,2.173,2.3,20100,"BIMI","NASDAQ"
2019-08-09,2.31,2.35,2.15,2.18,8000,"BIMI","NASDAQ"
2019-08-12,2.2,2.28,2.18,2.25,7800,"BIMI","NASDAQ"
2019-08-13,2.34,2.34,2.16,2.16,20300,"BIMI","NASDAQ"
2019-08-14,2.22,2.2299,2.16,2.18,15500,"BIMI","NASDAQ"
2019-08-15,2.18,2.18,2.0603,2.14,3100,"BIMI","NASDAQ"
2019-08-16,2.22,2.31,2.14,2.14,10600,"BIMI","NASDAQ"
2019-08-19,2.18,2.18,2.07,2.12,9700,"BIMI","NASDAQ"
2019-08-20,2.15,2.18,2.07,2.13,16900,"BIMI","NASDAQ"
2019-08-21,2.08,2.24,2.06,2.14,44100,"BIMI","NASDAQ"
2019-08-22,2.14,2.28,2.09,2.1,35100,"BIMI","NASDAQ"
2019-08-23,2.15,2.35,2.05,2.08,86700,"BIMI","NASDAQ"
2019-08-26,2.07,2.25,2.07,2.14,38900,"BIMI","NASDAQ"
2019-08-27,2.17,2.4,2.16,2.21,76500,"BIMI","NASDAQ"
2019-08-28,2.21,2.24,2.13,2.15,11600,"BIMI","NASDAQ"
2019-08-29,2.15,2.45,2.14,2.45,55200,"BIMI","NASDAQ"
2019-08-30,2.38,2.38,2.15,2.15,42000,"BIMI","NASDAQ"
2019-09-03,2.14,2.2,1.77,1.81,79400,"BIMI","NASDAQ"
2019-09-04,1.93,1.93,1.61,1.61,24600,"BIMI","NASDAQ"
2019-09-05,1.61,1.61,1.4,1.46,43600,"BIMI","NASDAQ"
2019-09-06,1.54,1.56,1.42,1.45,14000,"BIMI","NASDAQ"
2019-09-09,1.43,1.44,1.2,1.42,4800,"BIMI","NASDAQ"
2019-09-10,1.42,1.71,1.4,1.57,93000,"BIMI","NASDAQ"
2019-09-11,1.58,1.58,1.51,1.56,16500,"BIMI","NASDAQ"
2019-09-12,1.57,1.75,1.4,1.65,202600,"BIMI","NASDAQ"
2019-09-13,1.66,1.66,1.53,1.53,15300,"BIMI","NASDAQ"
2019-09-16,1.55,1.7,1.5,1.55,16700,"BIMI","NASDAQ"
2019-09-17,1.54,1.55,1.48,1.54,7000,"BIMI","NASDAQ"
2019-09-18,1.54,1.54,1.45,1.46,14800,"BIMI","NASDAQ"
2019-09-19,1.52,1.52,1.3,1.34,27600,"BIMI","NASDAQ"
2019-09-20,1.32,1.38,1.27,1.33,15400,"BIMI","NASDAQ"
2019-09-23,1.38,1.38,1.33,1.33,6700,"BIMI","NASDAQ"
2019-09-24,1.35,1.35,1.27,1.32,8300,"BIMI","NASDAQ"
2019-09-25,1.37,1.37,1.3,1.3,5500,"BIMI","NASDAQ"
2019-09-26,1.3,1.3,1.2,1.24,8800,"BIMI","NASDAQ"
2019-09-27,1.23,1.28,1.13,1.15,48500,"BIMI","NASDAQ"
2019-09-30,1.15,1.15,1.03,1.09,11500,"BIMI","NASDAQ"
2019-10-01,1.09,1.22,1.08,1.11,18200,"BIMI","NASDAQ"
2019-10-02,1.12,1.12,1.06,1.09,15000,"BIMI","NASDAQ"
2019-10-03,1.1,1.1,1.06,1.07,9100,"BIMI","NASDAQ"
2019-10-04,1.1,1.1,1.07,1.08,3700,"BIMI","NASDAQ"
2019-10-07,1.08,1.1,1.05,1.05,11100,"BIMI","NASDAQ"
2019-10-08,1.1,1.1,1.05,1.09,6400,"BIMI","NASDAQ"
2019-10-09,1.09,1.09,1.06,1.07,6100,"BIMI","NASDAQ"
2019-10-10,1.1,1.31,1.1,1.23,81700,"BIMI","NASDAQ"
2019-10-11,1.38,1.49,1.25,1.48,53800,"BIMI","NASDAQ"
2019-10-14,1.55,9.79,1.51,9,26963700,"BIMI","NASDAQ"
2019-10-15,11.11,12,4.93,5.82,8031700,"BIMI","NASDAQ"
2019-10-16,4.43,5.79,4.42,4.64,1677500,"BIMI","NASDAQ"
2019-10-17,4.65,6.2,4.4,5.22,2093600,"BIMI","NASDAQ"
2019-10-18,5.5,6.8799,5.11,5.6,1155925,"BIMI","NASDAQ"
