"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.95,2.03,1.95,2.03,497300,"BIOS","NASDAQ"
2019-05-31,2.02,2.0799,1.98,2.07,755000,"BIOS","NASDAQ"
2019-06-03,2.06,2.1,1.935,1.99,1099400,"BIOS","NASDAQ"
2019-06-04,2,2.15,1.98,2.14,683000,"BIOS","NASDAQ"
2019-06-05,2.14,2.25,2.1199,2.2,992200,"BIOS","NASDAQ"
2019-06-06,2.18,2.188,2.07,2.16,1021400,"BIOS","NASDAQ"
2019-06-07,2.17,2.1799,2.12,2.16,294000,"BIOS","NASDAQ"
2019-06-10,2.14,2.19,2.1399,2.19,339500,"BIOS","NASDAQ"
2019-06-11,2.19,2.21,2.14,2.18,457700,"BIOS","NASDAQ"
2019-06-12,2.17,2.19,2.1,2.13,592400,"BIOS","NASDAQ"
2019-06-13,2.14,2.21,2.14,2.2,754300,"BIOS","NASDAQ"
2019-06-14,2.19,2.2501,2.17,2.22,576200,"BIOS","NASDAQ"
2019-06-17,2.22,2.36,2.2,2.34,2015800,"BIOS","NASDAQ"
2019-06-18,2.36,2.414,2.29,2.31,613700,"BIOS","NASDAQ"
2019-06-19,2.32,2.33,2.25,2.32,344100,"BIOS","NASDAQ"
2019-06-20,2.35,2.4,2.28,2.33,650500,"BIOS","NASDAQ"
2019-06-21,2.33,2.37,2.285,2.31,1397300,"BIOS","NASDAQ"
2019-06-24,2.31,2.35,2.22,2.29,817700,"BIOS","NASDAQ"
2019-06-25,2.3,2.34,2.251,2.3,258600,"BIOS","NASDAQ"
2019-06-26,2.3,2.33,2.275,2.29,250600,"BIOS","NASDAQ"
2019-06-27,2.2998,2.45,2.3,2.45,1217100,"BIOS","NASDAQ"
2019-06-28,2.44,2.6,2.42,2.6,1786800,"BIOS","NASDAQ"
2019-07-01,2.64,2.66,2.5,2.5,1083900,"BIOS","NASDAQ"
2019-07-02,2.5,2.502,2.3898,2.5,425400,"BIOS","NASDAQ"
2019-07-03,2.51,2.555,2.48,2.5,268200,"BIOS","NASDAQ"
2019-07-05,2.49,2.62,2.42,2.61,826400,"BIOS","NASDAQ"
2019-07-08,2.61,2.65,2.55,2.64,688800,"BIOS","NASDAQ"
2019-07-09,2.64,2.65,2.51,2.6,642000,"BIOS","NASDAQ"
2019-07-10,2.61,2.67,2.48,2.5,898600,"BIOS","NASDAQ"
2019-07-11,2.54,2.54,2.42,2.51,695000,"BIOS","NASDAQ"
2019-07-12,2.53,2.63,2.51,2.6,798200,"BIOS","NASDAQ"
2019-07-15,2.6,2.82,2.59,2.76,4108500,"BIOS","NASDAQ"
2019-07-16,2.77,2.96,2.74,2.87,2490500,"BIOS","NASDAQ"
2019-07-17,2.88,2.91,2.82,2.89,741500,"BIOS","NASDAQ"
2019-07-18,2.89,2.93,2.75,2.78,534200,"BIOS","NASDAQ"
2019-07-19,2.75,2.91,2.74,2.85,1008800,"BIOS","NASDAQ"
2019-07-22,2.87,2.92,2.76,2.87,833800,"BIOS","NASDAQ"
2019-07-23,2.88,2.95,2.81,2.88,552300,"BIOS","NASDAQ"
2019-07-24,2.87,2.92,2.85,2.86,477600,"BIOS","NASDAQ"
2019-07-25,2.85,2.86,2.68,2.75,729400,"BIOS","NASDAQ"
2019-07-26,2.77,2.84,2.77,2.79,472900,"BIOS","NASDAQ"
2019-07-29,2.77,2.87,2.76,2.76,332400,"BIOS","NASDAQ"
2019-07-30,2.81,2.92,2.7,2.88,1149600,"BIOS","NASDAQ"
2019-07-31,2.9,2.92,2.82,2.83,843300,"BIOS","NASDAQ"
2019-08-01,2.83,2.9,2.79,2.84,1005900,"BIOS","NASDAQ"
2019-08-02,2.85,3.01,2.77,2.79,1376900,"BIOS","NASDAQ"
2019-08-05,2.78,2.82,2.66,2.73,1002600,"BIOS","NASDAQ"
2019-08-06,2.73,2.83,2.62,2.67,553500,"BIOS","NASDAQ"
2019-08-07,2.71,2.79,2.64,2.77,307800,"BIOS","NASDAQ"
2019-08-08,2.85,3.19,2.82,2.96,2356300,"BIOS","NASDAQ"
2019-08-09,2.96,3,2.86,2.92,538000,"BIOS","NASDAQ"
2019-08-12,2.92,3.08,2.87,3.06,1189800,"BIOS","NASDAQ"
2019-08-13,3.06,3.23,3.01,3.08,816700,"BIOS","NASDAQ"
2019-08-14,3.01,3.04,2.89,2.93,590300,"BIOS","NASDAQ"
2019-08-15,2.93,2.97,2.76,2.95,1032200,"BIOS","NASDAQ"
2019-08-16,2.95,3.0799,2.93,3.01,484800,"BIOS","NASDAQ"
2019-08-19,3.05,3.1,2.98,3.07,549400,"BIOS","NASDAQ"
2019-08-20,3.03,3.18,3.03,3.1,608800,"BIOS","NASDAQ"
2019-08-21,3.11,3.32,3.09,3.25,1053800,"BIOS","NASDAQ"
2019-08-22,3.25,3.37,3.21,3.32,801700,"BIOS","NASDAQ"
2019-08-23,3.29,3.42,3.27,3.31,1325000,"BIOS","NASDAQ"
2019-08-26,3.37,3.44,3.34,3.4,999900,"BIOS","NASDAQ"
2019-08-27,3.4,3.48,3.26,3.31,971900,"BIOS","NASDAQ"
2019-08-28,3.27,3.46,3.27,3.37,651000,"BIOS","NASDAQ"
2019-08-29,3.41,3.49,3.35,3.45,929900,"BIOS","NASDAQ"
2019-08-30,3.49,3.53,3.4,3.5,961800,"BIOS","NASDAQ"
2019-09-03,3.49,3.51,3.43,3.49,1079400,"BIOS","NASDAQ"
2019-09-04,3.5,3.51,3.32,3.34,921600,"BIOS","NASDAQ"
2019-09-05,3.35,3.51,3.34,3.5,1169300,"BIOS","NASDAQ"
2019-09-06,3.49,3.51,3.44,3.47,503400,"BIOS","NASDAQ"
2019-09-09,3.49,3.5,3.4,3.44,497600,"BIOS","NASDAQ"
2019-09-10,3.43,3.45,3.21,3.22,1352600,"BIOS","NASDAQ"
2019-09-11,3.25,3.32,3.22,3.31,1395000,"BIOS","NASDAQ"
2019-09-12,3.33,3.5,3.31,3.41,3582300,"BIOS","NASDAQ"
2019-09-13,3.45,3.63,3.45,3.53,1884500,"BIOS","NASDAQ"
2019-09-16,3.58,3.58,3.47,3.51,1067100,"BIOS","NASDAQ"
2019-09-17,3.48,3.53,3.44,3.48,976300,"BIOS","NASDAQ"
2019-09-18,3.57,3.86,3.56,3.64,5202600,"BIOS","NASDAQ"
2019-09-19,3.66,3.82,3.65,3.68,3033000,"BIOS","NASDAQ"
2019-09-20,3.71,3.86,3.7,3.75,2225800,"BIOS","NASDAQ"
2019-09-23,3.77,3.78,3.58,3.64,1195400,"BIOS","NASDAQ"
2019-09-24,3.65,3.72,3.51,3.54,1405900,"BIOS","NASDAQ"
2019-09-25,3.54,3.54,3.46,3.52,848800,"BIOS","NASDAQ"
2019-09-26,3.49,3.51,3.27,3.45,1524000,"BIOS","NASDAQ"
2019-09-27,3.46,3.5,3.27,3.27,1140600,"BIOS","NASDAQ"
2019-09-30,3.25,3.33,3.19,3.2,929800,"BIOS","NASDAQ"
2019-10-01,3.19,3.25,2.99,3.01,1105900,"BIOS","NASDAQ"
2019-10-02,2.97,3.07,2.93,3.05,1017500,"BIOS","NASDAQ"
2019-10-03,3.02,3.12,2.95,3.08,745000,"BIOS","NASDAQ"
2019-10-04,3.1,3.18,3.05,3.18,757600,"BIOS","NASDAQ"
2019-10-07,3.17,3.32,3.12,3.3,832500,"BIOS","NASDAQ"
2019-10-08,3.26,3.31,3.22,3.25,532500,"BIOS","NASDAQ"
2019-10-09,3.27,3.37,3.25,3.32,467000,"BIOS","NASDAQ"
2019-10-10,3.32,3.36,3.27,3.34,448900,"BIOS","NASDAQ"
2019-10-11,3.36,3.41,3.34,3.37,445500,"BIOS","NASDAQ"
2019-10-14,3.36,3.4,3.32,3.39,395900,"BIOS","NASDAQ"
2019-10-15,3.39,3.54,3.37,3.5,765900,"BIOS","NASDAQ"
2019-10-16,3.5,3.5,3.42,3.46,497200,"BIOS","NASDAQ"
2019-10-17,3.44,3.64,3.43,3.58,698600,"BIOS","NASDAQ"
2019-10-18,3.6,3.64,3.53,3.64,540039,"BIOS","NASDAQ"
