"times","open","high","low","close","volume","symbol","market"
2019-05-30,19.78,20.1,19.64,19.85,46500,"BIS","NASDAQ"
2019-05-31,20.2,20.58,20.15,20.54,90600,"BIS","NASDAQ"
2019-06-03,20.31,20.35,19.65,20.04,46800,"BIS","NASDAQ"
2019-06-04,19.53,19.86,19.22,19.22,73100,"BIS","NASDAQ"
2019-06-05,19.03,19.52,19.03,19.25,60300,"BIS","NASDAQ"
2019-06-06,19.21,19.69,19.21,19.68,42400,"BIS","NASDAQ"
2019-06-07,19.48,19.57,18.96,19,29000,"BIS","NASDAQ"
2019-06-10,18.9,19.22,18.71,19.18,26400,"BIS","NASDAQ"
2019-06-11,18.81,19.45,18.78,19.43,59000,"BIS","NASDAQ"
2019-06-12,19.38,19.55,19.14,19.14,34100,"BIS","NASDAQ"
2019-06-13,19.0595,19.25,18.89,18.89,28800,"BIS","NASDAQ"
2019-06-14,19.01,19.29,18.87,19.26,41900,"BIS","NASDAQ"
2019-06-17,18.87,18.87,18.07,18.14,37800,"BIS","NASDAQ"
2019-06-18,17.91,17.98,17.43,17.68,102900,"BIS","NASDAQ"
2019-06-19,17.62,17.71,17.42,17.43,28300,"BIS","NASDAQ"
2019-06-20,17.06,17.45,16.81,17.27,88000,"BIS","NASDAQ"
2019-06-21,17.37,17.66,17.04,17.05,56100,"BIS","NASDAQ"
2019-06-24,17.08,17.8,17.08,17.78,115700,"BIS","NASDAQ"
2019-06-25,17.47,17.8,17.28,17.72,87800,"BIS","NASDAQ"
2019-06-26,17.65,18.2,17.65,18.13,62400,"BIS","NASDAQ"
2019-06-27,17.95,17.951,17.57,17.6,36100,"BIS","NASDAQ"
2019-06-28,17.52,17.52,17,17.04,45100,"BIS","NASDAQ"
2019-07-01,16.5801,16.99,16.53,16.84,50300,"BIS","NASDAQ"
2019-07-02,16.85,17.07,16.83,16.84,77600,"BIS","NASDAQ"
2019-07-03,16.72,16.84,16.48,16.49,58700,"BIS","NASDAQ"
2019-07-05,16.72,16.99,16.51,16.94,69700,"BIS","NASDAQ"
2019-07-08,17.17,17.73,17.17,17.47,51100,"BIS","NASDAQ"
2019-07-09,17.67,17.7011,17.08,17.08,45000,"BIS","NASDAQ"
2019-07-10,16.91,17.59,16.89,17.21,53300,"BIS","NASDAQ"
