"times","open","high","low","close","volume","symbol","market"
2019-05-30,42.18,43.43,42.14,43.03,415500,"BJRI","NASDAQ"
2019-05-31,42.32,42.67,41.79,41.89,505700,"BJRI","NASDAQ"
2019-06-03,41.74,42.28,41.22,41.84,738200,"BJRI","NASDAQ"
2019-06-04,42.19,43.61,42.19,43.08,333900,"BJRI","NASDAQ"
2019-06-05,43.19,43.5,42.21,42.39,434400,"BJRI","NASDAQ"
2019-06-06,42.73,42.73,41.6991,42.57,517400,"BJRI","NASDAQ"
2019-06-07,42.69,44.06,41.68,43.26,632900,"BJRI","NASDAQ"
2019-06-10,43.42,43.99,42.41,42.45,399200,"BJRI","NASDAQ"
2019-06-11,42.54,43.25,41.24,41.42,409800,"BJRI","NASDAQ"
2019-06-12,41.38,41.46,40.64,40.91,404600,"BJRI","NASDAQ"
2019-06-13,41.25,41.98,41.12,41.44,599300,"BJRI","NASDAQ"
2019-06-14,43.44,46.17,42.32,42.37,898900,"BJRI","NASDAQ"
2019-06-17,42.27,43.37,41.81,42.64,461200,"BJRI","NASDAQ"
2019-06-18,42.7078,43.11,42.22,42.61,497600,"BJRI","NASDAQ"
2019-06-19,42.62,42.65,40.92,41.33,528900,"BJRI","NASDAQ"
2019-06-20,41.35,44.586,40.49,44.28,873500,"BJRI","NASDAQ"
2019-06-21,44.07,44.74,42.68,42.79,583800,"BJRI","NASDAQ"
2019-06-24,43.05,44.39,43.05,43.6,728200,"BJRI","NASDAQ"
2019-06-25,43.29,43.844,42.25,43,813500,"BJRI","NASDAQ"
2019-06-26,43.08,43.08,41.25,41.89,513200,"BJRI","NASDAQ"
2019-06-27,42.06,43.18,41.71,43,310000,"BJRI","NASDAQ"
2019-06-28,43.97,44.11,42.915,43.94,352000,"BJRI","NASDAQ"
2019-07-01,44.55,44.56,42.865,42.97,465100,"BJRI","NASDAQ"
2019-07-02,42.83,43.37,41.94,43.11,469200,"BJRI","NASDAQ"
2019-07-03,43.04,44.13,42.847,43.65,205000,"BJRI","NASDAQ"
2019-07-05,43.51,44.835,43.45,44.68,227200,"BJRI","NASDAQ"
2019-07-08,44.37,44.45,42.92,43.61,437900,"BJRI","NASDAQ"
2019-07-09,43.25,43.5913,42.7,43.24,275100,"BJRI","NASDAQ"
2019-07-10,43.28,43.28,41.8,42.25,468900,"BJRI","NASDAQ"
2019-07-11,42.41,42.6,41.33,42.04,496600,"BJRI","NASDAQ"
2019-07-12,41.89,42.08,40.77,41.98,592100,"BJRI","NASDAQ"
2019-07-15,41.51,41.89,39.6,39.7,696200,"BJRI","NASDAQ"
2019-07-16,39.6007,40.71,39.28,40.47,412900,"BJRI","NASDAQ"
2019-07-17,40.55,41.5391,40.07,41.17,511700,"BJRI","NASDAQ"
2019-07-18,41.05,42.23,40.61,41.94,640600,"BJRI","NASDAQ"
2019-07-19,41.93,42.41,40.87,40.92,577200,"BJRI","NASDAQ"
2019-07-22,40.92,41.39,39.92,40.2,452400,"BJRI","NASDAQ"
2019-07-23,40.07,40.53,38.47,40.3,758400,"BJRI","NASDAQ"
2019-07-24,40,42,39.92,41.67,940700,"BJRI","NASDAQ"
2019-07-25,41.26,41.59,38.65,38.75,1383800,"BJRI","NASDAQ"
2019-07-26,37.54,40.02,36.77,39.75,1618800,"BJRI","NASDAQ"
2019-07-29,39.46,40.67,39.42,40.38,806300,"BJRI","NASDAQ"
2019-07-30,39.99,40.28,39.2,40.14,524500,"BJRI","NASDAQ"
2019-07-31,40.29,40.53,39.08,39.7,496900,"BJRI","NASDAQ"
2019-08-01,39.61,40.07,39.12,39.75,656600,"BJRI","NASDAQ"
2019-08-02,39.7,39.98,38.24,38.61,485200,"BJRI","NASDAQ"
2019-08-05,37.92,38.01,36.8011,36.91,501300,"BJRI","NASDAQ"
2019-08-06,36.93,37.59,36.79,37.25,489700,"BJRI","NASDAQ"
2019-08-07,36.89,37.56,36.17,36.39,479000,"BJRI","NASDAQ"
2019-08-08,36.5532,38.43,36.34,38.42,573200,"BJRI","NASDAQ"
2019-08-09,38.05,38.35,37.39,37.44,289200,"BJRI","NASDAQ"
2019-08-12,37.14,37.28,35.88,36.55,372200,"BJRI","NASDAQ"
2019-08-13,36.39,37.855,35.63,35.97,565700,"BJRI","NASDAQ"
2019-08-14,35.5,36.02,33.35,33.36,1030500,"BJRI","NASDAQ"
2019-08-15,33.66,33.95,32.62,32.73,888100,"BJRI","NASDAQ"
2019-08-16,33.88,35.98,33.7074,35.85,828100,"BJRI","NASDAQ"
2019-08-19,36.2,36.84,35.51,36.19,366800,"BJRI","NASDAQ"
2019-08-20,35.97,36.15,35.27,35.48,338100,"BJRI","NASDAQ"
2019-08-21,35.96,36.13,35.43,35.78,403200,"BJRI","NASDAQ"
2019-08-22,36.23,37.36,35.89,36.9,438800,"BJRI","NASDAQ"
2019-08-23,36.67,37.25,36.41,36.51,382700,"BJRI","NASDAQ"
2019-08-26,36.91,36.96,36.39,36.57,345500,"BJRI","NASDAQ"
2019-08-27,36.76,36.84,35.33,35.41,324400,"BJRI","NASDAQ"
2019-08-28,35.13,36.55,35.13,36.3,410200,"BJRI","NASDAQ"
2019-08-29,36.65,37.81,36.39,37.21,349000,"BJRI","NASDAQ"
2019-08-30,37.4,37.68,36.02,36.44,388100,"BJRI","NASDAQ"
2019-09-03,36.28,36.83,35.05,35.13,338800,"BJRI","NASDAQ"
2019-09-04,35.83,35.96,35.17,35.71,232300,"BJRI","NASDAQ"
2019-09-05,36.25,37.22,36.15,36.97,279700,"BJRI","NASDAQ"
2019-09-06,37.08,37.84,36.83,37.19,334600,"BJRI","NASDAQ"
2019-09-09,37.37,38.7,37.19,38.61,429000,"BJRI","NASDAQ"
2019-09-10,38.3,39.77,37.97,39.74,320400,"BJRI","NASDAQ"
2019-09-11,40.03,40.22,39,39.3,382800,"BJRI","NASDAQ"
2019-09-12,39.4,39.43,38.71,39.26,343100,"BJRI","NASDAQ"
2019-09-13,39.45,40.02,38.54,39.9,382300,"BJRI","NASDAQ"
2019-09-16,39.75,40.2,39.37,39.59,334600,"BJRI","NASDAQ"
2019-09-17,39.69,39.82,37.66,38.45,331900,"BJRI","NASDAQ"
2019-09-18,38.47,38.5,37.62,38.04,308500,"BJRI","NASDAQ"
2019-09-19,37.88,37.88,36.23,36.26,493100,"BJRI","NASDAQ"
2019-09-20,36.02,36.51,35.58,35.77,721600,"BJRI","NASDAQ"
2019-09-23,35.52,36.02,35.14,35.76,5e+05,"BJRI","NASDAQ"
2019-09-24,35.96,36.15,35.19,36,456000,"BJRI","NASDAQ"
2019-09-25,35.9,37.33,35.68,36.84,315200,"BJRI","NASDAQ"
2019-09-26,36.85,37.39,36.41,37.19,332800,"BJRI","NASDAQ"
2019-09-27,37.51,38.17,37.51,37.94,291200,"BJRI","NASDAQ"
2019-09-30,37.97,39.38,37.97,38.84,437200,"BJRI","NASDAQ"
2019-10-01,38.97,39.68,37.85,37.88,318700,"BJRI","NASDAQ"
2019-10-02,37.62,37.62,36.69,37.32,307500,"BJRI","NASDAQ"
2019-10-03,37.06,37.5,36.14,37.31,244900,"BJRI","NASDAQ"
2019-10-04,37.31,37.66,35.97,36.22,280800,"BJRI","NASDAQ"
2019-10-07,35.95,36.87,35.53,36.44,260500,"BJRI","NASDAQ"
2019-10-08,35.92,36.6,35.59,36.33,184800,"BJRI","NASDAQ"
2019-10-09,36.61,36.96,35.49,35.53,307400,"BJRI","NASDAQ"
2019-10-10,35.53,36.36,34.99,35.31,424300,"BJRI","NASDAQ"
2019-10-11,35.71,36.59,35.64,35.98,324200,"BJRI","NASDAQ"
2019-10-14,35.89,35.89,34,34.55,445700,"BJRI","NASDAQ"
2019-10-15,34.56,34.99,33.24,34.77,391500,"BJRI","NASDAQ"
2019-10-16,34.82,35.57,34.77,35.1,308400,"BJRI","NASDAQ"
2019-10-17,34.89,35.24,34.41,34.96,327800,"BJRI","NASDAQ"
2019-10-18,34.53,35.23,33.78,34.98,511512,"BJRI","NASDAQ"
