"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.08,1.09,1.04,1.06,156800,"BKEP","NASDAQ"
2019-05-31,1.06,1.09,1.04,1.08,69600,"BKEP","NASDAQ"
2019-06-03,1.08,1.1,1.045,1.05,114700,"BKEP","NASDAQ"
2019-06-04,1.06,1.08,1.01,1.08,112300,"BKEP","NASDAQ"
2019-06-05,1.08,1.16,1.08,1.16,143600,"BKEP","NASDAQ"
2019-06-06,1.16,1.16,1.08,1.108,138900,"BKEP","NASDAQ"
2019-06-07,1.1,1.14,1.1,1.112,92400,"BKEP","NASDAQ"
2019-06-10,1.13,1.13,1.09,1.12,103200,"BKEP","NASDAQ"
2019-06-11,1.11,1.12,1.0499,1.1,208500,"BKEP","NASDAQ"
2019-06-12,1.09,1.095,1.07,1.08,38600,"BKEP","NASDAQ"
2019-06-13,1.08,1.09,1.04,1.07,158900,"BKEP","NASDAQ"
2019-06-14,1.07,1.11,1.05,1.08,101900,"BKEP","NASDAQ"
2019-06-17,1.05,1.096,1.05,1.07,72000,"BKEP","NASDAQ"
2019-06-18,1.08,1.1,1.06,1.07,72100,"BKEP","NASDAQ"
2019-06-19,1.07,1.1,1.07,1.09,64000,"BKEP","NASDAQ"
2019-06-20,1.09,1.12,1.077,1.1,103200,"BKEP","NASDAQ"
2019-06-21,1.1,1.15,1.1,1.12,90100,"BKEP","NASDAQ"
2019-06-24,1.13,1.15,1.1,1.123,62600,"BKEP","NASDAQ"
2019-06-25,1.14,1.15,1.11,1.14,67600,"BKEP","NASDAQ"
2019-06-26,1.14,1.16,1.11,1.12,93500,"BKEP","NASDAQ"
2019-06-27,1.13,1.15,1.125,1.15,56700,"BKEP","NASDAQ"
2019-06-28,1.16,1.17,1.15,1.16,81400,"BKEP","NASDAQ"
2019-07-01,1.17,1.17,1.15,1.16,64200,"BKEP","NASDAQ"
2019-07-02,1.16,1.17,1.139,1.17,88600,"BKEP","NASDAQ"
2019-07-03,1.18,1.27,1.18,1.24,283700,"BKEP","NASDAQ"
2019-07-05,1.29,1.34,1.27,1.333,414100,"BKEP","NASDAQ"
2019-07-08,1.37,1.5,1.29,1.37,373000,"BKEP","NASDAQ"
2019-07-09,1.34,1.35,1.28,1.3,140100,"BKEP","NASDAQ"
2019-07-10,1.3,1.33,1.3,1.31,121700,"BKEP","NASDAQ"
2019-07-11,1.35,1.4,1.33,1.4,214300,"BKEP","NASDAQ"
2019-07-12,1.44,1.54,1.41,1.42,361100,"BKEP","NASDAQ"
2019-07-15,1.45,1.51,1.42,1.46,283500,"BKEP","NASDAQ"
2019-07-16,1.46,1.47,1.4,1.42,178300,"BKEP","NASDAQ"
2019-07-17,1.4,1.42,1.35,1.35,116700,"BKEP","NASDAQ"
2019-07-18,1.35,1.36,1.16,1.24,388100,"BKEP","NASDAQ"
2019-07-19,1.28,1.42,1.27,1.32,95000,"BKEP","NASDAQ"
2019-07-22,1.32,1.32,1.27,1.32,123200,"BKEP","NASDAQ"
2019-07-23,1.32,1.33,1.29,1.3,57900,"BKEP","NASDAQ"
2019-07-24,1.34,1.34,1.31,1.33,43500,"BKEP","NASDAQ"
2019-07-25,1.34,1.38,1.2899,1.32,65500,"BKEP","NASDAQ"
2019-07-26,1.33,1.33,1.27,1.27,122600,"BKEP","NASDAQ"
2019-07-29,1.3,1.32,1.3,1.31,75600,"BKEP","NASDAQ"
2019-07-30,1.32,1.35,1.31,1.33,74800,"BKEP","NASDAQ"
2019-07-31,1.3299,1.37,1.32,1.35,215300,"BKEP","NASDAQ"
2019-08-01,1.3,1.32,1.16,1.23,258000,"BKEP","NASDAQ"
2019-08-02,1.23,1.26,1.21,1.26,104100,"BKEP","NASDAQ"
2019-08-05,1.29,1.34,1.23,1.34,349700,"BKEP","NASDAQ"
2019-08-06,1.34,1.36,1.2899,1.32,293200,"BKEP","NASDAQ"
2019-08-07,1.31,1.318,1.26,1.27,230600,"BKEP","NASDAQ"
2019-08-08,1.32,1.32,1.26,1.27,156400,"BKEP","NASDAQ"
2019-08-09,1.29,1.305,1.27,1.3,175100,"BKEP","NASDAQ"
2019-08-12,1.28,1.318,1.27,1.28,91100,"BKEP","NASDAQ"
2019-08-13,1.3,1.3,1.27,1.275,59500,"BKEP","NASDAQ"
2019-08-14,1.26,1.27,1.25,1.26,160800,"BKEP","NASDAQ"
2019-08-15,1.26,1.29,1.26,1.26,151600,"BKEP","NASDAQ"
2019-08-16,1.26,1.27,1.25,1.26,56100,"BKEP","NASDAQ"
2019-08-19,1.27,1.27,1.26,1.26,83500,"BKEP","NASDAQ"
2019-08-20,1.26,1.27,1.26,1.26,33500,"BKEP","NASDAQ"
2019-08-21,1.27,1.35,1.26,1.31,429100,"BKEP","NASDAQ"
2019-08-22,1.29,1.31,1.26,1.27,163300,"BKEP","NASDAQ"
2019-08-23,1.27,1.29,1.25,1.28,173500,"BKEP","NASDAQ"
2019-08-26,1.28,1.28,1.25,1.27,69600,"BKEP","NASDAQ"
2019-08-27,1.25,1.26,1.25,1.25,103700,"BKEP","NASDAQ"
2019-08-28,1.24,1.25,1.23,1.25,154400,"BKEP","NASDAQ"
2019-08-29,1.25,1.26,1.22,1.24,155700,"BKEP","NASDAQ"
2019-08-30,1.24,1.25,1.23,1.25,99300,"BKEP","NASDAQ"
2019-09-03,1.23,1.25,1.23,1.24,22500,"BKEP","NASDAQ"
2019-09-04,1.25,1.27,1.23,1.27,110400,"BKEP","NASDAQ"
2019-09-05,1.26,1.33,1.25,1.3,156200,"BKEP","NASDAQ"
2019-09-06,1.29,1.31,1.29,1.31,54000,"BKEP","NASDAQ"
2019-09-09,1.28,1.31,1.28,1.3,73300,"BKEP","NASDAQ"
2019-09-10,1.3,1.34,1.27,1.32,172900,"BKEP","NASDAQ"
2019-09-11,1.33,1.33,1.21,1.25,459700,"BKEP","NASDAQ"
2019-09-12,1.24,1.25,1.19,1.19,269300,"BKEP","NASDAQ"
2019-09-13,1.19,1.2,1.12,1.17,284000,"BKEP","NASDAQ"
2019-09-16,1.2,1.23,1.15,1.18,402800,"BKEP","NASDAQ"
2019-09-17,1.19,1.19,1.15,1.15,85200,"BKEP","NASDAQ"
2019-09-18,1.16,1.16,1.13,1.14,180500,"BKEP","NASDAQ"
2019-09-19,1.14,1.14,1.12,1.13,169700,"BKEP","NASDAQ"
2019-09-20,1.13,1.16,1.12,1.15,203000,"BKEP","NASDAQ"
2019-09-23,1.14,1.14,1.12,1.13,145700,"BKEP","NASDAQ"
2019-09-24,1.13,1.14,1.12,1.13,76400,"BKEP","NASDAQ"
2019-09-25,1.13,1.14,1.12,1.13,26100,"BKEP","NASDAQ"
2019-09-26,1.13,1.13,1.12,1.12,24700,"BKEP","NASDAQ"
2019-09-27,1.13,1.13,1.11,1.12,53900,"BKEP","NASDAQ"
2019-09-30,1.11,1.13,1.11,1.12,126100,"BKEP","NASDAQ"
2019-10-01,1.12,1.13,1.12,1.12,53600,"BKEP","NASDAQ"
2019-10-02,1.12,1.15,1.1,1.15,117400,"BKEP","NASDAQ"
2019-10-03,1.14,1.14,1.12,1.13,27200,"BKEP","NASDAQ"
2019-10-04,1.14,1.17,1.13,1.13,83700,"BKEP","NASDAQ"
