"times","open","high","low","close","volume","symbol","market"
2019-05-30,22.08,22.192,22.02,22.08,7700,"BLCN","NASDAQ"
2019-05-31,21.97,21.97,21.83,21.88,4400,"BLCN","NASDAQ"
2019-06-03,21.83,21.89,21.55,21.57,11100,"BLCN","NASDAQ"
2019-06-04,21.77,22.07,21.77,22.07,7800,"BLCN","NASDAQ"
2019-06-05,22.32,22.32,22.06,22.156,3400,"BLCN","NASDAQ"
2019-06-06,22.11,22.25,22.1,22.25,6200,"BLCN","NASDAQ"
2019-06-07,22.34,22.585,22.34,22.581,11100,"BLCN","NASDAQ"
2019-06-10,22.76,22.889,22.731,22.731,4600,"BLCN","NASDAQ"
2019-06-11,23.37,23.37,22.89,22.93,29500,"BLCN","NASDAQ"
2019-06-12,22.74,22.838,22.64,22.773,7800,"BLCN","NASDAQ"
2019-06-13,22.69,22.714,22.602,22.66,4800,"BLCN","NASDAQ"
2019-06-14,22.61,22.61,22.48,22.54,6800,"BLCN","NASDAQ"
2019-06-17,22.62,22.768,22.6,22.605,4500,"BLCN","NASDAQ"
2019-06-18,22.78,23,22.78,22.93,15900,"BLCN","NASDAQ"
2019-06-19,23.01,23.08,22.91,23.08,5600,"BLCN","NASDAQ"
2019-06-20,23.39,23.4,23.17,23.37,15800,"BLCN","NASDAQ"
2019-06-21,23.3,23.369,23.2382,23.268,13000,"BLCN","NASDAQ"
2019-06-24,23.28,23.32,23.19,23.24,8000,"BLCN","NASDAQ"
2019-06-25,23.07,23.07,22.69,22.69,11700,"BLCN","NASDAQ"
2019-06-26,22.91,23.31,22.9,23,7800,"BLCN","NASDAQ"
2019-06-27,23.03,23.246,23.03,23.181,4900,"BLCN","NASDAQ"
2019-06-28,23.2074,23.41,23.187,23.2,4900,"BLCN","NASDAQ"
2019-07-01,23.49,23.65,23.35,23.37,19500,"BLCN","NASDAQ"
2019-07-02,23.48,23.56,23.41,23.516,7000,"BLCN","NASDAQ"
2019-07-03,23.54,23.67,23.528,23.67,8600,"BLCN","NASDAQ"
2019-07-05,23.55,23.66,23.5298,23.641,10300,"BLCN","NASDAQ"
2019-07-08,23.5,23.5,23.39,23.5,8600,"BLCN","NASDAQ"
2019-07-09,23.3823,23.62,23.37,23.58,37900,"BLCN","NASDAQ"
2019-07-10,23.64,23.84,23.63,23.769,11100,"BLCN","NASDAQ"
2019-07-11,23.88,23.88,23.69,23.86,8700,"BLCN","NASDAQ"
2019-07-12,23.86,23.89,23.761,23.88,10200,"BLCN","NASDAQ"
2019-07-15,23.8,23.9,23.8,23.86,28100,"BLCN","NASDAQ"
2019-07-16,23.9,23.9,23.74,23.861,12800,"BLCN","NASDAQ"
2019-07-17,23.72,23.78,23.67,23.78,6100,"BLCN","NASDAQ"
2019-07-18,23.62,23.74,23.53,23.74,10100,"BLCN","NASDAQ"
2019-07-19,23.82,23.862,23.7,23.71,6300,"BLCN","NASDAQ"
2019-07-22,23.61,23.724,23.5,23.72,12200,"BLCN","NASDAQ"
2019-07-23,23.84,23.89,23.72,23.89,8100,"BLCN","NASDAQ"
2019-07-24,23.91,24.07,23.81,23.99,10900,"BLCN","NASDAQ"
2019-07-25,24,24.0013,23.89,24,7100,"BLCN","NASDAQ"
2019-07-26,24,24.05,23.94,24.04,7700,"BLCN","NASDAQ"
2019-07-29,23.99,24.06,23.95,24,6300,"BLCN","NASDAQ"
2019-07-30,23.93,24,23.74,24,8000,"BLCN","NASDAQ"
2019-07-31,23.88,23.88,23.44,23.51,6100,"BLCN","NASDAQ"
2019-08-01,23.688,23.86,23.344,23.445,16700,"BLCN","NASDAQ"
2019-08-02,23.25,23.27,22.81,23.05,7500,"BLCN","NASDAQ"
2019-08-05,22.64,22.64,22.109,22.15,12300,"BLCN","NASDAQ"
2019-08-06,22.3382,22.407,22.3,22.39,7200,"BLCN","NASDAQ"
2019-08-07,22.19,22.46,22.19,22.45,5700,"BLCN","NASDAQ"
2019-08-08,22.9875,22.99,22.779,22.895,4600,"BLCN","NASDAQ"
2019-08-09,22.8486,22.927,22.661,22.899,3400,"BLCN","NASDAQ"
2019-08-12,22.567,22.704,22.5,22.5,2300,"BLCN","NASDAQ"
2019-08-13,22.46,22.83,22.42,22.76,6600,"BLCN","NASDAQ"
2019-08-14,22.39,22.54,22.02,22.155,7500,"BLCN","NASDAQ"
2019-08-15,22.18,22.243,22.03,22.162,8900,"BLCN","NASDAQ"
2019-08-16,22.28,22.59,22.28,22.59,5800,"BLCN","NASDAQ"
2019-08-19,22.87,22.97,22.759,22.864,5400,"BLCN","NASDAQ"
2019-08-20,22.89,22.892,22.663,22.67,2300,"BLCN","NASDAQ"
2019-08-21,22.88,22.89,22.815,22.84,5800,"BLCN","NASDAQ"
2019-08-22,22.85,22.87,22.67,22.81,5900,"BLCN","NASDAQ"
2019-08-23,22.7,22.72,22.334,22.334,4000,"BLCN","NASDAQ"
2019-08-26,22.5,22.688,22.29,22.38,6000,"BLCN","NASDAQ"
2019-08-27,22.53,22.53,22.38,22.38,3300,"BLCN","NASDAQ"
2019-08-28,22.38,22.48,22.253,22.48,4800,"BLCN","NASDAQ"
2019-08-29,22.64,22.781,22.64,22.73,6900,"BLCN","NASDAQ"
2019-08-30,22.86,22.86,22.685,22.73,5500,"BLCN","NASDAQ"
2019-09-03,22.74,22.778,22.6,22.601,2800,"BLCN","NASDAQ"
2019-09-04,22.87,22.92,22.87,22.92,5000,"BLCN","NASDAQ"
2019-09-05,23.24,23.44,23.24,23.4,16000,"BLCN","NASDAQ"
2019-09-06,23.5,23.565,23.433,23.46,6700,"BLCN","NASDAQ"
2019-09-09,23.6,23.68,23.5,23.62,9000,"BLCN","NASDAQ"
2019-09-10,23.56,23.595,23.55,23.57,3200,"BLCN","NASDAQ"
2019-09-11,23.66,23.68,23.635,23.67,18600,"BLCN","NASDAQ"
2019-09-12,23.74,23.86,23.74,23.86,8500,"BLCN","NASDAQ"
2019-09-13,23.69,23.98,23.69,23.943,7100,"BLCN","NASDAQ"
2019-09-16,23.68,23.785,23.37,23.7,4900,"BLCN","NASDAQ"
2019-09-17,23.59,23.662,23.491,23.58,8300,"BLCN","NASDAQ"
2019-09-18,23.63,23.659,23.5,23.6,6400,"BLCN","NASDAQ"
2019-09-19,23.66,23.862,23.596,23.642,4000,"BLCN","NASDAQ"
2019-09-20,23.66,23.66,23.39,23.39,11100,"BLCN","NASDAQ"
2019-09-23,23.38,23.419,23.2,23.371,8200,"BLCN","NASDAQ"
2019-09-24,23.43,23.58,23.085,23.154,4200,"BLCN","NASDAQ"
2019-09-25,23.02,23.16,23.001,23.16,8700,"BLCN","NASDAQ"
2019-09-26,23.25,23.378,23.163,23.35,4200,"BLCN","NASDAQ"
2019-09-27,23.25,23.29,22.97,22.97,8900,"BLCN","NASDAQ"
2019-09-30,22.79,23.168,22.79,23.045,7700,"BLCN","NASDAQ"
2019-10-01,23.06,23.181,22.77,22.77,7100,"BLCN","NASDAQ"
2019-10-02,22.62,22.652,22.46,22.53,3800,"BLCN","NASDAQ"
2019-10-03,22.58,22.778,22.512,22.721,6700,"BLCN","NASDAQ"
2019-10-04,22.74,22.98,22.74,22.904,5100,"BLCN","NASDAQ"
2019-10-07,22.95,22.963,22.86,22.963,5600,"BLCN","NASDAQ"
2019-10-08,22.82,22.82,22.55,22.699,6600,"BLCN","NASDAQ"
2019-10-09,22.74,22.88,22.622,22.75,7600,"BLCN","NASDAQ"
2019-10-10,22.75,22.92,22.6,22.9,4400,"BLCN","NASDAQ"
2019-10-11,23.07,23.47,23.07,23.45,8300,"BLCN","NASDAQ"
2019-10-14,23.29,23.32,23,23.32,5200,"BLCN","NASDAQ"
2019-10-15,23.41,23.7,23.32,23.65,6700,"BLCN","NASDAQ"
2019-10-16,23.58,23.65,23.546,23.65,5000,"BLCN","NASDAQ"
2019-10-17,23.76,23.76,23.552,23.59,7600,"BLCN","NASDAQ"
2019-10-18,23.56,23.56,23.4151,23.45,9776,"BLCN","NASDAQ"
