"times","open","high","low","close","volume","symbol","market"
2019-05-30,17.5,18.37,17.295,17.69,180100,"BLFS","NASDAQ"
2019-05-31,17.44,17.94,17.12,17.73,115100,"BLFS","NASDAQ"
2019-06-03,17.55,18.35,17.31,18.18,196200,"BLFS","NASDAQ"
2019-06-04,18.4,18.74,17.94,18.74,183300,"BLFS","NASDAQ"
2019-06-05,18.88,19.65,18.52,19.42,191900,"BLFS","NASDAQ"
2019-06-06,19.37,19.97,18.33,18.51,151300,"BLFS","NASDAQ"
2019-06-07,18.59,19.12,18.315,18.46,158900,"BLFS","NASDAQ"
2019-06-10,18.79,18.96,17.9,18.15,156500,"BLFS","NASDAQ"
2019-06-11,18.29,18.29,17.13,17.57,190400,"BLFS","NASDAQ"
2019-06-12,17.4,17.715,17.29,17.38,73600,"BLFS","NASDAQ"
2019-06-13,17.37,17.95,17.03,17.76,153800,"BLFS","NASDAQ"
2019-06-14,17.81,18.1916,17.63,17.69,99900,"BLFS","NASDAQ"
2019-06-17,17.61,17.99,17.31,17.67,93300,"BLFS","NASDAQ"
2019-06-18,17.88,18.21,17.6,17.8,138000,"BLFS","NASDAQ"
2019-06-19,17.6,17.94,17.38,17.6,137300,"BLFS","NASDAQ"
2019-06-20,17.76,17.92,17.0716,17.15,106200,"BLFS","NASDAQ"
2019-06-21,17.08,17.15,16.24,16.56,276300,"BLFS","NASDAQ"
2019-06-24,16.52,16.63,16.05,16.36,181700,"BLFS","NASDAQ"
2019-06-25,16.44,16.66,15.06,15.2,335200,"BLFS","NASDAQ"
2019-06-26,15.16,16.24,15.06,15.85,3e+05,"BLFS","NASDAQ"
2019-06-27,15.97,16.48,15.97,16.25,191300,"BLFS","NASDAQ"
2019-06-28,16.3,17.04,16.09,16.95,1044900,"BLFS","NASDAQ"
2019-07-01,17.2,17.8,17.01,17.39,202000,"BLFS","NASDAQ"
2019-07-02,17.4001,17.4,16.36,16.71,186400,"BLFS","NASDAQ"
2019-07-03,16.67,16.7,15.57,15.7,162000,"BLFS","NASDAQ"
2019-07-05,15.76,16.03,15.52,15.71,146500,"BLFS","NASDAQ"
2019-07-08,15.9593,18.33,15.72,18.21,653600,"BLFS","NASDAQ"
2019-07-09,17.94,18.3,17.09,18.15,300400,"BLFS","NASDAQ"
2019-07-10,18.2699,18.31,16.87,17.27,219300,"BLFS","NASDAQ"
2019-07-11,17.15,17.35,16.88,17.24,140100,"BLFS","NASDAQ"
