"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.3,4.15,3.1398,3.96,1661700,"BLIN","NASDAQ"
2019-05-31,3.5,3.5068,3.15,3.31,938100,"BLIN","NASDAQ"
2019-06-03,3.25,3.3,2.93,3.2,478600,"BLIN","NASDAQ"
2019-06-04,3.67,4.1,3.04,3.24,2343900,"BLIN","NASDAQ"
2019-06-05,3.19,3.24,2.96,2.98,437300,"BLIN","NASDAQ"
2019-06-06,2.99,3.15,2.75,3.04,407900,"BLIN","NASDAQ"
2019-06-07,3.01,3.29,2.83,2.96,917400,"BLIN","NASDAQ"
2019-06-10,2.92,3.12,2.87,2.95,419300,"BLIN","NASDAQ"
2019-06-11,3,3.25,2.81,2.91,757700,"BLIN","NASDAQ"
2019-06-12,3.9,4,2.85,2.95,11279800,"BLIN","NASDAQ"
2019-06-13,2.92,2.92,2.581,2.73,1030600,"BLIN","NASDAQ"
2019-06-14,2.71,2.76,2.56,2.75,293100,"BLIN","NASDAQ"
2019-06-17,2.75,2.7799,2.6,2.66,277400,"BLIN","NASDAQ"
2019-06-18,2.64,2.65,2.56,2.63,241900,"BLIN","NASDAQ"
2019-06-19,2.61,2.617,2.43,2.5,297800,"BLIN","NASDAQ"
2019-06-20,2.48,2.62,2.35,2.55,253000,"BLIN","NASDAQ"
2019-06-21,2.53,2.63,2.49,2.51,164500,"BLIN","NASDAQ"
2019-06-24,2.51,2.62,2.38,2.38,150100,"BLIN","NASDAQ"
2019-06-25,2.4,2.58,2.25,2.42,494200,"BLIN","NASDAQ"
2019-06-26,2.4,2.42,2.3,2.31,131300,"BLIN","NASDAQ"
2019-06-27,2.46,2.54,2.33,2.37,454200,"BLIN","NASDAQ"
2019-06-28,2.4,2.55,2.31,2.45,514500,"BLIN","NASDAQ"
2019-07-01,2.5,2.53,2.42,2.44,105700,"BLIN","NASDAQ"
2019-07-02,2.46,2.48,2.35,2.47,91600,"BLIN","NASDAQ"
2019-07-03,2.48,2.49,2.41,2.43,86400,"BLIN","NASDAQ"
2019-07-05,2.46,2.46,2.36,2.43,51200,"BLIN","NASDAQ"
2019-07-08,2.44,2.46,2.26,2.38,89900,"BLIN","NASDAQ"
2019-07-09,2.36,2.51,2.3,2.43,251000,"BLIN","NASDAQ"
2019-07-10,2.47,2.47,2.35,2.43,139300,"BLIN","NASDAQ"
2019-07-11,2.41,2.42,2.33,2.34,113800,"BLIN","NASDAQ"
2019-07-12,2.38,2.42,2.3,2.33,63700,"BLIN","NASDAQ"
2019-07-15,2.3998,2.44,2.2,2.28,134500,"BLIN","NASDAQ"
2019-07-16,2.24,2.31,2.17,2.19,99800,"BLIN","NASDAQ"
2019-07-17,2.2,2.31,2.16,2.24,184300,"BLIN","NASDAQ"
2019-07-18,2.2699,2.28,2.18,2.2,76800,"BLIN","NASDAQ"
2019-07-19,2.21,2.25,2.17,2.22,43400,"BLIN","NASDAQ"
2019-07-22,2.22,2.26,2.18,2.19,37100,"BLIN","NASDAQ"
2019-07-23,2.2,2.23,2.14,2.19,62600,"BLIN","NASDAQ"
2019-07-24,2.17,2.19,2.08,2.13,122900,"BLIN","NASDAQ"
2019-07-25,2.15,2.15,2.02,2.08,57300,"BLIN","NASDAQ"
2019-07-26,2.09,2.11,1.94,2.09,107700,"BLIN","NASDAQ"
2019-07-29,1.99,2.1,1.97,2,68900,"BLIN","NASDAQ"
2019-07-30,2.08,2.1,1.88,1.93,133500,"BLIN","NASDAQ"
2019-07-31,1.94,1.9399,1.82,1.87,70000,"BLIN","NASDAQ"
2019-08-01,1.89,1.93,1.81,1.82,116300,"BLIN","NASDAQ"
2019-08-02,1.79,2.18,1.76,1.97,449000,"BLIN","NASDAQ"
2019-08-05,1.97,2.0701,1.83,2.07,108400,"BLIN","NASDAQ"
2019-08-06,2.05,2.05,1.91,1.97,50500,"BLIN","NASDAQ"
2019-08-07,1.96,2.06,1.92,1.95,76600,"BLIN","NASDAQ"
2019-08-08,1.95,2.05,1.93,2.02,16200,"BLIN","NASDAQ"
2019-08-09,2.04,2.04,1.9301,1.96,39900,"BLIN","NASDAQ"
2019-08-12,1.99,2.029,1.85,1.91,57000,"BLIN","NASDAQ"
2019-08-13,1.91,1.95,1.86,1.92,52200,"BLIN","NASDAQ"
2019-08-14,1.9,2.03,1.87,1.98,370900,"BLIN","NASDAQ"
2019-08-15,2.26,3.11,2.07,2.22,6814600,"BLIN","NASDAQ"
2019-08-16,2.02,2.2699,1.97,2.18,778500,"BLIN","NASDAQ"
2019-08-19,2.16,2.43,2.1,2.4,246300,"BLIN","NASDAQ"
2019-08-20,2.39,2.45,2.22,2.4,127400,"BLIN","NASDAQ"
2019-08-21,2.38,2.48,2.2,2.25,197100,"BLIN","NASDAQ"
2019-08-22,2.24,2.29,2.15,2.19,65500,"BLIN","NASDAQ"
2019-08-23,2.2,2.22,2.12,2.18,69900,"BLIN","NASDAQ"
2019-08-26,2.18,2.32,2.06,2.06,178600,"BLIN","NASDAQ"
2019-08-27,2.07,2.13,1.94,1.98,95800,"BLIN","NASDAQ"
2019-08-28,1.96,2.09,1.9,2.06,83400,"BLIN","NASDAQ"
2019-08-29,2.14,2.17,2.02,2.06,143700,"BLIN","NASDAQ"
2019-08-30,2.05,2.05,1.95,1.95,62600,"BLIN","NASDAQ"
2019-09-03,2.05,2.19,1.95,2,257400,"BLIN","NASDAQ"
2019-09-04,2.03,2.06,1.96,1.99,63300,"BLIN","NASDAQ"
2019-09-05,1.99,2.11,1.96,2.08,72300,"BLIN","NASDAQ"
2019-09-06,2.07,2.07,2.01,2.05,33500,"BLIN","NASDAQ"
2019-09-09,2.05,2.16,2,2.14,85300,"BLIN","NASDAQ"
2019-09-10,2.12,2.29,2.11,2.28,164500,"BLIN","NASDAQ"
2019-09-11,2.3,2.54,2.2,2.22,279900,"BLIN","NASDAQ"
2019-09-12,2.22,2.22,2.1,2.17,31100,"BLIN","NASDAQ"
2019-09-13,2.2,2.29,2.11,2.17,58700,"BLIN","NASDAQ"
2019-09-16,2.19,2.26,2.06,2.14,27400,"BLIN","NASDAQ"
2019-09-17,2.14,2.3,2.1,2.11,56200,"BLIN","NASDAQ"
2019-09-18,2.13,2.18,2.05,2.05,65400,"BLIN","NASDAQ"
2019-09-19,2.05,2.15,1.96,2.1,206200,"BLIN","NASDAQ"
2019-09-20,2.16,2.28,2.07,2.12,222900,"BLIN","NASDAQ"
