"times","open","high","low","close","volume","symbol","market"
2019-05-30,19.18,19.99,19.12,19.69,5016300,"BLMN","NASDAQ"
2019-05-31,19.52,19.59,19.1,19.31,20020500,"BLMN","NASDAQ"
2019-06-03,19.22,19.49,18.76,19.03,2488700,"BLMN","NASDAQ"
2019-06-04,19.16,19.73,19.16,19.35,2325000,"BLMN","NASDAQ"
2019-06-05,19.36,19.56,18.94,19.05,2162400,"BLMN","NASDAQ"
2019-06-06,19.01,19.06,18.84,18.93,1252000,"BLMN","NASDAQ"
2019-06-07,18.98,19.2437,18.85,18.92,1131700,"BLMN","NASDAQ"
2019-06-10,18.9801,19.28,18.81,18.96,1126200,"BLMN","NASDAQ"
2019-06-11,19.03,19.19,18.87,19.07,1356800,"BLMN","NASDAQ"
2019-06-12,19.07,19.855,19.04,19.82,2298600,"BLMN","NASDAQ"
2019-06-13,19.88,20.3,19.75,19.85,1921200,"BLMN","NASDAQ"
2019-06-14,19.92,20.16,19.83,19.91,1054500,"BLMN","NASDAQ"
2019-06-17,19.91,19.95,19.58,19.68,1855800,"BLMN","NASDAQ"
2019-06-18,19.75,19.845,19.02,19.06,1281900,"BLMN","NASDAQ"
2019-06-19,18.94,19.15,18.05,18.28,1731600,"BLMN","NASDAQ"
2019-06-20,18.26,18.52,18.06,18.37,1223900,"BLMN","NASDAQ"
2019-06-21,18.34,18.81,18.26,18.74,1756100,"BLMN","NASDAQ"
2019-06-24,18.7714,18.905,18.57,18.7,953100,"BLMN","NASDAQ"
2019-06-25,18.72,19.0094,18.422,18.82,1532000,"BLMN","NASDAQ"
2019-06-26,18.8504,18.93,18.31,18.4,1253000,"BLMN","NASDAQ"
2019-06-27,18.45,18.88,18.35,18.82,1241500,"BLMN","NASDAQ"
2019-06-28,19.06,19.25,18.76,18.91,2455000,"BLMN","NASDAQ"
2019-07-01,19.03,19.03,18.29,18.33,1055100,"BLMN","NASDAQ"
2019-07-02,18.38,18.455,17.92,18.12,1185500,"BLMN","NASDAQ"
2019-07-03,18.12,18.275,18.01,18.1,770400,"BLMN","NASDAQ"
2019-07-05,18.05,18.24,17.95,18.15,757700,"BLMN","NASDAQ"
2019-07-08,18.1,18.2,17.71,17.71,1084300,"BLMN","NASDAQ"
2019-07-09,17.69,17.71,17.33,17.6,1744100,"BLMN","NASDAQ"
2019-07-10,17.63,17.8,17.01,17.4,1930800,"BLMN","NASDAQ"
2019-07-11,17.4419,17.61,17,17.5,2556600,"BLMN","NASDAQ"
2019-07-12,17.5805,17.69,17.34,17.63,1521900,"BLMN","NASDAQ"
2019-07-15,17.56,18,17.48,17.71,1369400,"BLMN","NASDAQ"
2019-07-16,17.68,17.8,17.42,17.76,1350800,"BLMN","NASDAQ"
2019-07-17,17.83,17.89,17.59,17.81,1523400,"BLMN","NASDAQ"
2019-07-18,17.8392,17.94,17.54,17.89,1586500,"BLMN","NASDAQ"
2019-07-19,17.87,18.04,17.84,17.84,788300,"BLMN","NASDAQ"
2019-07-22,17.7403,17.78,17.39,17.48,1619800,"BLMN","NASDAQ"
2019-07-23,17.74,17.94,17.58,17.76,1406300,"BLMN","NASDAQ"
2019-07-24,17.7,18,17.57,17.83,1227000,"BLMN","NASDAQ"
2019-07-25,17.76,17.92,17.44,17.57,1009600,"BLMN","NASDAQ"
2019-07-26,17.61,17.87,17.5,17.81,1349400,"BLMN","NASDAQ"
2019-07-29,17.79,18.13,17.69,18.05,1413100,"BLMN","NASDAQ"
2019-07-30,18.02,18.13,17.5,17.82,2039200,"BLMN","NASDAQ"
2019-07-31,17.65,18.11,17.03,17.03,2960000,"BLMN","NASDAQ"
2019-08-01,17.09,17.33,16.98,17.15,2334200,"BLMN","NASDAQ"
2019-08-02,17.09,17.36,16.95,17.22,998300,"BLMN","NASDAQ"
