"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.63,0.642,0.612,0.637,94800,"BLPH","NASDAQ"
2019-05-31,0.63,0.63,0.61,0.62,67500,"BLPH","NASDAQ"
2019-06-03,0.619,0.65,0.581,0.607,134500,"BLPH","NASDAQ"
2019-06-04,0.619,0.636,0.593,0.61,137000,"BLPH","NASDAQ"
2019-06-05,0.614,0.638,0.595,0.601,63300,"BLPH","NASDAQ"
2019-06-06,0.598,0.6,0.59,0.592,83000,"BLPH","NASDAQ"
2019-06-07,0.59,0.62,0.59,0.608,74600,"BLPH","NASDAQ"
2019-06-10,0.61,0.61,0.594,0.596,44300,"BLPH","NASDAQ"
2019-06-11,0.581,0.6,0.561,0.561,182100,"BLPH","NASDAQ"
2019-06-12,0.57,0.65,0.562,0.631,511500,"BLPH","NASDAQ"
2019-06-13,0.631,0.637,0.6,0.634,113100,"BLPH","NASDAQ"
2019-06-14,0.631,0.65,0.6,0.62,135000,"BLPH","NASDAQ"
2019-06-17,0.64,0.64,0.62,0.631,29800,"BLPH","NASDAQ"
2019-06-18,0.64,0.68,0.64,0.664,348400,"BLPH","NASDAQ"
2019-06-19,0.667,0.667,0.64,0.66,51900,"BLPH","NASDAQ"
2019-06-20,0.672,0.672,0.641,0.65,84300,"BLPH","NASDAQ"
2019-06-21,0.65,0.67,0.641,0.655,55500,"BLPH","NASDAQ"
2019-06-24,0.66,0.667,0.63,0.64,38300,"BLPH","NASDAQ"
2019-06-25,0.642,0.66,0.64,0.66,31500,"BLPH","NASDAQ"
2019-06-26,0.66,0.66,0.62,0.623,40600,"BLPH","NASDAQ"
2019-06-27,0.623,0.648,0.62,0.62,52300,"BLPH","NASDAQ"
2019-06-28,0.62,0.65,0.599,0.599,82200,"BLPH","NASDAQ"
2019-07-01,0.6,0.63,0.6,0.61,39500,"BLPH","NASDAQ"
2019-07-02,0.64,0.64,0.581,0.605,110300,"BLPH","NASDAQ"
2019-07-03,0.601,0.66,0.601,0.62,151100,"BLPH","NASDAQ"
2019-07-05,0.616,0.66,0.613,0.626,25900,"BLPH","NASDAQ"
2019-07-08,0.65,0.65,0.625,0.625,24500,"BLPH","NASDAQ"
2019-07-09,0.628,0.65,0.625,0.625,71900,"BLPH","NASDAQ"
2019-07-10,0.625,0.646,0.625,0.632,34600,"BLPH","NASDAQ"
2019-07-11,0.645,0.645,0.611,0.64,37200,"BLPH","NASDAQ"
2019-07-12,0.637,0.64,0.62,0.62,55600,"BLPH","NASDAQ"
2019-07-15,0.62,0.645,0.62,0.627,11900,"BLPH","NASDAQ"
2019-07-16,0.63,0.64,0.624,0.633,28700,"BLPH","NASDAQ"
2019-07-17,0.632,0.66,0.626,0.645,161000,"BLPH","NASDAQ"
2019-07-18,0.66,0.73,0.657,0.71,418900,"BLPH","NASDAQ"
2019-07-19,0.707,0.75,0.623,0.649,413400,"BLPH","NASDAQ"
2019-07-22,0.69,0.69,0.641,0.649,65500,"BLPH","NASDAQ"
2019-07-23,0.645,0.66,0.63,0.642,45500,"BLPH","NASDAQ"
2019-07-24,0.641,0.644,0.63,0.639,23000,"BLPH","NASDAQ"
2019-07-25,0.644,0.644,0.63,0.635,85200,"BLPH","NASDAQ"
2019-07-26,0.632,0.65,0.625,0.627,45700,"BLPH","NASDAQ"
2019-07-29,0.627,0.66,0.614,0.614,23600,"BLPH","NASDAQ"
2019-07-30,0.61,0.635,0.61,0.62,134200,"BLPH","NASDAQ"
2019-07-31,0.64,0.64,0.61,0.61,49900,"BLPH","NASDAQ"
2019-08-01,0.63,0.73,0.61,0.629,590900,"BLPH","NASDAQ"
2019-08-02,0.66,0.673,0.64,0.65,183100,"BLPH","NASDAQ"
2019-08-05,0.673,0.7,0.655,0.69,188200,"BLPH","NASDAQ"
2019-08-06,0.69,0.72,0.65,0.7,458600,"BLPH","NASDAQ"
2019-08-07,0.698,0.701,0.655,0.662,208100,"BLPH","NASDAQ"
2019-08-08,0.661,0.7,0.625,0.65,98100,"BLPH","NASDAQ"
2019-08-09,0.662,0.7,0.647,0.678,179100,"BLPH","NASDAQ"
2019-08-12,0.675,0.71,0.654,0.71,204600,"BLPH","NASDAQ"
2019-08-13,0.7,0.73,0.67,0.67,339900,"BLPH","NASDAQ"
2019-08-14,0.684,0.698,0.621,0.683,111700,"BLPH","NASDAQ"
2019-08-15,0.677,0.7,0.64,0.657,120000,"BLPH","NASDAQ"
2019-08-16,0.676,0.697,0.61,0.663,165600,"BLPH","NASDAQ"
2019-08-19,0.652,0.66,0.625,0.64,186900,"BLPH","NASDAQ"
