"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.361,0.37,0.36,0.369,29600,"BLRX","NASDAQ"
2019-05-31,0.361,0.365,0.35,0.356,38100,"BLRX","NASDAQ"
2019-06-03,0.36,0.36,0.345,0.345,22300,"BLRX","NASDAQ"
2019-06-04,0.341,0.36,0.341,0.359,22500,"BLRX","NASDAQ"
2019-06-05,0.36,0.365,0.35,0.352,25900,"BLRX","NASDAQ"
2019-06-06,0.35,0.36,0.334,0.341,36500,"BLRX","NASDAQ"
2019-06-07,0.35,0.35,0.326,0.344,62600,"BLRX","NASDAQ"
2019-06-10,0.34,0.349,0.33,0.334,21000,"BLRX","NASDAQ"
2019-06-11,0.332,0.34,0.311,0.326,32700,"BLRX","NASDAQ"
2019-06-12,0.324,0.34,0.32,0.338,14400,"BLRX","NASDAQ"
2019-06-13,0.338,0.34,0.32,0.329,43200,"BLRX","NASDAQ"
2019-06-14,0.34,0.347,0.33,0.34,23200,"BLRX","NASDAQ"
2019-06-17,0.34,0.349,0.33,0.337,28500,"BLRX","NASDAQ"
2019-06-18,0.348,0.348,0.333,0.347,37600,"BLRX","NASDAQ"
2019-06-19,0.344,0.37,0.335,0.355,45400,"BLRX","NASDAQ"
2019-06-20,0.373,0.373,0.355,0.365,27600,"BLRX","NASDAQ"
2019-06-21,0.369,0.43,0.347,0.422,114800,"BLRX","NASDAQ"
2019-06-24,0.41,0.41,0.365,0.38,84800,"BLRX","NASDAQ"
2019-06-25,0.38,0.396,0.355,0.37,42400,"BLRX","NASDAQ"
2019-06-26,0.37,0.37,0.355,0.36,44900,"BLRX","NASDAQ"
2019-06-27,0.36,0.37,0.355,0.36,17600,"BLRX","NASDAQ"
2019-06-28,0.36,0.37,0.354,0.365,47900,"BLRX","NASDAQ"
2019-07-01,0.33,0.346,0.322,0.34,97200,"BLRX","NASDAQ"
2019-07-02,0.33,0.35,0.33,0.35,47800,"BLRX","NASDAQ"
2019-07-03,0.35,0.356,0.33,0.333,34200,"BLRX","NASDAQ"
2019-07-05,0.335,0.354,0.323,0.335,79800,"BLRX","NASDAQ"
2019-07-08,0.34,0.34,0.3,0.31,68800,"BLRX","NASDAQ"
2019-07-09,0.31,0.32,0.31,0.31,36200,"BLRX","NASDAQ"
2019-07-10,0.31,0.31,0.3,0.31,42900,"BLRX","NASDAQ"
2019-07-11,0.31,0.31,0.3,0.3,42900,"BLRX","NASDAQ"
2019-07-12,0.31,0.31,0.3,0.3,32200,"BLRX","NASDAQ"
2019-07-15,4.54,4.75,4.22,4.64,131600,"BLRX","NASDAQ"
2019-07-16,4.56,4.6,4.4,4.49,80700,"BLRX","NASDAQ"
2019-07-17,4.46,4.49,3.9,4.28,106300,"BLRX","NASDAQ"
2019-07-18,4.24,4.25,3.86,3.95,94500,"BLRX","NASDAQ"
2019-07-19,3.95,4.07,3.91,4.05,66700,"BLRX","NASDAQ"
2019-07-22,4.07,4.16,3.73,3.94,80100,"BLRX","NASDAQ"
2019-07-23,3.96,3.96,3.47,3.72,86600,"BLRX","NASDAQ"
2019-07-24,3.69,4.1,3.63,3.98,87800,"BLRX","NASDAQ"
2019-07-25,3.94,4.01,3.82,3.82,87900,"BLRX","NASDAQ"
2019-07-26,3.83,4,3.7199,3.89,71300,"BLRX","NASDAQ"
2019-07-29,3.87,3.92,3.66,3.75,99000,"BLRX","NASDAQ"
2019-07-30,3.78,3.85,3.73,3.84,25400,"BLRX","NASDAQ"
2019-07-31,3.82,4.22,3.71,3.97,111700,"BLRX","NASDAQ"
2019-08-01,4.01,4.11,3.95,3.95,14600,"BLRX","NASDAQ"
2019-08-02,3.93,3.99,3.8,3.86,16900,"BLRX","NASDAQ"
2019-08-05,3.73,4.14,3.66,3.81,87900,"BLRX","NASDAQ"
2019-08-06,3.89,4.08,3.32,3.46,266100,"BLRX","NASDAQ"
2019-08-07,3.42,3.42,3.175,3.24,74400,"BLRX","NASDAQ"
2019-08-08,3.24,3.27,2.92,3.144,105900,"BLRX","NASDAQ"
2019-08-09,3.12,3.18,3.1,3.125,17000,"BLRX","NASDAQ"
2019-08-12,3.026,3.18,3.02,3.04,26300,"BLRX","NASDAQ"
2019-08-13,3.06,3.2,3.02,3.08,78500,"BLRX","NASDAQ"
2019-08-14,3.09,3.12,2.83,3.1,52400,"BLRX","NASDAQ"
2019-08-15,3.06,3.15,2.87,3.15,40500,"BLRX","NASDAQ"
2019-08-16,3.1401,3.14,3,3.1,19300,"BLRX","NASDAQ"
2019-08-19,3.07,3.2,3.04,3.18,33200,"BLRX","NASDAQ"
2019-08-20,3.18,3.18,3.11,3.17,7600,"BLRX","NASDAQ"
2019-08-21,3.16,3.19,3.04,3.1,16900,"BLRX","NASDAQ"
2019-08-22,3.11,3.15,3,3.09,28300,"BLRX","NASDAQ"
2019-08-23,3.08,3.08,2.95,3.05,25000,"BLRX","NASDAQ"
2019-08-26,3.14,3.14,3.06,3.06,13500,"BLRX","NASDAQ"
2019-08-27,3.06,3.08,2.88,2.9,39900,"BLRX","NASDAQ"
2019-08-28,2.93,2.96,2.89,2.96,15400,"BLRX","NASDAQ"
2019-08-29,2.96,2.97,2.91,2.95,2600,"BLRX","NASDAQ"
2019-08-30,2.95,2.95,2.85,2.85,10800,"BLRX","NASDAQ"
2019-09-03,3.05,3.64,2.32,2.71,754000,"BLRX","NASDAQ"
2019-09-04,2.76,2.76,2.54,2.66,52400,"BLRX","NASDAQ"
2019-09-05,2.66,2.75,2.66,2.73,39900,"BLRX","NASDAQ"
2019-09-06,2.71,2.78,2.71,2.71,17900,"BLRX","NASDAQ"
2019-09-09,2.75,2.97,2.7,2.97,41200,"BLRX","NASDAQ"
2019-09-10,2.98,3.04,2.8,2.92,48000,"BLRX","NASDAQ"
2019-09-11,2.92,2.96,2.85,2.93,15500,"BLRX","NASDAQ"
2019-09-12,2.94,2.95,2.89,2.9,24700,"BLRX","NASDAQ"
2019-09-13,2.9,2.96,2.88,2.92,20400,"BLRX","NASDAQ"
2019-09-16,2.88,2.95,2.8,2.9,43700,"BLRX","NASDAQ"
2019-09-17,2.87,2.94,2.83,2.93,12700,"BLRX","NASDAQ"
2019-09-18,2.91,2.92,2.85,2.88,5000,"BLRX","NASDAQ"
2019-09-19,2.9,2.99,2.69,2.84,116800,"BLRX","NASDAQ"
2019-09-20,2.83,2.83,2.77,2.81,15800,"BLRX","NASDAQ"
2019-09-23,2.84,2.86,2.7,2.79,41600,"BLRX","NASDAQ"
2019-09-24,2.78,2.82,2.7,2.74,23300,"BLRX","NASDAQ"
2019-09-25,2.74,2.8,2.59,2.67,44500,"BLRX","NASDAQ"
2019-09-26,2.7,2.7,2.61,2.62,6000,"BLRX","NASDAQ"
2019-09-27,2.61,2.61,2.56,2.56,32600,"BLRX","NASDAQ"
2019-09-30,2.56,2.64,2.56,2.64,17800,"BLRX","NASDAQ"
2019-10-01,2.61,2.63,2.56,2.62,10500,"BLRX","NASDAQ"
2019-10-02,2.64,2.66,2.62,2.66,7500,"BLRX","NASDAQ"
2019-10-03,2.67,2.99,2.56,2.97,118600,"BLRX","NASDAQ"
2019-10-04,2.99,3.03,2.74,2.9,115000,"BLRX","NASDAQ"
2019-10-07,2.92,3.03,2.81,2.82,28600,"BLRX","NASDAQ"
2019-10-08,2.82,2.83,2.58,2.75,97900,"BLRX","NASDAQ"
2019-10-09,2.72,2.78,2.68,2.75,15400,"BLRX","NASDAQ"
2019-10-10,2.77,2.88,2.67,2.74,30200,"BLRX","NASDAQ"
2019-10-11,2.72,2.85,2.72,2.77,23700,"BLRX","NASDAQ"
2019-10-14,2.76,2.76,2.7,2.7,12900,"BLRX","NASDAQ"
2019-10-15,2.73,2.77,2.66,2.68,54300,"BLRX","NASDAQ"
2019-10-16,2.75,2.85,2.71,2.74,59900,"BLRX","NASDAQ"
2019-10-17,2.71,3,2.66,2.66,38400,"BLRX","NASDAQ"
2019-10-18,2.75,2.92,2.7,2.7,14848,"BLRX","NASDAQ"
