"times","open","high","low","close","volume","symbol","market"
2019-05-30,122.41,123.3635,119.48,120.53,255000,"BLUE","NASDAQ"
2019-05-31,119.31,121.46,117.7879,119.92,431700,"BLUE","NASDAQ"
2019-06-03,119.78,125.21,119.78,122.42,440100,"BLUE","NASDAQ"
2019-06-04,125.02,129.97,123.95,129.44,434500,"BLUE","NASDAQ"
2019-06-05,131.05,131.05,123.19,124.77,308400,"BLUE","NASDAQ"
2019-06-06,124.33,125.578,119.32,122.01,360000,"BLUE","NASDAQ"
2019-06-07,122.97,126.7138,120.48,126.43,341400,"BLUE","NASDAQ"
2019-06-10,126.96,126.96,118.05,118.31,652200,"BLUE","NASDAQ"
2019-06-11,119.93,120.18,116.5,118.46,458900,"BLUE","NASDAQ"
2019-06-12,118.4,119,113.47,117.46,601900,"BLUE","NASDAQ"
2019-06-13,118.01,124.19,115.9805,123.94,583300,"BLUE","NASDAQ"
2019-06-14,123.61,123.61,115.9,117.66,787000,"BLUE","NASDAQ"
2019-06-17,118.05,123,117.335,122.7,669100,"BLUE","NASDAQ"
2019-06-18,126.12,126.1111,118.08,118.32,950600,"BLUE","NASDAQ"
2019-06-19,119.2,120.77,117.35,119.68,697000,"BLUE","NASDAQ"
2019-06-20,120.85,123.45,116.24,117.1,767900,"BLUE","NASDAQ"
2019-06-21,116.59,120.4,113.8,119.87,1195000,"BLUE","NASDAQ"
2019-06-24,119.13,120,117.31,117.99,1037600,"BLUE","NASDAQ"
2019-06-25,118.84,124.12,117.565,119.92,836500,"BLUE","NASDAQ"
2019-06-26,120.31,121.91,118.52,119.66,459300,"BLUE","NASDAQ"
2019-06-27,120.65,124.78,120.65,123.9,673500,"BLUE","NASDAQ"
2019-06-28,124.59,127.67,124.01,127.2,1292800,"BLUE","NASDAQ"
2019-07-01,128.94,130.24,125.99,128.3,704800,"BLUE","NASDAQ"
2019-07-02,128.05,129.58,127.37,127.8,716800,"BLUE","NASDAQ"
2019-07-03,127.67,130.08,125.01,130.03,531400,"BLUE","NASDAQ"
2019-07-05,129.3,132.43,126.6552,127.83,556900,"BLUE","NASDAQ"
2019-07-08,126.83,129.46,125.47,127.91,497400,"BLUE","NASDAQ"
2019-07-09,126.8,132.32,126.51,131.67,388500,"BLUE","NASDAQ"
2019-07-10,131.84,134.24,129.74,133.2,483400,"BLUE","NASDAQ"
2019-07-11,133.9,134.74,131.59,133.98,446000,"BLUE","NASDAQ"
2019-07-12,133.92,135.42,132.25,132.65,444200,"BLUE","NASDAQ"
2019-07-15,133.27,137.55,132.03,135.75,558100,"BLUE","NASDAQ"
2019-07-16,136.5,136.85,133.2,133.66,383200,"BLUE","NASDAQ"
2019-07-17,133.66,141.22,133.66,139.45,651600,"BLUE","NASDAQ"
2019-07-18,138.99,142.06,135.54,141.25,454500,"BLUE","NASDAQ"
2019-07-19,141.14,141.72,138.09,138.12,466000,"BLUE","NASDAQ"
2019-07-22,138.72,141.8,138.51,139.86,534100,"BLUE","NASDAQ"
2019-07-23,140.93,140.93,138.06,140.34,732000,"BLUE","NASDAQ"
2019-07-24,139.84,143.98,138.7086,143.74,502100,"BLUE","NASDAQ"
2019-07-25,143.55,143.55,139.58,140.03,655900,"BLUE","NASDAQ"
2019-07-26,140.99,142.15,138.32,139.74,325900,"BLUE","NASDAQ"
2019-07-29,140.53,141,135.16,136.82,410100,"BLUE","NASDAQ"
2019-07-30,134.77,135.74,132.68,133.04,624400,"BLUE","NASDAQ"
2019-07-31,133.13,136,131.11,131.23,455300,"BLUE","NASDAQ"
2019-08-01,131.89,131.93,125.46,128.15,617100,"BLUE","NASDAQ"
2019-08-02,126.6,127,117.38,120.28,1095400,"BLUE","NASDAQ"
2019-08-05,118.2,119.87,113.6,117.12,871700,"BLUE","NASDAQ"
2019-08-06,118.18,121.22,115,121.05,580600,"BLUE","NASDAQ"
