"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.327,2.327,2.15,2.29,8100,"BMRA","NASDAQ"
2019-05-31,2.262,2.278,2.25,2.25,1900,"BMRA","NASDAQ"
2019-06-03,2.25,2.27,2.25,2.27,1600,"BMRA","NASDAQ"
2019-06-04,2.25,2.25,2.171,2.195,900,"BMRA","NASDAQ"
2019-06-05,2.5897,2.77,2.21,2.37,464700,"BMRA","NASDAQ"
2019-06-06,2.3,2.539,2.16,2.5,93100,"BMRA","NASDAQ"
2019-06-07,2.5,2.61,2.366,2.58,24500,"BMRA","NASDAQ"
2019-06-10,2.452,2.57,2.434,2.486,14600,"BMRA","NASDAQ"
2019-06-11,2.47,2.48,2.21,2.405,4300,"BMRA","NASDAQ"
2019-06-12,2.37,2.48,2.35,2.44,11600,"BMRA","NASDAQ"
2019-06-13,2.32,2.428,2.23,2.33,8800,"BMRA","NASDAQ"
2019-06-14,2.28,2.38,2.27,2.345,4800,"BMRA","NASDAQ"
2019-06-17,2.21,2.36,2.21,2.21,42000,"BMRA","NASDAQ"
2019-06-18,2.26,2.308,2.243,2.243,10900,"BMRA","NASDAQ"
2019-06-19,2.24,2.5,2.24,2.45,40600,"BMRA","NASDAQ"
2019-06-20,2.48,2.52,2.32,2.35,32800,"BMRA","NASDAQ"
2019-06-21,2.43,2.44,2.36,2.36,4800,"BMRA","NASDAQ"
2019-06-24,2.4,2.55,2.4,2.47,86900,"BMRA","NASDAQ"
2019-06-25,2.5,2.54,2.45,2.52,14800,"BMRA","NASDAQ"
2019-06-26,2.52,2.6,2.52,2.55,24000,"BMRA","NASDAQ"
2019-06-27,2.5502,2.64,2.55,2.55,12600,"BMRA","NASDAQ"
2019-06-28,2.57,2.737,2.565,2.6,31500,"BMRA","NASDAQ"
2019-07-01,2.643,2.643,2.643,2.643,400,"BMRA","NASDAQ"
2019-07-02,2.63,2.65,2.5823,2.62,10900,"BMRA","NASDAQ"
2019-07-03,2.68,2.731,2.675,2.675,1600,"BMRA","NASDAQ"
2019-07-05,2.675,2.715,2.6698,2.691,29800,"BMRA","NASDAQ"
2019-07-08,2.72,2.74,2.69,2.72,15300,"BMRA","NASDAQ"
2019-07-09,2.69,2.71,2.54,2.59,16200,"BMRA","NASDAQ"
2019-07-10,2.61,2.68,2.5999,2.64,26600,"BMRA","NASDAQ"
2019-07-11,2.7,3.2,2.7,3.01,212500,"BMRA","NASDAQ"
2019-07-12,3.04,3.1,2.82,2.86,65300,"BMRA","NASDAQ"
2019-07-15,2.96,2.9799,2.65,2.8,75900,"BMRA","NASDAQ"
