"times","open","high","low","close","volume","symbol","market"
2019-05-30,83.04,84.173,82.71,83.38,1450900,"BMRN","NASDAQ"
2019-05-31,82.738,83.85,82.13,82.24,1240100,"BMRN","NASDAQ"
2019-06-03,82.5,83.87,81.763,82.07,1554300,"BMRN","NASDAQ"
2019-06-04,82.74,84.005,81.702,83.78,1477900,"BMRN","NASDAQ"
2019-06-05,84.06,84.38,83.04,83.59,1337200,"BMRN","NASDAQ"
2019-06-06,83.45,83.73,80.2,80.49,1754900,"BMRN","NASDAQ"
2019-06-07,81.1,81.25,79.83,80.64,3273600,"BMRN","NASDAQ"
2019-06-10,81.09,81.86,80.6,81.11,1735900,"BMRN","NASDAQ"
2019-06-11,81.42,81.86,80.08,81.09,1364100,"BMRN","NASDAQ"
2019-06-12,81.08,82.96,80.97,82.31,943600,"BMRN","NASDAQ"
2019-06-13,82.59,83.15,81.93,82.36,838300,"BMRN","NASDAQ"
2019-06-14,82.12,83.03,80.54,80.84,773300,"BMRN","NASDAQ"
2019-06-17,81.08,84.8125,81.05,84.17,1380300,"BMRN","NASDAQ"
2019-06-18,85,86.63,84.368,85.51,975400,"BMRN","NASDAQ"
2019-06-19,85.393,86.42,84.58,85.02,719900,"BMRN","NASDAQ"
2019-06-20,85.8947,87.83,85.49,86.36,988200,"BMRN","NASDAQ"
2019-06-21,86.11,88.09,85,87.91,1362900,"BMRN","NASDAQ"
2019-06-24,87.71,87.755,85.29,85.9,1061900,"BMRN","NASDAQ"
2019-06-25,85.68,86.31,83.65,83.82,1202300,"BMRN","NASDAQ"
2019-06-26,83.74,84.008,82.43,82.95,1128800,"BMRN","NASDAQ"
2019-06-27,83.05,84.155,81.67,84.03,1103600,"BMRN","NASDAQ"
2019-06-28,84.37,85.92,83.19,85.65,1609900,"BMRN","NASDAQ"
2019-07-01,86.99,86.99,84.04,84.15,1235900,"BMRN","NASDAQ"
2019-07-02,84.15,84.49,83.66,84.05,973800,"BMRN","NASDAQ"
2019-07-03,84.06,84.8,83.9,84.15,487900,"BMRN","NASDAQ"
2019-07-05,83.66,83.85,81.66,82,990200,"BMRN","NASDAQ"
2019-07-08,81.63,82.04,79.41,80.39,2032700,"BMRN","NASDAQ"
2019-07-09,80.34,83.26,80.07,83.13,1959800,"BMRN","NASDAQ"
2019-07-10,83.51,85.79,83.51,85.11,1370100,"BMRN","NASDAQ"
2019-07-11,84.92,85.24,81.17,82.72,1167000,"BMRN","NASDAQ"
2019-07-12,82.94,84.04,82.2,82.95,796200,"BMRN","NASDAQ"
2019-07-15,83.23,84.02,82.66,83.99,684000,"BMRN","NASDAQ"
2019-07-16,84.14,84.14,82.14,82.37,580600,"BMRN","NASDAQ"
2019-07-17,82.26,83.39,81.37,82.47,703500,"BMRN","NASDAQ"
2019-07-18,82.16,83.55,82.16,83.19,917600,"BMRN","NASDAQ"
2019-07-19,83.71,83.71,81.39,81.57,893900,"BMRN","NASDAQ"
2019-07-22,81.93,82.49,80.9902,81.6,704100,"BMRN","NASDAQ"
