"times","open","high","low","close","volume","symbol","market"
2019-05-30,28.64,29.143,28.26,28.93,234700,"BNFT","NASDAQ"
2019-05-31,28.52,28.64,27.925,28.36,396500,"BNFT","NASDAQ"
2019-06-03,28.4,28.44,26.69,26.95,440600,"BNFT","NASDAQ"
2019-06-04,27.33,27.68,26.63,27.55,786900,"BNFT","NASDAQ"
2019-06-05,27.81,27.885,27.05,27.07,301600,"BNFT","NASDAQ"
2019-06-06,26.94,27.97,26.39,27.63,330100,"BNFT","NASDAQ"
2019-06-07,27.63,27.75,26.82,26.87,353700,"BNFT","NASDAQ"
2019-06-10,27.05,27.813,27.05,27.13,353700,"BNFT","NASDAQ"
2019-06-11,27.29,27.52,26,26.45,447400,"BNFT","NASDAQ"
2019-06-12,26.32,26.6,25.59,26,534400,"BNFT","NASDAQ"
2019-06-13,26.19,26.52,25.71,26.26,456200,"BNFT","NASDAQ"
2019-06-14,26.18,26.86,25.81,26.75,305500,"BNFT","NASDAQ"
2019-06-17,26.91,29.0293,26.91,28.03,541300,"BNFT","NASDAQ"
2019-06-18,28.07,28.57,27.63,27.94,286300,"BNFT","NASDAQ"
2019-06-19,28.06,28.1974,27.28,27.98,281500,"BNFT","NASDAQ"
2019-06-20,28.27,28.97,27.76,27.77,371300,"BNFT","NASDAQ"
2019-06-21,27.71,28.07,26.64,26.84,1153100,"BNFT","NASDAQ"
2019-06-24,27.23,27.385,26.36,26.75,460900,"BNFT","NASDAQ"
2019-06-25,26.65,27.02,25.28,25.29,457900,"BNFT","NASDAQ"
2019-06-26,25.49,26,25.02,25.34,906800,"BNFT","NASDAQ"
2019-06-27,25.38,26.53,25.25,26.18,385800,"BNFT","NASDAQ"
2019-06-28,26.28,27.41,26.05,27.15,885900,"BNFT","NASDAQ"
2019-07-01,27.52,27.77,25.5,25.99,433100,"BNFT","NASDAQ"
2019-07-02,26.09,26.47,25.37,25.63,344900,"BNFT","NASDAQ"
2019-07-03,25.65,25.99,25.36,25.5,143900,"BNFT","NASDAQ"
2019-07-05,25.24,25.83,25.24,25.78,216200,"BNFT","NASDAQ"
2019-07-08,25.63,25.72,24.74,25.29,431500,"BNFT","NASDAQ"
2019-07-09,25.21,25.5,24.95,25.47,253700,"BNFT","NASDAQ"
2019-07-10,25.66,26.17,25.55,26.11,372100,"BNFT","NASDAQ"
2019-07-11,26.35,26.92,25.6,26.17,707700,"BNFT","NASDAQ"
2019-07-12,26.15,26.59,25.1499,25.47,409900,"BNFT","NASDAQ"
2019-07-15,25.41,25.83,24.54,25.39,397200,"BNFT","NASDAQ"
2019-07-16,25.22,25.75,24.63,25,1222900,"BNFT","NASDAQ"
2019-07-17,25.19,27.71,25.01,26.8,714900,"BNFT","NASDAQ"
2019-07-18,26.55,27.71,25.64,26.26,519100,"BNFT","NASDAQ"
2019-07-19,26.21,26.96,26.06,26.38,346600,"BNFT","NASDAQ"
2019-07-22,26.46,26.69,26.0804,26.43,282000,"BNFT","NASDAQ"
2019-07-23,26.69,26.76,26.07,26.37,289100,"BNFT","NASDAQ"
