"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.09,3.09,3.02,3.02,900,"BNGO","NASDAQ"
2019-05-31,3,3.054,3,3.01,2300,"BNGO","NASDAQ"
2019-06-03,2.9999,3.04,3,3.01,2700,"BNGO","NASDAQ"
2019-06-04,3,3,2.75,2.78,25900,"BNGO","NASDAQ"
2019-06-05,2.751,2.8899,2.75,2.89,700,"BNGO","NASDAQ"
2019-06-06,2.774,2.89,2.76,2.78,5100,"BNGO","NASDAQ"
2019-06-07,2.793,2.956,2.79,2.79,700,"BNGO","NASDAQ"
2019-06-10,2.97,2.97,2.75,2.75,4700,"BNGO","NASDAQ"
2019-06-11,2.75,2.77,2.75,2.77,700,"BNGO","NASDAQ"
2019-06-12,2.75,2.76,2.75,2.76,300,"BNGO","NASDAQ"
2019-06-13,2.966,3.15,2.77,3.01,8100,"BNGO","NASDAQ"
2019-06-14,3,4.68,2.75,2.9,449100,"BNGO","NASDAQ"
2019-06-17,2.95,2.95,2.5,2.58,39800,"BNGO","NASDAQ"
2019-06-18,2.53,2.8602,2.5,2.65,49600,"BNGO","NASDAQ"
2019-06-19,2.73,2.73,2.5,2.51,9200,"BNGO","NASDAQ"
2019-06-20,2.69,2.69,2.5,2.54,11200,"BNGO","NASDAQ"
2019-06-21,2.66,2.69,2.64,2.67,5600,"BNGO","NASDAQ"
2019-06-24,2.65,2.66,2.6,2.6,7600,"BNGO","NASDAQ"
2019-06-25,2.55,2.62,2.5,2.5,3400,"BNGO","NASDAQ"
2019-06-26,2.49,2.64,2.44,2.49,16300,"BNGO","NASDAQ"
2019-06-27,2.54,2.54,2.44,2.46,8200,"BNGO","NASDAQ"
2019-06-28,2.39,2.58,2.3901,2.45,8400,"BNGO","NASDAQ"
2019-07-01,2.45,2.6,2.45,2.51,4100,"BNGO","NASDAQ"
2019-07-02,2.51,2.57,2.44,2.44,6800,"BNGO","NASDAQ"
2019-07-03,2.44,2.44,2.35,2.36,10000,"BNGO","NASDAQ"
2019-07-05,2.35,2.41,2.35,2.37,3800,"BNGO","NASDAQ"
2019-07-08,2.65,2.65,2.46,2.48,1900,"BNGO","NASDAQ"
2019-07-09,2.67,2.67,2.59,2.59,1900,"BNGO","NASDAQ"
2019-07-10,2.6,2.65,2.52,2.58,10800,"BNGO","NASDAQ"
2019-07-11,2.61,2.67,2.6,2.6,1600,"BNGO","NASDAQ"
2019-07-12,2.68,2.68,2.6,2.6,2800,"BNGO","NASDAQ"
2019-07-15,2.6901,2.69,2.52,2.52,7500,"BNGO","NASDAQ"
2019-07-16,2.54,2.5401,2.53,2.53,1800,"BNGO","NASDAQ"
2019-07-17,2.53,2.53,2.53,2.53,200,"BNGO","NASDAQ"
2019-07-18,2.55,2.6,2.55,2.6,300,"BNGO","NASDAQ"
2019-07-19,2.65,2.65,2.65,2.65,500,"BNGO","NASDAQ"
2019-07-22,2.6,2.67,2.6,2.65,2600,"BNGO","NASDAQ"
2019-07-23,2.6,2.64,2.6,2.64,500,"BNGO","NASDAQ"
2019-07-24,2.66,2.8,2.66,2.8,2500,"BNGO","NASDAQ"
2019-07-25,2.92,2.92,2.8,2.8,3000,"BNGO","NASDAQ"
2019-07-26,2.92,2.92,2.57,2.75,1900,"BNGO","NASDAQ"
2019-07-29,2.5,2.76,2.5,2.67,13600,"BNGO","NASDAQ"
2019-07-30,2.87,2.9,2.28,2.37,22400,"BNGO","NASDAQ"
2019-07-31,2.81,2.87,2.54,2.61,6900,"BNGO","NASDAQ"
2019-08-01,2.85,2.87,2.34,2.34,8900,"BNGO","NASDAQ"
2019-08-02,2.34,2.34,2.01,2.33,14900,"BNGO","NASDAQ"
2019-08-05,2.33,2.51,2.25,2.25,13800,"BNGO","NASDAQ"
2019-08-06,2.55,2.55,2.25,2.29,22100,"BNGO","NASDAQ"
2019-08-07,2.199,2.23,2.199,2.22,1100,"BNGO","NASDAQ"
2019-08-08,2.36,2.3599,2.095,2.105,3700,"BNGO","NASDAQ"
2019-08-09,2.05,2.06,1.9,1.9,14600,"BNGO","NASDAQ"
2019-08-12,1.98,2.0852,1.904,1.97,7500,"BNGO","NASDAQ"
2019-08-13,1.98,2.25,1.7,1.969,100400,"BNGO","NASDAQ"
2019-08-14,1.44,1.99,1.44,1.86,12600,"BNGO","NASDAQ"
2019-08-15,1.98,1.98,1.58,1.68,20800,"BNGO","NASDAQ"
2019-08-16,1.79,1.94,1.6,1.82,7900,"BNGO","NASDAQ"
2019-08-19,1.75,1.82,1.61,1.63,14000,"BNGO","NASDAQ"
2019-08-20,1.64,1.9,1.5,1.9,30000,"BNGO","NASDAQ"
2019-08-21,1.92,1.92,1.61,1.71,25500,"BNGO","NASDAQ"
2019-08-22,1.67,1.74,1.6,1.74,16100,"BNGO","NASDAQ"
2019-08-23,1.61,1.62,1.55,1.6,7100,"BNGO","NASDAQ"
2019-08-26,1.59,1.78,1.51,1.51,6900,"BNGO","NASDAQ"
2019-08-27,1.56,1.74,1.24,1.55,26600,"BNGO","NASDAQ"
2019-08-28,1.64,1.65,1.25,1.45,14400,"BNGO","NASDAQ"
2019-08-29,1.63,1.63,1.48,1.48,4600,"BNGO","NASDAQ"
2019-08-30,1.75,2.74,1.33,1.49,3251200,"BNGO","NASDAQ"
2019-09-03,1.46,1.46,1.25,1.26,269000,"BNGO","NASDAQ"
2019-09-04,1.3,1.3,1.02,1.15,173300,"BNGO","NASDAQ"
2019-09-05,1.2,1.21,1.01,1.01,69300,"BNGO","NASDAQ"
2019-09-06,1.02,1.16,1.02,1.1,40300,"BNGO","NASDAQ"
2019-09-09,1.13,1.19,1.02,1.06,69800,"BNGO","NASDAQ"
2019-09-10,1.05,1.13,1.03,1.07,81800,"BNGO","NASDAQ"
2019-09-11,1.09,1.25,1.09,1.18,108900,"BNGO","NASDAQ"
2019-09-12,1.2,1.21,1.08,1.15,44000,"BNGO","NASDAQ"
2019-09-13,1.16,1.18,1.05,1.18,34200,"BNGO","NASDAQ"
2019-09-16,1.16,1.19,1.09,1.18,15300,"BNGO","NASDAQ"
2019-09-17,1.18,1.18,1.09,1.09,17800,"BNGO","NASDAQ"
2019-09-18,1.09,1.16,1.03,1.06,29500,"BNGO","NASDAQ"
2019-09-19,1.01,1.04,0.81,0.85,235700,"BNGO","NASDAQ"
2019-09-20,0.85,0.86,0.77,0.78,114000,"BNGO","NASDAQ"
2019-09-23,0.84,0.84,0.69,0.72,153700,"BNGO","NASDAQ"
2019-09-24,0.74,0.74,0.7,0.7,59300,"BNGO","NASDAQ"
2019-09-25,0.7,0.78,0.7,0.77,161900,"BNGO","NASDAQ"
2019-09-26,0.76,0.79,0.6,0.7,161100,"BNGO","NASDAQ"
2019-09-27,0.69,0.7,0.67,0.67,53700,"BNGO","NASDAQ"
2019-09-30,0.67,0.72,0.65,0.72,78800,"BNGO","NASDAQ"
2019-10-01,0.72,0.72,0.66,0.68,30500,"BNGO","NASDAQ"
2019-10-02,0.69,0.7,0.62,0.62,49300,"BNGO","NASDAQ"
2019-10-03,0.63,0.69,0.63,0.68,14000,"BNGO","NASDAQ"
2019-10-04,0.67,0.69,0.61,0.65,59900,"BNGO","NASDAQ"
2019-10-07,0.66,0.66,0.61,0.64,77200,"BNGO","NASDAQ"
2019-10-08,0.65,0.65,0.61,0.61,42400,"BNGO","NASDAQ"
2019-10-09,0.64,0.64,0.55,0.58,84300,"BNGO","NASDAQ"
2019-10-10,0.57,0.59,0.51,0.57,49900,"BNGO","NASDAQ"
2019-10-11,0.6,0.6,0.57,0.58,12000,"BNGO","NASDAQ"
2019-10-14,0.61,0.61,0.5,0.52,150400,"BNGO","NASDAQ"
2019-10-15,0.51,0.61,0.5,0.55,104900,"BNGO","NASDAQ"
2019-10-16,1.12,4.7,1.05,2.85,34393600,"BNGO","NASDAQ"
2019-10-17,2.02,2.32,1.29,1.38,6146300,"BNGO","NASDAQ"
2019-10-18,1.71,3.98,1.71,1.9,67543218,"BNGO","NASDAQ"
