"times","open","high","low","close","volume","symbol","market"
2019-05-30,25.75,25.819,25.65,25.76,8800,"BOKFL","NASDAQ"
2019-05-31,25.67,25.95,25.6,25.89,22000,"BOKFL","NASDAQ"
2019-06-03,26,26.049,25.28,25.83,6600,"BOKFL","NASDAQ"
2019-06-04,25.92,25.92,25.7086,25.76,6700,"BOKFL","NASDAQ"
2019-06-05,25.79,25.79,25.65,25.65,6500,"BOKFL","NASDAQ"
2019-06-06,25.77,25.837,25.5,25.579,11500,"BOKFL","NASDAQ"
2019-06-07,25.77,25.8217,25.66,25.66,7600,"BOKFL","NASDAQ"
2019-06-10,25.85,25.91,25.84,25.91,5300,"BOKFL","NASDAQ"
2019-06-11,25.89,25.995,25.7704,25.78,6500,"BOKFL","NASDAQ"
2019-06-12,25.92,25.9178,25.8,25.826,4700,"BOKFL","NASDAQ"
2019-06-13,25.65,25.65,25.483,25.52,7100,"BOKFL","NASDAQ"
2019-06-14,25.49,25.7,25.44,25.521,8000,"BOKFL","NASDAQ"
2019-06-17,25.51,25.67,25.51,25.62,4700,"BOKFL","NASDAQ"
2019-06-18,25.5295,25.8,25.53,25.75,13400,"BOKFL","NASDAQ"
2019-06-19,25.9,25.9,25.67,25.8,3500,"BOKFL","NASDAQ"
2019-06-20,25.79,25.8,25.612,25.8,7500,"BOKFL","NASDAQ"
2019-06-21,25.8,25.8404,25.56,25.72,7800,"BOKFL","NASDAQ"
2019-06-24,25.58,25.8,25.58,25.73,12000,"BOKFL","NASDAQ"
2019-06-25,25.725,25.75,25.65,25.67,3000,"BOKFL","NASDAQ"
2019-06-26,25.67,25.7493,25.65,25.75,8000,"BOKFL","NASDAQ"
2019-06-27,25.75,25.8992,25.75,25.9,8700,"BOKFL","NASDAQ"
2019-06-28,25.9482,26.03,25.81,26.03,33300,"BOKFL","NASDAQ"
2019-07-01,25.98,25.98,25.68,25.69,2700,"BOKFL","NASDAQ"
2019-07-02,25.72,25.83,25.72,25.731,2400,"BOKFL","NASDAQ"
2019-07-03,25.69,25.69,25.69,25.69,600,"BOKFL","NASDAQ"
2019-07-05,25.7213,25.722,25.71,25.71,1200,"BOKFL","NASDAQ"
2019-07-08,25.729,25.729,25.729,25.729,1600,"BOKFL","NASDAQ"
2019-07-09,25.66,25.75,25.6112,25.67,10600,"BOKFL","NASDAQ"
2019-07-10,25.74,25.74,25.61,25.65,4600,"BOKFL","NASDAQ"
2019-07-11,25.65,25.788,25.65,25.75,5200,"BOKFL","NASDAQ"
2019-07-12,25.66,25.75,25.651,25.651,3100,"BOKFL","NASDAQ"
2019-07-15,25.68,25.75,25.65,25.65,44600,"BOKFL","NASDAQ"
2019-07-16,25.66,25.758,25.64,25.64,17500,"BOKFL","NASDAQ"
2019-07-17,25.61,25.73,25.601,25.73,40300,"BOKFL","NASDAQ"
2019-07-18,25.63,25.74,25.63,25.65,25400,"BOKFL","NASDAQ"
2019-07-19,25.66,25.7,25.62,25.66,26800,"BOKFL","NASDAQ"
2019-07-22,25.62,25.7,25.62,25.65,25100,"BOKFL","NASDAQ"
2019-07-23,25.65,25.65,25.62,25.64,11300,"BOKFL","NASDAQ"
2019-07-24,25.65,25.815,25.64,25.81,45700,"BOKFL","NASDAQ"
2019-07-25,25.81,25.81,25.7389,25.8,9200,"BOKFL","NASDAQ"
