"times","open","high","low","close","volume","symbol","market"
2019-05-30,24.93,24.93,24.25,24.67,29200,"BOMN","NASDAQ"
2019-05-31,24.48,24.77,23.812,24.13,57600,"BOMN","NASDAQ"
2019-06-03,24,24.72,23.21,24.51,124900,"BOMN","NASDAQ"
2019-06-04,24.52,24.89,24.0114,24.45,84000,"BOMN","NASDAQ"
2019-06-05,24.3507,24.66,23.7,24.27,60500,"BOMN","NASDAQ"
2019-06-06,24.39,24.53,23.73,24.26,29400,"BOMN","NASDAQ"
2019-06-07,24.3,24.8,24.04,24.22,27000,"BOMN","NASDAQ"
2019-06-10,24.29,24.72,24.29,24.49,47500,"BOMN","NASDAQ"
2019-06-11,24.69,24.8093,24.01,24.35,57300,"BOMN","NASDAQ"
2019-06-12,24.3,24.65,24.05,24.17,41600,"BOMN","NASDAQ"
2019-06-13,24.17,24.419,23.79,24.17,51100,"BOMN","NASDAQ"
2019-06-14,24.14,24.505,24.08,24.24,39100,"BOMN","NASDAQ"
2019-06-17,24.54,24.64,24.01,24.25,51500,"BOMN","NASDAQ"
2019-06-18,24.85,24.85,24.32,24.58,46300,"BOMN","NASDAQ"
2019-06-19,24.48,24.625,24.24,24.32,38300,"BOMN","NASDAQ"
2019-06-20,24.48,24.84,24.0901,24.26,40300,"BOMN","NASDAQ"
2019-06-21,24.0786,24.35,23.55,23.84,48200,"BOMN","NASDAQ"
2019-06-24,23.66,23.99,23.11,23.29,53200,"BOMN","NASDAQ"
2019-06-25,23.17,23.63,22.0217,22.41,66500,"BOMN","NASDAQ"
2019-06-26,22.46,22.85,22.18,22.27,69600,"BOMN","NASDAQ"
2019-06-27,22.55,23,22.24,22.5,83500,"BOMN","NASDAQ"
2019-06-28,22.48,23.59,22.4,23.15,703300,"BOMN","NASDAQ"
2019-07-01,23.35,23.547,22.62,22.74,74400,"BOMN","NASDAQ"
2019-07-02,22.89,23.3,22.58,23.05,84000,"BOMN","NASDAQ"
2019-07-03,23.42,23.85,23.3706,23.6,54100,"BOMN","NASDAQ"
2019-07-05,23.93,24.18,23.626,23.8,82800,"BOMN","NASDAQ"
2019-07-08,24,24.7,23.89,24.25,100200,"BOMN","NASDAQ"
2019-07-09,24.3286,24.57,24.11,24.15,41500,"BOMN","NASDAQ"
2019-07-10,24.45,24.726,23.33,23.57,65500,"BOMN","NASDAQ"
2019-07-11,23.66,23.86,23.34,23.41,47600,"BOMN","NASDAQ"
2019-07-12,23.48,24.13,23.27,23.74,70900,"BOMN","NASDAQ"
2019-07-15,24.24,24.24,23.57,23.63,42700,"BOMN","NASDAQ"
2019-07-16,23.72,24.08,23.59,23.64,32800,"BOMN","NASDAQ"
2019-07-17,23.61,23.68,23.27,23.35,37500,"BOMN","NASDAQ"
2019-07-18,23.32,23.34,23.005,23.1,13900,"BOMN","NASDAQ"
2019-07-19,23.03,23.36,22.85,22.94,46700,"BOMN","NASDAQ"
2019-07-22,22.99,23.13,22.64,22.77,48800,"BOMN","NASDAQ"
2019-07-23,22.83,23.069,22.33,22.54,53900,"BOMN","NASDAQ"
2019-07-24,22.46,23.25,22.46,22.59,56100,"BOMN","NASDAQ"
2019-07-25,22.67,22.7749,21.705,21.86,91100,"BOMN","NASDAQ"
2019-07-26,21.97,22.0607,21.574,21.82,116200,"BOMN","NASDAQ"
2019-07-29,21.728,22.5,21.41,21.49,62100,"BOMN","NASDAQ"
2019-07-30,21.4,22.05,21.14,21.71,62700,"BOMN","NASDAQ"
2019-07-31,21.69,21.83,21,21.15,62400,"BOMN","NASDAQ"
2019-08-01,21.16,21.73,21,21.06,44600,"BOMN","NASDAQ"
2019-08-02,21.04,21.58,20.86,21.03,72300,"BOMN","NASDAQ"
2019-08-05,20.898,20.9,20,20.29,53800,"BOMN","NASDAQ"
2019-08-06,20.3,20.89,20.15,20.64,59700,"BOMN","NASDAQ"
2019-08-07,20.46,20.47,20.02,20.16,36600,"BOMN","NASDAQ"
2019-08-08,20.24,20.745,19.97,20.25,112300,"BOMN","NASDAQ"
2019-08-09,20.19,20.31,19.8184,20.06,125000,"BOMN","NASDAQ"
2019-08-12,20.0509,20.44,19.82,19.98,43200,"BOMN","NASDAQ"
2019-08-13,19.84,20.18,19.555,20.03,97800,"BOMN","NASDAQ"
2019-08-14,19.8192,20.41,19.54,20.3,72200,"BOMN","NASDAQ"
2019-08-15,20.48,20.84,20.02,20.25,33200,"BOMN","NASDAQ"
2019-08-16,20.3,20.64,20.17,20.36,40100,"BOMN","NASDAQ"
2019-08-19,20.54,20.65,20.11,20.2,49600,"BOMN","NASDAQ"
2019-08-20,20.2,20.5,20.18,20.31,37900,"BOMN","NASDAQ"
2019-08-21,20.36,20.67,20.265,20.32,20100,"BOMN","NASDAQ"
2019-08-22,20.3,20.53,20.1,20.12,23900,"BOMN","NASDAQ"
2019-08-23,20.11,20.33,19.64,19.76,51500,"BOMN","NASDAQ"
2019-08-26,19.9,20.76,19.65,20.66,55900,"BOMN","NASDAQ"
2019-08-27,20.93,21.06,20.34,20.62,69300,"BOMN","NASDAQ"
2019-08-28,20.52,20.93,20.1,20.36,79100,"BOMN","NASDAQ"
2019-08-29,20.33,20.6,20.33,20.45,31700,"BOMN","NASDAQ"
2019-08-30,20.46,20.68,20.26,20.48,52700,"BOMN","NASDAQ"
2019-09-03,20.43,21.065,20.35,20.62,94400,"BOMN","NASDAQ"
2019-09-04,20.78,21.085,20.44,20.47,45000,"BOMN","NASDAQ"
2019-09-05,20.66,20.96,20.37,20.59,65400,"BOMN","NASDAQ"
2019-09-06,20.4,20.82,20.4,20.7,36300,"BOMN","NASDAQ"
