"times","open","high","low","close","volume","symbol","market"
2019-05-30,68.8,69.829,68.28,69.21,372000,"BOOM","NASDAQ"
2019-05-31,68.49,69.31,66.59,67.64,314500,"BOOM","NASDAQ"
2019-06-03,68.15,72.27,68,71.25,369500,"BOOM","NASDAQ"
2019-06-04,72.25,74.22,71.83,73.89,622600,"BOOM","NASDAQ"
2019-06-05,74.3,76.68,73.53,75.76,577000,"BOOM","NASDAQ"
2019-06-06,75.71,76.17,70.3468,70.44,582300,"BOOM","NASDAQ"
2019-06-07,71.04,71.66,68.55,69.87,821700,"BOOM","NASDAQ"
2019-06-10,70.41,71.9,70.05,70.11,366300,"BOOM","NASDAQ"
2019-06-11,70.114,71.25,67.64,68.28,416300,"BOOM","NASDAQ"
2019-06-12,67.88,67.88,64.81,64.95,403700,"BOOM","NASDAQ"
2019-06-13,65.44,66.086,61.23,63.33,582100,"BOOM","NASDAQ"
2019-06-14,63.98,64.31,60.68,61.11,460300,"BOOM","NASDAQ"
2019-06-17,61.2,63.041,60.82,62.2,240000,"BOOM","NASDAQ"
2019-06-18,62.5,63.89,61.97,62.28,236100,"BOOM","NASDAQ"
2019-06-19,62,62.49,61.23,61.88,222500,"BOOM","NASDAQ"
2019-06-20,62.7,64.5,59.4,64.01,497200,"BOOM","NASDAQ"
2019-06-21,63.58,64.82,62.55,62.98,424300,"BOOM","NASDAQ"
2019-06-24,62.95,63.12,61.21,62.59,207500,"BOOM","NASDAQ"
2019-06-25,62.41,62.41,59.33,60.07,251700,"BOOM","NASDAQ"
2019-06-26,60.8,63.15,60.33,61.84,238600,"BOOM","NASDAQ"
2019-06-27,62.09,63.1,61.285,62.97,211700,"BOOM","NASDAQ"
2019-06-28,63.1143,64.22,62.6,63.35,312400,"BOOM","NASDAQ"
2019-07-01,64.29,65.82,62.855,63.67,188500,"BOOM","NASDAQ"
2019-07-02,63.51,63.51,61.785,62.2,230400,"BOOM","NASDAQ"
2019-07-03,62.38,62.3842,60.3,60.58,153900,"BOOM","NASDAQ"
2019-07-05,59.96,60.94,59.53,60.12,179700,"BOOM","NASDAQ"
2019-07-08,59.9338,61,59.34,60.27,176500,"BOOM","NASDAQ"
2019-07-09,59.88,60.07,57.74,59.64,277000,"BOOM","NASDAQ"
