"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.08,3.162,3.07,3.12,83000,"BOXL","NASDAQ"
2019-05-31,3.1,3.18,3.05,3.06,67900,"BOXL","NASDAQ"
2019-06-03,3.05,3.13,3.05,3.1,59500,"BOXL","NASDAQ"
2019-06-04,3.0998,3.28,3.1,3.11,41000,"BOXL","NASDAQ"
2019-06-05,3.0998,3.2,3.06,3.08,73100,"BOXL","NASDAQ"
2019-06-06,3.08,3.162,3.04,3.08,31800,"BOXL","NASDAQ"
2019-06-07,3.0799,3.238,3,3.09,71200,"BOXL","NASDAQ"
2019-06-10,3.1,3.178,3,3.03,64900,"BOXL","NASDAQ"
2019-06-11,3.0597,3.1,2.82,2.95,119500,"BOXL","NASDAQ"
2019-06-12,2.94,3.18,2.85,3.14,68900,"BOXL","NASDAQ"
2019-06-13,3.12,3.258,2.99,3.22,405000,"BOXL","NASDAQ"
2019-06-14,3.15,3.15,2.943,3.04,71700,"BOXL","NASDAQ"
2019-06-17,3.04,3.08,2.95,2.97,44200,"BOXL","NASDAQ"
2019-06-18,2.96,2.97,2.865,2.88,100100,"BOXL","NASDAQ"
2019-06-19,2.88,3,2.88,2.92,17100,"BOXL","NASDAQ"
2019-06-20,2.96,3.05,2.85,2.93,163100,"BOXL","NASDAQ"
2019-06-21,2.88,2.931,2.8,2.85,36600,"BOXL","NASDAQ"
2019-06-24,2.86,2.946,2.81,2.85,70100,"BOXL","NASDAQ"
2019-06-25,2.85,2.9,2.82,2.9,19100,"BOXL","NASDAQ"
2019-06-26,2.88,2.886,2.84,2.85,28400,"BOXL","NASDAQ"
2019-06-27,2.86,3.1,2.813,2.94,126700,"BOXL","NASDAQ"
2019-06-28,2.92,3.1,2.915,3.07,38000,"BOXL","NASDAQ"
2019-07-01,3.08,3.08,2.96,3.02,24000,"BOXL","NASDAQ"
2019-07-02,3,3,2.88,2.985,19400,"BOXL","NASDAQ"
2019-07-03,2.975,3.05,2.935,2.96,21600,"BOXL","NASDAQ"
2019-07-05,2.985,2.994,2.89,2.985,15600,"BOXL","NASDAQ"
