"times","open","high","low","close","volume","symbol","market"
2019-05-30,18.74,18.958,18.31,18.32,1772100,"BPR","NASDAQ"
2019-05-31,18.25,18.5485,18.08,18.44,2282100,"BPR","NASDAQ"
2019-06-03,18.42,18.59,18.17,18.21,2105600,"BPR","NASDAQ"
2019-06-04,18.29,18.89,18.29,18.84,2319700,"BPR","NASDAQ"
2019-06-05,18.94,19,18.815,18.94,1787000,"BPR","NASDAQ"
2019-06-06,18.98,19.1996,18.69,19.15,3333600,"BPR","NASDAQ"
2019-06-07,19.21,19.34,19.085,19.1,1419600,"BPR","NASDAQ"
2019-06-10,19.15,19.17,18.56,18.79,2700200,"BPR","NASDAQ"
2019-06-11,18.86,18.97,18.71,18.91,1552300,"BPR","NASDAQ"
2019-06-12,18.94,19,18.7,18.7,1631000,"BPR","NASDAQ"
2019-06-13,18.73,18.88,18.66,18.88,1002800,"BPR","NASDAQ"
2019-06-14,18.81,18.84,18.48,18.53,2105600,"BPR","NASDAQ"
2019-06-17,18.53,18.7,18.48,18.65,2120100,"BPR","NASDAQ"
2019-06-18,18.8,18.95,18.74,18.84,1535900,"BPR","NASDAQ"
2019-06-19,18.9,19.27,18.825,19.22,1880500,"BPR","NASDAQ"
2019-06-20,19.29,19.63,19.24,19.61,2365600,"BPR","NASDAQ"
2019-06-21,19.55,19.59,19.3816,19.57,2983200,"BPR","NASDAQ"
2019-06-24,19.52,19.58,19.44,19.46,1452500,"BPR","NASDAQ"
2019-06-25,19.45,19.5778,19.15,19.16,1519000,"BPR","NASDAQ"
2019-06-26,19.23,19.25,18.67,18.68,1594100,"BPR","NASDAQ"
2019-06-27,18.7,18.98,18.69,18.85,2095100,"BPR","NASDAQ"
2019-06-28,18.9,18.96,18.83,18.89,4251200,"BPR","NASDAQ"
2019-07-01,19.1008,19.15,18.7,18.77,967500,"BPR","NASDAQ"
2019-07-02,18.76,19.09,18.76,19,971100,"BPR","NASDAQ"
2019-07-03,19.02,19.25,19.01,19.23,592200,"BPR","NASDAQ"
2019-07-05,19.11,19.32,19.02,19.31,627000,"BPR","NASDAQ"
2019-07-08,19.31,19.3715,19.23,19.34,603300,"BPR","NASDAQ"
2019-07-09,19.28,19.36,19.23,19.36,499300,"BPR","NASDAQ"
2019-07-10,19.4,19.46,19.23,19.29,523500,"BPR","NASDAQ"
2019-07-11,19.25,19.3,18.91,18.91,1003800,"BPR","NASDAQ"
2019-07-12,18.91,19.13,18.87,19.09,962800,"BPR","NASDAQ"
2019-07-15,19.11,19.27,18.9501,19,855200,"BPR","NASDAQ"
2019-07-16,19,19.02,18.77,18.81,692300,"BPR","NASDAQ"
2019-07-17,18.85,18.95,18.72,18.83,745500,"BPR","NASDAQ"
2019-07-18,18.81,18.98,18.73,18.93,668800,"BPR","NASDAQ"
2019-07-19,18.96,19.02,18.7108,18.71,1051000,"BPR","NASDAQ"
2019-07-22,18.6992,18.75,18.55,18.58,774400,"BPR","NASDAQ"
2019-07-23,18.6,18.9095,18.57,18.91,568800,"BPR","NASDAQ"
2019-07-24,18.92,19.09,18.89,19.06,654000,"BPR","NASDAQ"
2019-07-25,19.12,19.16,18.97,19.04,436700,"BPR","NASDAQ"
2019-07-26,19.07,19.15,18.95,19.11,529700,"BPR","NASDAQ"
2019-07-29,19.13,19.36,19.13,19.25,442900,"BPR","NASDAQ"
2019-07-30,19.24,19.42,19.2,19.42,847700,"BPR","NASDAQ"
2019-07-31,19.43,19.53,19.27,19.31,648700,"BPR","NASDAQ"
2019-08-01,19.3,19.4305,19.15,19.3,682800,"BPR","NASDAQ"
2019-08-02,19.18,19.3,18.82,19,2418500,"BPR","NASDAQ"
2019-08-05,19,19,18.23,18.28,1836000,"BPR","NASDAQ"
2019-08-06,18.3,18.84,18.3,18.71,814000,"BPR","NASDAQ"
2019-08-07,18.56,19.285,18.4501,19.13,845400,"BPR","NASDAQ"
2019-08-08,19.2304,19.55,19.01,19.55,907500,"BPR","NASDAQ"
2019-08-09,19.51,19.59,19.26,19.31,596000,"BPR","NASDAQ"
2019-08-12,19.25,19.3,19.03,19.1,526100,"BPR","NASDAQ"
2019-08-13,19.12,19.41,18.99,19.12,667200,"BPR","NASDAQ"
2019-08-14,18.93,19.04,18.69,18.71,962900,"BPR","NASDAQ"
2019-08-15,18.71,19.01,18.7,18.76,827300,"BPR","NASDAQ"
2019-08-16,18.76,19.19,18.76,19.1,596700,"BPR","NASDAQ"
2019-08-19,19.19,19.43,19.07,19.41,523100,"BPR","NASDAQ"
2019-08-20,19.24,19.67,19.24,19.38,900300,"BPR","NASDAQ"
2019-08-21,19.5,19.56,19.27,19.34,710000,"BPR","NASDAQ"
2019-08-22,19.36,19.4,18.95,19.01,1571800,"BPR","NASDAQ"
2019-08-23,19,19.11,18.6,18.67,2028700,"BPR","NASDAQ"
2019-08-26,18.92,19,18.81,18.91,868800,"BPR","NASDAQ"
2019-08-27,19.07,19.2,18.89,18.91,1029500,"BPR","NASDAQ"
2019-08-28,18.96,19.2,18.94,19.18,1077900,"BPR","NASDAQ"
2019-08-29,18.98,19.11,18.85,18.95,921000,"BPR","NASDAQ"
2019-08-30,19,19,18.76,18.82,1158400,"BPR","NASDAQ"
2019-09-03,18.9,18.91,18.6,18.71,1293900,"BPR","NASDAQ"
2019-09-04,18.78,18.98,18.76,18.94,971800,"BPR","NASDAQ"
2019-09-05,18.99,19.34,18.91,19.3,1278500,"BPR","NASDAQ"
2019-09-06,19.32,19.46,19.22,19.39,960200,"BPR","NASDAQ"
2019-09-09,19.44,19.91,19.41,19.88,1424300,"BPR","NASDAQ"
2019-09-10,20,20.15,19.8,20.12,870400,"BPR","NASDAQ"
2019-09-11,20.18,20.2,20.01,20.16,513800,"BPR","NASDAQ"
2019-09-12,20.2,20.35,20.13,20.28,528500,"BPR","NASDAQ"
2019-09-13,20.36,20.4,20.01,20.07,868200,"BPR","NASDAQ"
2019-09-16,19.99,20.23,19.94,20.22,481200,"BPR","NASDAQ"
2019-09-17,20.22,20.22,19.9,19.97,532700,"BPR","NASDAQ"
2019-09-18,19.97,19.98,19.76,19.88,1261400,"BPR","NASDAQ"
2019-09-19,19.95,20.01,19.84,19.87,1148000,"BPR","NASDAQ"
2019-09-20,19.91,19.98,19.84,19.9,2838300,"BPR","NASDAQ"
2019-09-23,19.81,20.08,19.81,19.89,1207400,"BPR","NASDAQ"
2019-09-24,19.98,20.04,19.82,19.85,1290000,"BPR","NASDAQ"
2019-09-25,19.86,20.15,19.84,20.08,704200,"BPR","NASDAQ"
2019-09-26,20.06,20.52,20.06,20.4,1025500,"BPR","NASDAQ"
2019-09-27,20.53,20.55,20.25,20.34,1187700,"BPR","NASDAQ"
2019-09-30,20.58,20.77,20.33,20.39,1488700,"BPR","NASDAQ"
2019-10-01,20.22,20.38,19.49,19.52,908400,"BPR","NASDAQ"
2019-10-02,19.36,19.5,19.03,19.07,1166600,"BPR","NASDAQ"
2019-10-03,19.09,19.2,18.83,19.02,1077600,"BPR","NASDAQ"
2019-10-04,19,19.12,18.95,19.03,553400,"BPR","NASDAQ"
2019-10-07,19.03,19.34,19.02,19.22,891300,"BPR","NASDAQ"
2019-10-08,19.12,19.21,18.85,18.86,927500,"BPR","NASDAQ"
2019-10-09,18.94,19.1,18.84,18.84,654400,"BPR","NASDAQ"
2019-10-10,18.86,18.97,18.83,18.89,753900,"BPR","NASDAQ"
2019-10-11,18.99,19.38,18.96,19.21,549700,"BPR","NASDAQ"
2019-10-14,19.22,19.32,19.01,19.15,580000,"BPR","NASDAQ"
2019-10-15,19.18,19.39,19.12,19.27,505600,"BPR","NASDAQ"
2019-10-16,19.32,19.32,19.02,19.05,584100,"BPR","NASDAQ"
2019-10-17,19.06,19.1,19.01,19.09,576800,"BPR","NASDAQ"
2019-10-18,19.05,19.13,18.95,19.02,602938,"BPR","NASDAQ"
