"times","open","high","low","close","volume","symbol","market"
2019-05-30,28.42,28.72,28.12,28.34,7800,"BPRN","NASDAQ"
2019-05-31,28.22,28.2544,28.05,28.05,7800,"BPRN","NASDAQ"
2019-06-03,28.58,28.59,28.07,28.07,3500,"BPRN","NASDAQ"
2019-06-04,28.39,28.9,28.32,28.72,7000,"BPRN","NASDAQ"
2019-06-05,28.745,28.79,28.4,28.5,11200,"BPRN","NASDAQ"
2019-06-06,28.57,28.8,28.45,28.5,8500,"BPRN","NASDAQ"
2019-06-07,28.89,28.89,28.5,28.5,2200,"BPRN","NASDAQ"
2019-06-10,28.8534,29.119,28.475,28.64,3700,"BPRN","NASDAQ"
2019-06-11,28.56,28.92,28.56,28.92,3300,"BPRN","NASDAQ"
2019-06-12,28.85,29.01,28.57,28.7,4300,"BPRN","NASDAQ"
2019-06-13,29.24,29.24,29.09,29.09,1700,"BPRN","NASDAQ"
2019-06-14,29.3,29.3,28.82,28.82,3700,"BPRN","NASDAQ"
2019-06-17,28.955,28.955,28.76,28.83,2800,"BPRN","NASDAQ"
2019-06-18,29,29.11,29,29.11,1500,"BPRN","NASDAQ"
2019-06-19,29.806,29.806,28.8302,28.87,1400,"BPRN","NASDAQ"
2019-06-20,29.09,29.35,28.82,28.82,2500,"BPRN","NASDAQ"
2019-06-21,28.68,29.085,28.68,28.7,7500,"BPRN","NASDAQ"
2019-06-24,28.89,28.89,28.62,28.62,2500,"BPRN","NASDAQ"
2019-06-25,29.1,29.1,28.81,28.81,800,"BPRN","NASDAQ"
2019-06-26,29.24,29.93,29,29.89,22000,"BPRN","NASDAQ"
2019-06-27,29.45,29.89,29.44,29.83,15200,"BPRN","NASDAQ"
2019-06-28,29.69,30,29.333,30,38400,"BPRN","NASDAQ"
2019-07-01,29.96,30,29.275,29.62,17400,"BPRN","NASDAQ"
2019-07-02,29.89,29.89,28.4074,28.9,10600,"BPRN","NASDAQ"
2019-07-03,28.85,29.44,28.85,29.28,6200,"BPRN","NASDAQ"
2019-07-05,29,29.48,29,29.47,9200,"BPRN","NASDAQ"
2019-07-08,29.21,29.7679,29.21,29.25,1300,"BPRN","NASDAQ"
2019-07-09,29.0817,29.47,29.03,29.05,3100,"BPRN","NASDAQ"
2019-07-10,29.18,29.6,28.6306,28.7,10100,"BPRN","NASDAQ"
2019-07-11,29.37,29.37,28.89,29.29,2600,"BPRN","NASDAQ"
2019-07-12,29.09,29.09,28.82,28.82,5300,"BPRN","NASDAQ"
2019-07-15,28.74,28.881,28.74,28.88,1100,"BPRN","NASDAQ"
2019-07-16,28.81,28.9,28.81,28.9,1400,"BPRN","NASDAQ"
2019-07-17,28.802,28.802,28.62,28.62,1900,"BPRN","NASDAQ"
2019-07-18,28.85,28.85,28.52,28.66,4500,"BPRN","NASDAQ"
2019-07-19,28.44,28.76,28.44,28.76,2000,"BPRN","NASDAQ"
2019-07-22,28.875,28.88,28.58,28.58,1200,"BPRN","NASDAQ"
2019-07-23,28.7319,28.73,28.67,28.67,1300,"BPRN","NASDAQ"
2019-07-24,28.52,28.705,28.17,28.17,6700,"BPRN","NASDAQ"
2019-07-25,28.21,28.759,28.21,28.26,8000,"BPRN","NASDAQ"
2019-07-26,28.55,28.55,27.5024,27.5,9700,"BPRN","NASDAQ"
2019-07-29,28,28,27.37,27.37,9200,"BPRN","NASDAQ"
2019-07-30,27.986,27.986,27.48,27.8,10700,"BPRN","NASDAQ"
2019-07-31,28.35,28.6,27.57,27.57,8800,"BPRN","NASDAQ"
2019-08-01,27.21,27.95,27.21,27.37,7700,"BPRN","NASDAQ"
2019-08-02,27.74,27.74,27.32,27.32,2600,"BPRN","NASDAQ"
2019-08-05,28.398,28.398,27.17,27.17,6600,"BPRN","NASDAQ"
2019-08-06,27.26,27.26,27.02,27.02,3900,"BPRN","NASDAQ"
2019-08-07,27.05,27.4,27.05,27.4,3400,"BPRN","NASDAQ"
2019-08-08,27.4,27.51,27.1493,27.15,4400,"BPRN","NASDAQ"
2019-08-09,27.62,27.62,27.02,27.02,1600,"BPRN","NASDAQ"
2019-08-12,26.98,27.08,26.75,26.75,7100,"BPRN","NASDAQ"
2019-08-13,26.7816,27.366,26.78,26.98,2400,"BPRN","NASDAQ"
2019-08-14,26.82,26.82,26.11,26.11,5300,"BPRN","NASDAQ"
2019-08-15,26.77,26.77,26.3,26.6,2900,"BPRN","NASDAQ"
2019-08-16,26.7,26.79,26.125,26.79,4200,"BPRN","NASDAQ"
2019-08-19,26.641,26.79,26.61,26.79,2700,"BPRN","NASDAQ"
2019-08-20,26.79,26.79,26.38,26.38,6500,"BPRN","NASDAQ"
2019-08-21,26.35,26.55,26.35,26.36,2500,"BPRN","NASDAQ"
2019-08-22,26.34,26.46,26.27,26.27,6300,"BPRN","NASDAQ"
2019-08-23,26.12,26.4,26.02,26.02,9300,"BPRN","NASDAQ"
2019-08-26,26.33,26.33,25.95,26.07,3400,"BPRN","NASDAQ"
2019-08-27,26.75,26.75,25.92,26.32,3300,"BPRN","NASDAQ"
2019-08-28,26.07,26.462,26.07,26.44,4000,"BPRN","NASDAQ"
2019-08-29,26.61,26.73,26.12,26.35,7700,"BPRN","NASDAQ"
2019-08-30,26.5,26.84,26.45,26.7,3100,"BPRN","NASDAQ"
2019-09-03,26.63,26.85,26.63,26.68,3700,"BPRN","NASDAQ"
2019-09-04,26.645,26.86,26.39,26.75,1700,"BPRN","NASDAQ"
2019-09-05,26.43,26.9,26.43,26.77,3000,"BPRN","NASDAQ"
2019-09-06,26.563,26.88,26.563,26.82,2000,"BPRN","NASDAQ"
2019-09-09,26.89,26.94,26.64,26.65,9600,"BPRN","NASDAQ"
2019-09-10,26.77,27.39,26.77,26.95,5200,"BPRN","NASDAQ"
2019-09-11,27.11,28.515,27,28.45,7300,"BPRN","NASDAQ"
2019-09-12,28.46,28.5,27.73,28.29,25600,"BPRN","NASDAQ"
2019-09-13,28.05,28.5,27.76,28.22,14000,"BPRN","NASDAQ"
2019-09-16,27.817,28.58,27.817,28.17,2800,"BPRN","NASDAQ"
2019-09-17,27.91,28.4,27.8,27.8,2300,"BPRN","NASDAQ"
2019-09-18,27.9,28.9,27.9,28.57,10800,"BPRN","NASDAQ"
2019-09-19,28.7,29.2,28.5,28.56,5000,"BPRN","NASDAQ"
2019-09-20,28.51,29.4,28.153,29.4,24900,"BPRN","NASDAQ"
2019-09-23,28.68,29.09,28.085,28.55,7800,"BPRN","NASDAQ"
2019-09-24,28.44,28.68,27.69,27.69,6000,"BPRN","NASDAQ"
2019-09-25,27.94,30.2,27.814,29.5,26000,"BPRN","NASDAQ"
2019-09-26,29.5,29.5,28.97,28.97,3800,"BPRN","NASDAQ"
2019-09-27,28.89,29.075,28.45,28.88,7100,"BPRN","NASDAQ"
2019-09-30,28.65,29.5,28.65,29.06,7400,"BPRN","NASDAQ"
2019-10-01,29.37,29.37,28.61,28.61,5200,"BPRN","NASDAQ"
2019-10-02,28.5,28.68,27.57,28.02,8000,"BPRN","NASDAQ"
2019-10-03,28.13,28.47,27.342,27.98,7600,"BPRN","NASDAQ"
2019-10-04,28,28.52,27.795,28.16,7900,"BPRN","NASDAQ"
2019-10-07,28.15,28.6,28.14,28.28,6400,"BPRN","NASDAQ"
2019-10-08,28.38,28.5,28,28.39,5400,"BPRN","NASDAQ"
2019-10-09,28.38,28.85,27.452,28.24,6000,"BPRN","NASDAQ"
2019-10-10,28.46,28.86,28.27,28.27,5000,"BPRN","NASDAQ"
2019-10-11,28.48,29,27.84,28.62,8600,"BPRN","NASDAQ"
2019-10-14,28.48,28.915,28.27,28.77,5800,"BPRN","NASDAQ"
2019-10-15,28.45,28.6,28.45,28.55,3000,"BPRN","NASDAQ"
2019-10-16,28.45,28.54,27.81,28.36,3900,"BPRN","NASDAQ"
2019-10-17,28.25,28.25,28.25,28.25,1800,"BPRN","NASDAQ"
2019-10-18,28.05,28.47,27.81,28.12,8540,"BPRN","NASDAQ"
