"times","open","high","low","close","volume","symbol","market"
2019-05-30,14.19,14.398,13.34,13.44,150100,"BPTH","NASDAQ"
2019-05-31,13.4,13.543,12.73,12.73,169200,"BPTH","NASDAQ"
2019-06-03,12.54,13.031,12.433,12.72,115200,"BPTH","NASDAQ"
2019-06-04,12.83,13.51,12.83,13.15,104400,"BPTH","NASDAQ"
2019-06-05,13.2098,13.4,12.45,12.97,99800,"BPTH","NASDAQ"
2019-06-06,12.97,13.15,12.51,12.78,83600,"BPTH","NASDAQ"
2019-06-07,12.8498,13.1,12.51,12.52,75400,"BPTH","NASDAQ"
2019-06-10,12.3,13.08,12.213,12.91,97500,"BPTH","NASDAQ"
2019-06-11,12.9,16.94,12.69,14.69,1041900,"BPTH","NASDAQ"
2019-06-12,14.41,14.75,14.01,14.2,144500,"BPTH","NASDAQ"
2019-06-13,13.67,14.5,13.67,14.4,123500,"BPTH","NASDAQ"
2019-06-14,14.36,14.4,14.02,14.02,51800,"BPTH","NASDAQ"
2019-06-17,14.02,14.5,13.7,14.04,60100,"BPTH","NASDAQ"
2019-06-18,14.01,14.35,14.01,14.2,43900,"BPTH","NASDAQ"
2019-06-19,14.36,14.7009,14.02,14.43,69000,"BPTH","NASDAQ"
2019-06-20,14.62,14.73,13.76,13.84,69000,"BPTH","NASDAQ"
2019-06-21,13.9,14,13.2,13.42,71600,"BPTH","NASDAQ"
2019-06-24,13.24,13.415,12.6416,13.17,63900,"BPTH","NASDAQ"
2019-06-25,13.05,13.4383,13.05,13.08,49900,"BPTH","NASDAQ"
2019-06-26,13.1,13.5,12.79,13.17,39600,"BPTH","NASDAQ"
2019-06-27,13.28,13.28,12.575,12.95,67500,"BPTH","NASDAQ"
2019-06-28,13,13.4,12.86,13.39,47400,"BPTH","NASDAQ"
2019-07-01,13.88,13.88,12.65,13.61,62100,"BPTH","NASDAQ"
2019-07-02,13.45,16.49,13.305,14.62,1508800,"BPTH","NASDAQ"
2019-07-03,14.46,14.89,14.08,14.28,91700,"BPTH","NASDAQ"
2019-07-05,14.16,14.76,13.5,13.5,109200,"BPTH","NASDAQ"
2019-07-08,13.55,14,13.16,13.9,80300,"BPTH","NASDAQ"
2019-07-09,13.62,13.7,13.23,13.54,44000,"BPTH","NASDAQ"
2019-07-10,13.59,13.95,13.1,13.1,47900,"BPTH","NASDAQ"
2019-07-11,13.3,13.35,12.9,12.95,38400,"BPTH","NASDAQ"
2019-07-12,13,13.24,12.89,12.89,31400,"BPTH","NASDAQ"
2019-07-15,12.8598,13.13,12.65,12.9,62600,"BPTH","NASDAQ"
2019-07-16,14.99,17.53,13.76,17.17,2257400,"BPTH","NASDAQ"
2019-07-17,15.63,16.17,14.5,15,631000,"BPTH","NASDAQ"
2019-07-18,14.46,14.79,13.75,13.87,267100,"BPTH","NASDAQ"
2019-07-19,13.73,13.78,13.25,13.72,142000,"BPTH","NASDAQ"
2019-07-22,13.94,14.73,13.75,14.14,130100,"BPTH","NASDAQ"
2019-07-23,14.14,14.36,13.45,13.58,98300,"BPTH","NASDAQ"
2019-07-24,13.58,13.82,13.46,13.62,30700,"BPTH","NASDAQ"
2019-07-25,13.79,14.49,13.7,13.88,126200,"BPTH","NASDAQ"
2019-07-26,14.1,14.1,13.67,13.75,42900,"BPTH","NASDAQ"
2019-07-29,13.4,13.7802,13.4,13.5,33400,"BPTH","NASDAQ"
2019-07-30,13.26,13.93,13.19,13.8,59900,"BPTH","NASDAQ"
