"times","open","high","low","close","volume","symbol","market"
2019-05-30,28.9988,29,28.77,28.9,2200,"BRID","NASDAQ"
2019-05-31,28.25,29.45,28.25,29,2700,"BRID","NASDAQ"
2019-06-03,28.97,28.97,28.4,28.6,1400,"BRID","NASDAQ"
2019-06-04,28.8,29.2,28.175,28.175,3200,"BRID","NASDAQ"
2019-06-05,28.85,29.97,28.055,28.68,5100,"BRID","NASDAQ"
2019-06-06,28.95,29.25,28.205,28.355,3200,"BRID","NASDAQ"
2019-06-07,28.77,29.25,28.15,28.15,5600,"BRID","NASDAQ"
2019-06-10,28.78,28.78,27.915,28.33,4200,"BRID","NASDAQ"
2019-06-11,29.815,29.815,28.04,29.4,3800,"BRID","NASDAQ"
2019-06-12,28.65,30,28.405,29.5,7600,"BRID","NASDAQ"
2019-06-13,28.9556,29.64,28.5,28.69,6800,"BRID","NASDAQ"
2019-06-14,29.25,29.25,28.43,28.43,2100,"BRID","NASDAQ"
2019-06-17,28.69,28.71,28.44,28.7,2200,"BRID","NASDAQ"
2019-06-18,29.01,29.1,28.424,28.85,2900,"BRID","NASDAQ"
2019-06-19,29,29.05,28.61,28.98,1400,"BRID","NASDAQ"
2019-06-20,28.891,29.25,28.891,29.25,2400,"BRID","NASDAQ"
2019-06-21,28.99,29.25,28.755,29.25,4500,"BRID","NASDAQ"
2019-06-24,28.755,29.15,28.755,28.88,8100,"BRID","NASDAQ"
2019-06-25,29,29,28.83,28.83,2600,"BRID","NASDAQ"
2019-06-26,28.98,29.2495,28.98,29.01,7000,"BRID","NASDAQ"
2019-06-27,29.255,29.5,29,29.49,8900,"BRID","NASDAQ"
2019-06-28,29.49,31,29.045,29.76,192000,"BRID","NASDAQ"
2019-07-01,29.425,29.84,28.66,29.48,5800,"BRID","NASDAQ"
2019-07-02,29.58,34.66,29.58,34.371,21600,"BRID","NASDAQ"
2019-07-03,34.88,35.65,34.39,34.89,5400,"BRID","NASDAQ"
2019-07-05,34.82,38,33.1164,34.345,8300,"BRID","NASDAQ"
2019-07-08,34.2078,34.21,33.19,34.16,5900,"BRID","NASDAQ"
2019-07-09,32.499,34.75,32.19,32.44,7400,"BRID","NASDAQ"
2019-07-10,32.99,34.17,32.99,34.17,5500,"BRID","NASDAQ"
2019-07-11,34.17,35.19,34.08,35.19,6200,"BRID","NASDAQ"
2019-07-12,35.0512,35.71,34.55,34.81,8900,"BRID","NASDAQ"
2019-07-15,35.39,35.39,34.6027,34.81,3300,"BRID","NASDAQ"
2019-07-16,37,37,34.41,35,2600,"BRID","NASDAQ"
2019-07-17,34.89,36.4508,34.89,36.05,8100,"BRID","NASDAQ"
2019-07-18,36.8,36.8,34.93,34.93,2700,"BRID","NASDAQ"
2019-07-19,35.31,35.98,34.43,34.43,5900,"BRID","NASDAQ"
2019-07-22,34.4,35.11,33.72,35.11,1700,"BRID","NASDAQ"
2019-07-23,35.3,36.4,33.16,35.27,5000,"BRID","NASDAQ"
2019-07-24,35.5,36.3,35.5,36.3,2600,"BRID","NASDAQ"
2019-07-25,36.78,36.78,34.97,36.19,3600,"BRID","NASDAQ"
2019-07-26,36.1,36.1,35.5,35.87,3300,"BRID","NASDAQ"
