"times","open","high","low","close","volume","symbol","market"
2019-05-30,36.49,37.36,36.37,37.27,627600,"BRKS","NASDAQ"
2019-05-31,36.7894,36.79,35.39,35.49,626300,"BRKS","NASDAQ"
2019-06-03,35.52,36.29,35.081,35.77,485400,"BRKS","NASDAQ"
2019-06-04,36.48,37.75,35.83,37.68,306800,"BRKS","NASDAQ"
2019-06-05,37.95,38.52,37.35,38.45,494000,"BRKS","NASDAQ"
2019-06-06,38.18,40.31,38.13,40,901400,"BRKS","NASDAQ"
2019-06-07,40.07,40.78,39.5189,39.58,417800,"BRKS","NASDAQ"
2019-06-10,40.23,42.17,40.1,41.1,445900,"BRKS","NASDAQ"
2019-06-11,41.78,42.09,39.83,39.96,442100,"BRKS","NASDAQ"
2019-06-12,39.72,39.78,38.41,39.02,390600,"BRKS","NASDAQ"
2019-06-13,39.23,39.725,38.73,39.37,301600,"BRKS","NASDAQ"
2019-06-14,38.79,38.98,37.96,38.45,374500,"BRKS","NASDAQ"
2019-06-17,38.66,39.23,38.1378,38.17,471500,"BRKS","NASDAQ"
2019-06-18,38.5615,40.413,38.13,39.56,617900,"BRKS","NASDAQ"
2019-06-19,39.59,39.62,38.29,38.8,523600,"BRKS","NASDAQ"
2019-06-20,39.64,39.89,39.12,39.55,532600,"BRKS","NASDAQ"
2019-06-21,39.2,39.46,38.65,38.68,1138700,"BRKS","NASDAQ"
2019-06-24,39.03,39.3011,38.65,38.96,368600,"BRKS","NASDAQ"
2019-06-25,39.03,39.46,36.58,36.64,500800,"BRKS","NASDAQ"
2019-06-26,37.21,37.68,36.85,37.39,473600,"BRKS","NASDAQ"
2019-06-27,37.64,38.76,37.64,38.64,594100,"BRKS","NASDAQ"
2019-06-28,38.87,39.64,38.68,38.75,1328500,"BRKS","NASDAQ"
2019-07-01,39.68,40.6321,39.35,39.92,386900,"BRKS","NASDAQ"
2019-07-02,39.9496,39.996,38.32,38.82,468200,"BRKS","NASDAQ"
2019-07-03,38.94,39.95,38.43,39.6,408900,"BRKS","NASDAQ"
2019-07-05,39.19,39.58,38.87,39.56,225800,"BRKS","NASDAQ"
2019-07-08,39.21,39.21,37.88,38.03,431400,"BRKS","NASDAQ"
2019-07-09,37.65,38.09,37.38,38.09,511300,"BRKS","NASDAQ"
2019-07-10,38.65,39.61,38.45,38.95,480900,"BRKS","NASDAQ"
2019-07-11,38.97,39.02,37.5604,38.25,318100,"BRKS","NASDAQ"
2019-07-12,38.41,39.63,38.28,39.5,231000,"BRKS","NASDAQ"
2019-07-15,39.68,39.83,38.8,39.07,309100,"BRKS","NASDAQ"
2019-07-16,38.99,39.69,38.42,39.31,461900,"BRKS","NASDAQ"
2019-07-17,39.41,39.9,38.87,38.92,473700,"BRKS","NASDAQ"
2019-07-18,39,40.29,39,39.95,369400,"BRKS","NASDAQ"
2019-07-19,39.9,40.5,39.38,39.44,437500,"BRKS","NASDAQ"
2019-07-22,39.77,40.6,39.3999,40.09,261500,"BRKS","NASDAQ"
2019-07-23,40.57,41.16,39.93,41.15,303300,"BRKS","NASDAQ"
2019-07-24,41.23,42.25,41.23,41.75,530000,"BRKS","NASDAQ"
2019-07-25,41.74,42,40.88,40.97,273700,"BRKS","NASDAQ"
2019-07-26,41.24,41.77,40.82,41.51,333100,"BRKS","NASDAQ"
2019-07-29,41.57,41.59,40.51,41.42,291800,"BRKS","NASDAQ"
2019-07-30,40.78,41.3,39.66,40.55,530700,"BRKS","NASDAQ"
2019-07-31,40.66,40.67,38.6767,38.8,817000,"BRKS","NASDAQ"
2019-08-01,38.6,39.98,37.49,37.78,707700,"BRKS","NASDAQ"
2019-08-02,36.17,36.25,32.41,32.69,1423600,"BRKS","NASDAQ"
2019-08-05,31.57,31.917,30.77,31.62,835500,"BRKS","NASDAQ"
2019-08-06,31.9,32.95,31.54,32.19,574800,"BRKS","NASDAQ"
2019-08-07,31.58,32.09,31,31.21,425500,"BRKS","NASDAQ"
2019-08-08,31.5,32.39,31.185,32.36,547500,"BRKS","NASDAQ"
2019-08-09,32.1,32.2209,30.25,31.59,377600,"BRKS","NASDAQ"
2019-08-12,31.17,31.3114,30.55,31.02,281100,"BRKS","NASDAQ"
2019-08-13,30.8,32.22,30.75,31.64,219800,"BRKS","NASDAQ"
2019-08-14,30.62,30.99,30.03,30.18,281000,"BRKS","NASDAQ"
2019-08-15,30.27,30.51,29.92,30.35,331700,"BRKS","NASDAQ"
2019-08-16,30.38,31.4197,30.31,31.24,276600,"BRKS","NASDAQ"
2019-08-19,31.91,32.11,31.49,31.51,246100,"BRKS","NASDAQ"
2019-08-20,31.31,31.63,31.01,31.31,259100,"BRKS","NASDAQ"
2019-08-21,31.78,32.15,31.32,32.03,250200,"BRKS","NASDAQ"
2019-08-22,32.1,32.39,31.58,32.19,284200,"BRKS","NASDAQ"
2019-08-23,31.23,31.63,29.91,30.92,898500,"BRKS","NASDAQ"
2019-08-26,31.09,31.38,30.57,31.03,386700,"BRKS","NASDAQ"
2019-08-27,31.46,31.63,30.58,30.98,354000,"BRKS","NASDAQ"
2019-08-28,30.83,31.13,30.48,30.93,219200,"BRKS","NASDAQ"
2019-08-29,31.47,32.98,31.44,32.8,382400,"BRKS","NASDAQ"
2019-08-30,32.55,33.39,32.55,33.33,494300,"BRKS","NASDAQ"
2019-09-03,33.37,33.88,33.05,33.49,890500,"BRKS","NASDAQ"
2019-09-04,34.04,34.83,33.76,34.34,484500,"BRKS","NASDAQ"
2019-09-05,35.02,36.25,35.02,35.22,375500,"BRKS","NASDAQ"
2019-09-06,35.37,35.6,34.63,35.04,267100,"BRKS","NASDAQ"
2019-09-09,35.17,35.73,34.62,35.72,267700,"BRKS","NASDAQ"
2019-09-10,35.54,37.72,35.21,37.71,388200,"BRKS","NASDAQ"
2019-09-11,37.81,38.45,37.01,37.48,458400,"BRKS","NASDAQ"
2019-09-12,37.88,39.35,37.3,39.06,448900,"BRKS","NASDAQ"
2019-09-13,39.22,39.37,38.28,38.3,537300,"BRKS","NASDAQ"
2019-09-16,37.86,38.61,37.42,37.75,464800,"BRKS","NASDAQ"
2019-09-17,37.83,38.43,36.62,38.41,488300,"BRKS","NASDAQ"
