"times","open","high","low","close","volume","symbol","market"
2019-05-29,10.43,10.45,10.42,10.42,11200,"BRPA","NASDAQ"
2019-05-30,10.42,10.42,10.42,10.42,0,"BRPA","NASDAQ"
2019-05-31,10.42,10.42,10.42,10.42,0,"BRPA","NASDAQ"
2019-06-03,10.45,10.45,10.45,10.45,200,"BRPA","NASDAQ"
2019-06-04,10.4498,10.45,10.45,10.45,0,"BRPA","NASDAQ"
2019-06-05,10.45,10.45,10.45,10.45,0,"BRPA","NASDAQ"
2019-06-06,10.45,10.45,10.45,10.45,0,"BRPA","NASDAQ"
2019-06-07,10.45,10.45,10.45,10.45,0,"BRPA","NASDAQ"
2019-06-10,10.42,10.43,10.4205,10.43,300,"BRPA","NASDAQ"
2019-06-11,10.43,10.43,10.43,10.43,0,"BRPA","NASDAQ"
2019-06-12,10.43,10.4308,10.43,10.43,0,"BRPA","NASDAQ"
2019-06-13,10.43,10.43,10.43,10.43,0,"BRPA","NASDAQ"
2019-06-14,10.43,10.4301,10.43,10.43,0,"BRPA","NASDAQ"
2019-06-17,11.203,12.04,10.594,10.8,8900,"BRPA","NASDAQ"
2019-06-18,11.4,11.4,10.49,10.49,500,"BRPA","NASDAQ"
2019-06-19,10.45,10.45,10.39,10.39,1200,"BRPA","NASDAQ"
2019-06-20,10.38,10.38,10.38,10.38,200,"BRPA","NASDAQ"
2019-06-21,10.38,10.38,10.38,10.38,200,"BRPA","NASDAQ"
2019-06-24,10.39,10.4,10.35,10.35,8700,"BRPA","NASDAQ"
2019-06-25,10.35,10.43,10.35,10.43,1000,"BRPA","NASDAQ"
2019-06-26,10.43,10.43,10.43,10.43,0,"BRPA","NASDAQ"
2019-06-27,10.51,10.53,10.5102,10.53,500,"BRPA","NASDAQ"
2019-06-28,10.53,10.53,10.53,10.53,0,"BRPA","NASDAQ"
2019-07-01,10.398,10.45,10.398,10.45,1100,"BRPA","NASDAQ"
2019-07-02,10.4,10.4,10.4,10.4,300,"BRPA","NASDAQ"
2019-07-03,10.3999,10.4,10.4,10.4,0,"BRPA","NASDAQ"
2019-07-05,10.4,10.4,10.3998,10.4,100,"BRPA","NASDAQ"
2019-07-08,10.4,10.4,10.4,10.4,0,"BRPA","NASDAQ"
2019-07-09,10.4,10.3999,10.4,10.4,0,"BRPA","NASDAQ"
2019-07-10,10.3999,10.4,10.4,10.4,338900,"BRPA","NASDAQ"
2019-07-11,10.4,10.4,10.4,10.4,0,"BRPA","NASDAQ"
2019-07-12,10.4,10.4,10.4,10.4,0,"BRPA","NASDAQ"
2019-07-15,10.4,10.4,10.4,10.4,0,"BRPA","NASDAQ"
2019-07-16,10.4,10.4,10.4,10.4,100,"BRPA","NASDAQ"
2019-07-17,10.4,10.4,10.4,10.4,0,"BRPA","NASDAQ"
2019-07-18,10.68,10.6797,10.471,10.471,300,"BRPA","NASDAQ"
2019-07-19,10.45,10.45,10.415,10.415,500,"BRPA","NASDAQ"
2019-07-22,10.43,10.5002,10.43,10.5,13500,"BRPA","NASDAQ"
2019-07-23,10.5,10.5,10.5,10.5,0,"BRPA","NASDAQ"
2019-07-24,10.5,10.5,10.5,10.5,0,"BRPA","NASDAQ"
2019-07-25,10.48,10.5,10.42,10.5,30600,"BRPA","NASDAQ"
2019-07-26,10.47,10.483,10.47,10.48,10300,"BRPA","NASDAQ"
2019-07-29,10.4699,10.47,10.435,10.47,7200,"BRPA","NASDAQ"
2019-07-30,10.47,10.47,10.435,10.47,7200,"BRPA","NASDAQ"
2019-07-31,10.5,10.5,10.5,10.5,100,"BRPA","NASDAQ"
2019-08-01,10.46,10.4598,10.3,10.3,1300,"BRPA","NASDAQ"
2019-08-02,10.5,10.5,10.47,10.5,1000,"BRPA","NASDAQ"
2019-08-05,10.441,10.5,10.441,10.48,700,"BRPA","NASDAQ"
2019-08-06,10.5,10.5,10.44,10.458,4100,"BRPA","NASDAQ"
2019-08-07,10.5,10.5,10.44,10.458,4100,"BRPA","NASDAQ"
2019-08-08,10.385,10.385,10.385,10.385,100,"BRPA","NASDAQ"
2019-08-09,10.385,10.385,10.385,10.385,100,"BRPA","NASDAQ"
2019-08-12,10.385,10.385,10.385,10.385,100,"BRPA","NASDAQ"
2019-08-13,10.44,10.44,10.44,10.44,100,"BRPA","NASDAQ"
2019-08-14,10.44,10.44,10.44,10.44,100,"BRPA","NASDAQ"
2019-08-15,10.41,10.44,10.35,10.44,26100,"BRPA","NASDAQ"
2019-08-16,10.5,10.5,10.5,10.5,25000,"BRPA","NASDAQ"
2019-08-19,10.5,10.5,10.5,10.5,365500,"BRPA","NASDAQ"
2019-08-20,10.48,10.48,10.46,10.46,200,"BRPA","NASDAQ"
2019-08-21,10.53,10.53,10.53,10.53,125000,"BRPA","NASDAQ"
2019-08-22,10.53,10.53,10.53,10.53,0,"BRPA","NASDAQ"
2019-08-23,10.4,10.4,10.4,10.4,100,"BRPA","NASDAQ"
2019-08-26,10.4,10.4,10.4,10.4,0,"BRPA","NASDAQ"
2019-08-27,10.4,10.4,10.4,10.4,0,"BRPA","NASDAQ"
2019-08-28,10.43,10.43,10.43,10.43,100,"BRPA","NASDAQ"
2019-08-29,10.43,10.43,10.43,10.43,200,"BRPA","NASDAQ"
2019-08-30,10.43,10.43,10.43,10.43,100,"BRPA","NASDAQ"
2019-09-03,10.4,10.45,10.4,10.45,200,"BRPA","NASDAQ"
2019-09-04,10.45,10.45,10.45,10.45,0,"BRPA","NASDAQ"
2019-09-05,10.45,10.45,10.45,10.45,0,"BRPA","NASDAQ"
2019-09-06,10.45,10.45,10.45,10.45,300,"BRPA","NASDAQ"
2019-09-09,10.4,10.4,10.4,10.4,300,"BRPA","NASDAQ"
2019-09-10,10.45,10.45,10.45,10.45,200,"BRPA","NASDAQ"
2019-09-11,10.5,10.5,10.5,10.5,125400,"BRPA","NASDAQ"
2019-09-12,10.5,10.5,10.5,10.5,0,"BRPA","NASDAQ"
2019-09-13,10.5,10.5,10.5,10.5,0,"BRPA","NASDAQ"
2019-09-16,10.5,10.5,10.5,10.5,0,"BRPA","NASDAQ"
2019-09-17,10.5,10.5,10.5,10.5,0,"BRPA","NASDAQ"
2019-09-18,10.55,10.6,10.55,10.6,25600,"BRPA","NASDAQ"
2019-09-19,10.6,10.6,10.6,10.6,0,"BRPA","NASDAQ"
2019-09-20,10.59,10.59,10.59,10.59,500,"BRPA","NASDAQ"
2019-09-23,10.59,10.59,10.59,10.59,0,"BRPA","NASDAQ"
2019-09-24,10.54,10.54,10.54,10.54,5000,"BRPA","NASDAQ"
2019-09-25,10.54,10.54,10.54,10.54,0,"BRPA","NASDAQ"
