"times","open","high","low","close","volume","symbol","market"
2019-05-30,14.92,15.35,14.89,15.33,9900,"BSET","NASDAQ"
2019-05-31,15.0105,15.28,14.61,14.69,24800,"BSET","NASDAQ"
2019-06-03,14.84,14.84,14.36,14.44,19700,"BSET","NASDAQ"
2019-06-04,14.955,15.03,14.315,15.03,17900,"BSET","NASDAQ"
2019-06-05,14.335,15.98,14.335,14.55,26700,"BSET","NASDAQ"
2019-06-06,14.63,14.63,13.565,13.97,59700,"BSET","NASDAQ"
2019-06-07,13.91,14.1,13.4757,13.78,23300,"BSET","NASDAQ"
2019-06-10,13.9487,14.5,13.95,14.28,20900,"BSET","NASDAQ"
2019-06-11,14.298,14.47,13.7109,13.77,27200,"BSET","NASDAQ"
2019-06-12,13.83,14.275,13.38,13.55,18900,"BSET","NASDAQ"
2019-06-13,13.68,14.1,13.41,13.75,22700,"BSET","NASDAQ"
2019-06-14,13.84,14.08,13.5,13.61,14800,"BSET","NASDAQ"
2019-06-17,13.46,13.53,13.36,13.4,16400,"BSET","NASDAQ"
2019-06-18,13.42,13.87,13.4005,13.72,19500,"BSET","NASDAQ"
2019-06-19,13.72,13.95,13.72,13.82,13700,"BSET","NASDAQ"
2019-06-20,13.87,14.18,13.84,13.9,41400,"BSET","NASDAQ"
2019-06-21,13.84,14.41,13.84,14.37,42200,"BSET","NASDAQ"
2019-06-24,14.6,14.674,13.56,13.64,30500,"BSET","NASDAQ"
2019-06-25,13.84,14,13.445,13.65,31200,"BSET","NASDAQ"
2019-06-26,13.63,14.41,13.445,14.21,31400,"BSET","NASDAQ"
2019-06-27,14.22,14.67,14.14,14.67,38300,"BSET","NASDAQ"
2019-06-28,14.7,16.229,14.7,15.25,109700,"BSET","NASDAQ"
2019-07-01,15.62,15.7,15.0709,15.66,44200,"BSET","NASDAQ"
2019-07-02,14.8584,14.86,13.54,13.66,74600,"BSET","NASDAQ"
2019-07-03,13.6603,13.66,13.16,13.2,38900,"BSET","NASDAQ"
2019-07-05,13.22,13.42,12.915,13.01,40600,"BSET","NASDAQ"
2019-07-08,13,13.55,13,13.19,33200,"BSET","NASDAQ"
2019-07-09,13.19,13.19,13.02,13.07,32700,"BSET","NASDAQ"
2019-07-10,13.15,13.41,13.01,13.16,29100,"BSET","NASDAQ"
2019-07-11,13.16,13.2,12.8,12.97,29100,"BSET","NASDAQ"
2019-07-12,12.97,13.19,12.87,12.9,37300,"BSET","NASDAQ"
2019-07-15,12.95,13.01,12.72,12.84,33200,"BSET","NASDAQ"
2019-07-16,12.95,12.95,12.71,12.89,21400,"BSET","NASDAQ"
2019-07-17,12.95,13.02,12.71,12.85,105500,"BSET","NASDAQ"
2019-07-18,12.92,13.21,12.65,12.72,53500,"BSET","NASDAQ"
2019-07-19,12.73,13.15,12.72,12.85,47100,"BSET","NASDAQ"
2019-07-22,13.01,13.05,12.73,12.78,31100,"BSET","NASDAQ"
2019-07-23,12.8,13.05,12.16,12.34,61200,"BSET","NASDAQ"
2019-07-24,12.3,12.99,12.29,12.63,248200,"BSET","NASDAQ"
2019-07-25,12.64,13.12,12.4,12.57,42400,"BSET","NASDAQ"
2019-07-26,12.6,12.85,12.46,12.65,28900,"BSET","NASDAQ"
2019-07-29,12.6995,13.18,12.66,12.96,40900,"BSET","NASDAQ"
2019-07-30,13.05,13.26,12.95,13,48400,"BSET","NASDAQ"
2019-07-31,12.86,13.16,12.6906,12.78,40000,"BSET","NASDAQ"
2019-08-01,12.69,13.16,12.65,12.7,27900,"BSET","NASDAQ"
2019-08-02,12.6,12.68,12.24,12.51,21800,"BSET","NASDAQ"
2019-08-05,12.33,12.45,12.03,12.41,75300,"BSET","NASDAQ"
2019-08-06,12.8,12.8,12.29,12.53,32400,"BSET","NASDAQ"
2019-08-07,12.45,12.88,12.45,12.7,31400,"BSET","NASDAQ"
2019-08-08,12.863,13.17,12.8,12.9,28800,"BSET","NASDAQ"
2019-08-09,12.948,12.99,12.46,12.66,23300,"BSET","NASDAQ"
2019-08-12,12.6,12.73,12.44,12.7,15200,"BSET","NASDAQ"
2019-08-13,12.705,13.14,12.6907,12.7,34500,"BSET","NASDAQ"
