"times","open","high","low","close","volume","symbol","market"
2019-05-30,6.84,7.14,6.724,7.02,288700,"BSGM","NASDAQ"
2019-05-31,7,7.7,6.95,7.61,388500,"BSGM","NASDAQ"
2019-06-03,7.29,7.482,6.539,6.71,310600,"BSGM","NASDAQ"
2019-06-04,6.8,6.95,6.355,6.64,394300,"BSGM","NASDAQ"
2019-06-05,6.75,6.83,6.03,6.03,372100,"BSGM","NASDAQ"
2019-06-06,6.2,6.5,6.1,6.5,204600,"BSGM","NASDAQ"
2019-06-07,6.18,6.64,6.06,6.32,218900,"BSGM","NASDAQ"
2019-06-10,6.28,6.83,6.13,6.83,219600,"BSGM","NASDAQ"
2019-06-11,6.78,6.8,6.33,6.37,143900,"BSGM","NASDAQ"
2019-06-12,6.38,6.88,6.38,6.83,151700,"BSGM","NASDAQ"
2019-06-13,6.83,7.85,6.83,7.47,221400,"BSGM","NASDAQ"
2019-06-14,7.4,7.98,7.327,7.91,179000,"BSGM","NASDAQ"
2019-06-17,8.2,8.63,8.105,8.5,318500,"BSGM","NASDAQ"
2019-06-18,8.5,8.6,8.06,8.45,172300,"BSGM","NASDAQ"
2019-06-19,8.35,8.86,8.246,8.8,216100,"BSGM","NASDAQ"
2019-06-20,8.97,8.97,8.65,8.9,211600,"BSGM","NASDAQ"
2019-06-21,8.84,9.2502,8.41,9.25,419100,"BSGM","NASDAQ"
2019-06-24,9.03,9.289,8.4301,9,275300,"BSGM","NASDAQ"
2019-06-25,8.92,8.92,8.61,8.74,152900,"BSGM","NASDAQ"
2019-06-26,8.6202,8.93,8.5,8.86,131700,"BSGM","NASDAQ"
2019-06-27,8.82,9.55,8.82,9.47,363600,"BSGM","NASDAQ"
2019-06-28,9.4492,9.79,9.14,9.39,1943300,"BSGM","NASDAQ"
2019-07-01,9.13,9.4,8.8605,9.36,226400,"BSGM","NASDAQ"
2019-07-02,9.34,9.37,8.69,8.71,145800,"BSGM","NASDAQ"
2019-07-03,8.71,9.15,8.11,8.88,209900,"BSGM","NASDAQ"
2019-07-05,8.81,8.9992,8.52,8.71,90900,"BSGM","NASDAQ"
2019-07-08,8.71,9.05,8.71,8.86,108800,"BSGM","NASDAQ"
