"times","open","high","low","close","volume","symbol","market"
2019-05-30,60.64,60.8,58.685,59.33,70700,"BSTC","NASDAQ"
2019-05-31,58.68,59.16,56.891,59.15,56400,"BSTC","NASDAQ"
2019-06-03,58.98,60.77,56.27,56.51,68900,"BSTC","NASDAQ"
2019-06-04,56.9,57.11,54.7478,56.5,141600,"BSTC","NASDAQ"
2019-06-05,56.61,58.94,56.01,57.77,72500,"BSTC","NASDAQ"
2019-06-06,57.75,58.63,55.5843,57,142100,"BSTC","NASDAQ"
2019-06-07,57.42,58.995,56.95,58.2,92600,"BSTC","NASDAQ"
2019-06-10,58.38,58.77,56.36,56.7,75800,"BSTC","NASDAQ"
2019-06-11,56.63,56.84,55,56.22,59200,"BSTC","NASDAQ"
2019-06-12,56.2,57.356,56.05,56.75,46400,"BSTC","NASDAQ"
2019-06-13,57.1,58.545,57.1,57.73,37000,"BSTC","NASDAQ"
2019-06-14,57.6862,58.999,56.12,56.17,66500,"BSTC","NASDAQ"
2019-06-17,56.25,58.19,56.25,57.9,40600,"BSTC","NASDAQ"
2019-06-18,58.15,59.97,58.15,59.42,62500,"BSTC","NASDAQ"
2019-06-19,59.54,62.32,59.23,62.01,143200,"BSTC","NASDAQ"
2019-06-20,62.84,63.67,59.46,60.01,81400,"BSTC","NASDAQ"
2019-06-21,59.72,59.72,57,58.43,76600,"BSTC","NASDAQ"
2019-06-24,58.49,59.045,56.66,57.6,50100,"BSTC","NASDAQ"
2019-06-25,57.57,59.03,57.295,57.81,47600,"BSTC","NASDAQ"
2019-06-26,57.9,58.8929,57.206,57.66,54200,"BSTC","NASDAQ"
2019-06-27,57.61,60.07,57.525,59.97,45800,"BSTC","NASDAQ"
2019-06-28,60.22,60.65,58.23,59.71,98900,"BSTC","NASDAQ"
2019-07-01,60.46,61.2,59.55,60.85,47900,"BSTC","NASDAQ"
2019-07-02,60.4887,61.21,58.75,59.87,65000,"BSTC","NASDAQ"
2019-07-03,60.16,61.96,59.32,61.89,49100,"BSTC","NASDAQ"
2019-07-05,61.25,61.83,59.07,60.2,46800,"BSTC","NASDAQ"
2019-07-08,60.2614,61.1,58.8,59.55,33000,"BSTC","NASDAQ"
2019-07-09,59.5,61.86,59.4,61.31,49300,"BSTC","NASDAQ"
2019-07-10,61.18,63.58,61.18,62.94,83100,"BSTC","NASDAQ"
2019-07-11,63.28,63.99,61.52,61.64,50200,"BSTC","NASDAQ"
2019-07-12,61.25,63.45,60.58,62.8,54500,"BSTC","NASDAQ"
2019-07-15,62.85,63.59,61.77,63.09,77500,"BSTC","NASDAQ"
2019-07-16,63.17,63.5,62.31,62.89,57100,"BSTC","NASDAQ"
2019-07-17,62.8,62.98,61.1,62.4,94500,"BSTC","NASDAQ"
2019-07-18,62.36,62.69,60.62,61,85300,"BSTC","NASDAQ"
2019-07-19,60.64,61.5,59.78,60.87,34900,"BSTC","NASDAQ"
2019-07-22,61.31,63.24,60.77,62.18,50800,"BSTC","NASDAQ"
2019-07-23,62.33,63.0417,60.78,61.03,45200,"BSTC","NASDAQ"
2019-07-24,60.57,61.9,60.5,61.01,62200,"BSTC","NASDAQ"
2019-07-25,61.06,61.0616,59.97,59.97,34600,"BSTC","NASDAQ"
2019-07-26,60.31,60.58,59.27,59.75,75900,"BSTC","NASDAQ"
2019-07-29,59.68,59.69,58.5,59.11,58300,"BSTC","NASDAQ"
2019-07-30,59,60.37,58.04,59.54,47100,"BSTC","NASDAQ"
2019-07-31,59.49,60.1,58.02,58.1,47300,"BSTC","NASDAQ"
2019-08-01,57.53,59.16,57.5287,57.85,68700,"BSTC","NASDAQ"
2019-08-02,57.71,58.3,56.25,56.65,49900,"BSTC","NASDAQ"
2019-08-05,56.25,56.25,54.12,55.17,45900,"BSTC","NASDAQ"
2019-08-06,55.49,56.81,55.25,56.35,44200,"BSTC","NASDAQ"
2019-08-07,55.69,57.6,55.5,56.1,73200,"BSTC","NASDAQ"
2019-08-08,56.57,58.5418,56.57,58.24,48600,"BSTC","NASDAQ"
2019-08-09,58.12,59.05,55.65,56.55,52500,"BSTC","NASDAQ"
2019-08-12,59.22,59.98,57.637,59.41,73800,"BSTC","NASDAQ"
2019-08-13,59.37,61.52,59,59.49,53800,"BSTC","NASDAQ"
2019-08-14,59.11,59.11,55.78,57.09,66000,"BSTC","NASDAQ"
2019-08-15,57.68,57.963,56.74,57.37,29100,"BSTC","NASDAQ"
2019-08-16,58.2,59.38,58.12,58.73,46600,"BSTC","NASDAQ"
2019-08-19,59.81,60.07,58.89,59,39700,"BSTC","NASDAQ"
