"times","open","high","low","close","volume","symbol","market"
2019-05-30,17.35,17.49,17.35,17.45,1800,"BSVN","NASDAQ"
2019-05-31,17.3,17.31,16.94,16.94,6500,"BSVN","NASDAQ"
2019-06-03,17.1489,17.15,16.85,17.09,4300,"BSVN","NASDAQ"
2019-06-04,17.3,17.3,16.97,17.21,1700,"BSVN","NASDAQ"
2019-06-05,17.2,17.38,17.05,17.05,1900,"BSVN","NASDAQ"
2019-06-06,16.93,17.18,16.93,16.96,3200,"BSVN","NASDAQ"
2019-06-07,17.25,17.25,17,17,2500,"BSVN","NASDAQ"
2019-06-10,17.05,17.19,17.01,17.07,20600,"BSVN","NASDAQ"
2019-06-11,17.07,17.07,17,17,10700,"BSVN","NASDAQ"
2019-06-12,17.03,17.05,16.9,16.9,3100,"BSVN","NASDAQ"
2019-06-13,17.05,17.05,16.57,16.75,9100,"BSVN","NASDAQ"
2019-06-14,16.8,17.5,16.6,16.6,3500,"BSVN","NASDAQ"
2019-06-17,16.9,17,16.37,16.75,12700,"BSVN","NASDAQ"
2019-06-18,16.67,16.96,16.66,16.95,7500,"BSVN","NASDAQ"
2019-06-19,17.08,17.08,16.4,16.95,4300,"BSVN","NASDAQ"
2019-06-20,16.95,17.23,16.5,16.69,2200,"BSVN","NASDAQ"
2019-06-21,16.54,17.07,16.54,16.95,6900,"BSVN","NASDAQ"
2019-06-24,16.95,16.95,16.65,16.65,2000,"BSVN","NASDAQ"
2019-06-25,16.75,16.96,16.4,16.45,4400,"BSVN","NASDAQ"
2019-06-26,16.93,17.1,16.6,16.6,3600,"BSVN","NASDAQ"
2019-06-27,16.86,16.94,16.6,16.93,12500,"BSVN","NASDAQ"
2019-06-28,16.95,19.25,16.79,18.49,97100,"BSVN","NASDAQ"
2019-07-01,18.45,18.65,17.48,18.26,16000,"BSVN","NASDAQ"
2019-07-02,18.6,18.6,17.63,17.82,11400,"BSVN","NASDAQ"
2019-07-03,18.32,18.32,17.53,18.15,4300,"BSVN","NASDAQ"
2019-07-05,18.02,18.43,17.8,17.8,4300,"BSVN","NASDAQ"
2019-07-08,18,18.18,17.99,18.12,3800,"BSVN","NASDAQ"
2019-07-09,18.05,18.37,18.05,18.14,10500,"BSVN","NASDAQ"
2019-07-10,18.14,18.2802,18.14,18.22,2300,"BSVN","NASDAQ"
2019-07-11,18.24,18.24,18.01,18.09,3300,"BSVN","NASDAQ"
2019-07-12,18.1,18.1,17.8,17.8,4100,"BSVN","NASDAQ"
2019-07-15,17.94,17.97,17.94,17.97,800,"BSVN","NASDAQ"
2019-07-16,17.94,17.98,17.64,17.86,1900,"BSVN","NASDAQ"
2019-07-17,18.18,18.18,17.82,17.86,1900,"BSVN","NASDAQ"
2019-07-18,18.17,18.17,17.95,17.95,1600,"BSVN","NASDAQ"
2019-07-19,17.81,18.11,17.54,18,1900,"BSVN","NASDAQ"
2019-07-22,17.67,18.09,17.55,17.58,3100,"BSVN","NASDAQ"
2019-07-23,17.6,17.87,17.55,17.87,4600,"BSVN","NASDAQ"
2019-07-24,18.03,18.09,17.66,17.76,3900,"BSVN","NASDAQ"
2019-07-25,18.02,18.05,17.528,17.84,2200,"BSVN","NASDAQ"
2019-07-26,17.97,19.2,17.61,18.61,18400,"BSVN","NASDAQ"
2019-07-29,18.96,19,18.53,18.57,3200,"BSVN","NASDAQ"
2019-07-30,18.7,18.95,18.6,18.6,3300,"BSVN","NASDAQ"
2019-07-31,18.74,18.98,18.65,18.91,6700,"BSVN","NASDAQ"
2019-08-01,19,19,18.4711,18.84,7200,"BSVN","NASDAQ"
2019-08-02,18.66,18.66,18.45,18.45,3700,"BSVN","NASDAQ"
2019-08-05,18.01,18.05,17.5,17.5,8400,"BSVN","NASDAQ"
2019-08-06,17.95,18,17.44,17.44,3500,"BSVN","NASDAQ"
2019-08-07,17.39,17.39,16.56,16.56,4800,"BSVN","NASDAQ"
2019-08-08,17.45,17.508,16.95,16.95,2800,"BSVN","NASDAQ"
2019-08-09,16.81,16.81,16.65,16.71,1200,"BSVN","NASDAQ"
2019-08-12,17.863,17.863,16.7299,17.07,4000,"BSVN","NASDAQ"
2019-08-13,17.02,17.43,17.02,17.43,6400,"BSVN","NASDAQ"
2019-08-14,17.0599,17.06,16.45,16.45,5500,"BSVN","NASDAQ"
2019-08-15,17.34,17.34,16.57,16.68,2800,"BSVN","NASDAQ"
2019-08-16,16.85,17.35,16.58,17.35,13200,"BSVN","NASDAQ"
2019-08-19,17.8,17.8,17.07,17.5,2000,"BSVN","NASDAQ"
2019-08-20,17.14,17.19,16.34,16.6,7200,"BSVN","NASDAQ"
2019-08-21,16.52,16.52,16.52,16.52,1900,"BSVN","NASDAQ"
2019-08-22,17.5,17.5,16.41,16.41,4400,"BSVN","NASDAQ"
2019-08-23,16.33,16.33,16.21,16.21,5400,"BSVN","NASDAQ"
2019-08-26,16.8,16.96,16.48,16.9,1800,"BSVN","NASDAQ"
2019-08-27,16.75,16.75,16.45,16.45,1600,"BSVN","NASDAQ"
