"times","open","high","low","close","volume","symbol","market"
2019-05-30,31.77,31.77,31.23,31.23,2300,"BTEC","NASDAQ"
2019-05-31,31.258,31.258,31.2581,31.258,1500,"BTEC","NASDAQ"
2019-06-03,31.2,31.4,31.01,31.01,3100,"BTEC","NASDAQ"
2019-06-04,31.57,31.89,31.57,31.89,3900,"BTEC","NASDAQ"
2019-06-05,31.84,31.84,31.84,31.84,100,"BTEC","NASDAQ"
2019-06-06,31.49,31.579,31.49,31.579,200,"BTEC","NASDAQ"
2019-06-07,31.65,32,31.6024,32,1100,"BTEC","NASDAQ"
2019-06-10,32.36,32.3614,32.36,32.36,500,"BTEC","NASDAQ"
2019-06-11,31.94,31.94,31.93,31.93,6800,"BTEC","NASDAQ"
2019-06-12,31.53,31.94,31.53,31.94,400,"BTEC","NASDAQ"
2019-06-13,32.03,32.11,31.985,32.11,900,"BTEC","NASDAQ"
2019-06-14,32.25,32.3,31.98,31.99,500,"BTEC","NASDAQ"
2019-06-17,32.75,32.99,32.75,32.99,800,"BTEC","NASDAQ"
2019-06-18,33,33.85,33,33.78,4800,"BTEC","NASDAQ"
2019-06-19,33.805,33.92,33.805,33.87,400,"BTEC","NASDAQ"
2019-06-20,33.96,33.982,33.95,33.95,800,"BTEC","NASDAQ"
2019-06-21,33.57,33.7,33.37,33.7,600,"BTEC","NASDAQ"
2019-06-24,33.48,33.48,33.361,33.392,1000,"BTEC","NASDAQ"
2019-06-25,32.86,33.45,32.86,32.91,900,"BTEC","NASDAQ"
2019-06-26,32.829,32.829,32.829,32.829,200,"BTEC","NASDAQ"
2019-06-27,33.485,33.51,33.485,33.51,500,"BTEC","NASDAQ"
2019-06-28,34,34.15,34,34.15,900,"BTEC","NASDAQ"
2019-07-01,34.594,34.594,34.434,34.434,300,"BTEC","NASDAQ"
2019-07-02,34.395,34.3989,34.187,34.187,50700,"BTEC","NASDAQ"
2019-07-03,34.187,34.187,34.187,34.187,0,"BTEC","NASDAQ"
2019-07-05,34.279,34.279,34.279,34.279,600,"BTEC","NASDAQ"
2019-07-08,33.507,33.507,33.507,33.507,300,"BTEC","NASDAQ"
2019-07-09,33.926,33.926,33.926,33.926,200,"BTEC","NASDAQ"
2019-07-10,34.1688,34.17,34.17,34.17,200,"BTEC","NASDAQ"
2019-07-11,34.17,34.17,34.17,34.17,100,"BTEC","NASDAQ"
2019-07-12,33.758,33.77,33.7,33.7,1300,"BTEC","NASDAQ"
2019-07-15,33.65,34.05,33.65,34.05,800,"BTEC","NASDAQ"
2019-07-16,33.98,33.98,33.75,33.75,900,"BTEC","NASDAQ"
2019-07-17,33.75,33.7501,33.75,33.75,0,"BTEC","NASDAQ"
2019-07-18,34.074,34.457,34.074,34.457,400,"BTEC","NASDAQ"
2019-07-19,34.19,34.19,34.19,34.19,300,"BTEC","NASDAQ"
2019-07-22,34.27,34.27,34.27,34.27,900,"BTEC","NASDAQ"
