"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.14,1.42,1.14,1.22,539900,"BURG","NASDAQ"
2019-05-31,1.21,1.21,1.1401,1.14,67400,"BURG","NASDAQ"
2019-06-03,0.92,1.23,0.823,0.88,225900,"BURG","NASDAQ"
2019-06-04,1,1.09,0.922,1.09,107900,"BURG","NASDAQ"
2019-06-05,1.09,1.15,0.99,1.11,152600,"BURG","NASDAQ"
2019-06-06,1.05,1.05,0.92,0.956,118600,"BURG","NASDAQ"
2019-06-07,1.04,1.04,0.95,0.998,20000,"BURG","NASDAQ"
2019-06-10,0.95,0.997,0.904,0.942,48900,"BURG","NASDAQ"
2019-06-11,0.88,1.01,0.88,0.976,14900,"BURG","NASDAQ"
2019-06-12,0.93,1,0.93,0.932,23500,"BURG","NASDAQ"
2019-06-13,0.982,1.05,0.96,1.037,48500,"BURG","NASDAQ"
2019-06-14,0.991,1.098,0.978,1.05,24800,"BURG","NASDAQ"
2019-06-17,1,1.05,0.93,1.05,35800,"BURG","NASDAQ"
2019-06-18,1.05,1.05,1,1.04,10100,"BURG","NASDAQ"
2019-06-19,1.02,1.02,0.96,0.99,21200,"BURG","NASDAQ"
2019-06-20,1.1,1.1,1.02,1.044,125300,"BURG","NASDAQ"
2019-06-21,1.03,1.09,1.02,1.03,49500,"BURG","NASDAQ"
2019-06-24,1.11,1.25,1,1,264500,"BURG","NASDAQ"
2019-06-25,1.12,1.12,0.98,0.99,61600,"BURG","NASDAQ"
2019-06-26,1,1.039,0.98,1.012,29700,"BURG","NASDAQ"
2019-06-27,1.17,1.55,1,1.03,2498800,"BURG","NASDAQ"
2019-06-28,1.13,1.14,1.02,1.1,336000,"BURG","NASDAQ"
2019-07-01,1.09,1.09,1.03,1.044,155800,"BURG","NASDAQ"
2019-07-02,1.08,1.09,0.979,0.981,418700,"BURG","NASDAQ"
2019-07-03,0.98,1,0.9,0.97,168600,"BURG","NASDAQ"
2019-07-05,0.95,0.99,0.92,0.965,74000,"BURG","NASDAQ"
2019-07-08,0.95,0.95,0.91,0.91,112400,"BURG","NASDAQ"
2019-07-09,0.9301,0.95,0.8,0.85,550000,"BURG","NASDAQ"
2019-07-10,0.82,0.9,0.8,0.82,109000,"BURG","NASDAQ"
2019-07-11,0.85,0.85,0.8,0.82,157000,"BURG","NASDAQ"
2019-07-12,0.79,0.82,0.75,0.77,154200,"BURG","NASDAQ"
2019-07-15,0.79,0.9,0.78,0.82,344300,"BURG","NASDAQ"
2019-07-16,0.81,0.97,0.8,0.85,776400,"BURG","NASDAQ"
2019-07-17,0.83,0.86,0.81,0.85,70300,"BURG","NASDAQ"
2019-07-18,0.85,0.85,0.78,0.8,73400,"BURG","NASDAQ"
2019-07-19,0.8,0.85,0.76,0.76,113600,"BURG","NASDAQ"
2019-07-22,0.85,0.85,0.78,0.83,397400,"BURG","NASDAQ"
2019-07-23,0.86,0.86,0.79,0.79,196100,"BURG","NASDAQ"
2019-07-24,0.83,0.83,0.78,0.78,95600,"BURG","NASDAQ"
2019-07-25,0.78,0.83,0.78,0.83,70100,"BURG","NASDAQ"
2019-07-26,0.81,0.9,0.81,0.86,180800,"BURG","NASDAQ"
2019-07-29,0.88,0.89,0.8,0.8,162800,"BURG","NASDAQ"
2019-07-30,0.81,0.82,0.71,0.74,139400,"BURG","NASDAQ"
2019-07-31,0.77,0.8,0.73,0.75,80800,"BURG","NASDAQ"
2019-08-01,0.75,0.8,0.67,0.72,113000,"BURG","NASDAQ"
2019-08-02,0.71,0.76,0.71,0.76,73300,"BURG","NASDAQ"
2019-08-05,0.76,0.83,0.74,0.74,69300,"BURG","NASDAQ"
2019-08-06,0.74,0.8,0.72,0.75,15200,"BURG","NASDAQ"
2019-08-07,0.722,0.78,0.69,0.73,51900,"BURG","NASDAQ"
2019-08-08,0.72,0.79,0.69,0.729,95800,"BURG","NASDAQ"
2019-08-09,0.7,0.76,0.67,0.681,69600,"BURG","NASDAQ"
2019-08-12,0.68,0.79,0.66,0.77,214800,"BURG","NASDAQ"
2019-08-13,0.77,0.83,0.7,0.73,166800,"BURG","NASDAQ"
2019-08-14,0.8,0.825,0.701,0.731,177800,"BURG","NASDAQ"
2019-08-15,0.66,0.66,0.54,0.62,390700,"BURG","NASDAQ"
2019-08-16,0.61,0.65,0.61,0.61,178500,"BURG","NASDAQ"
2019-08-19,0.61,0.65,0.55,0.61,120400,"BURG","NASDAQ"
2019-08-20,0.58,0.59,0.56,0.57,73800,"BURG","NASDAQ"
2019-08-21,0.58,0.61,0.58,0.58,39700,"BURG","NASDAQ"
2019-08-22,0.58,0.59,0.57,0.57,43200,"BURG","NASDAQ"
