"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.27,1.4,1.27,1.35,8900,"BVSN","NASDAQ"
2019-05-31,1.34,1.34,1.256,1.34,6900,"BVSN","NASDAQ"
2019-06-03,1.36,1.4,1.32,1.4,25400,"BVSN","NASDAQ"
2019-06-04,1.4,1.448,1.35,1.41,21700,"BVSN","NASDAQ"
2019-06-05,1.49,1.49,1.35,1.35,22000,"BVSN","NASDAQ"
2019-06-06,1.38,1.446,1.38,1.44,8600,"BVSN","NASDAQ"
2019-06-07,1.42,1.42,1.276,1.38,6300,"BVSN","NASDAQ"
2019-06-10,1.41,1.49,1.383,1.46,3300,"BVSN","NASDAQ"
2019-06-11,1.514,1.514,1.321,1.321,1200,"BVSN","NASDAQ"
2019-06-12,1.42,1.518,1.36,1.476,8600,"BVSN","NASDAQ"
2019-06-13,1.5,1.5,1.28,1.347,4100,"BVSN","NASDAQ"
2019-06-14,1.48,1.512,1.373,1.44,6400,"BVSN","NASDAQ"
2019-06-17,1.36,1.43,1.3601,1.41,2500,"BVSN","NASDAQ"
2019-06-18,1.39,1.5,1.39,1.43,5000,"BVSN","NASDAQ"
2019-06-19,1.42,1.47,1.282,1.44,31500,"BVSN","NASDAQ"
2019-06-20,1.44,1.44,1.44,1.44,100,"BVSN","NASDAQ"
2019-06-21,1.24,1.359,1.11,1.264,27300,"BVSN","NASDAQ"
2019-06-24,1.29,1.39,1.29,1.35,8200,"BVSN","NASDAQ"
2019-06-25,1.38,1.43,1.32,1.41,17500,"BVSN","NASDAQ"
2019-06-26,1.43,1.88,1.4,1.495,221200,"BVSN","NASDAQ"
2019-06-27,1.53,1.65,1.32,1.46,30200,"BVSN","NASDAQ"
2019-06-28,1.45,1.563,1.392,1.41,15500,"BVSN","NASDAQ"
2019-07-01,1.43,1.55,1.43,1.46,8900,"BVSN","NASDAQ"
2019-07-02,1.46,1.46,1.39,1.39,11200,"BVSN","NASDAQ"
2019-07-03,1.42,1.47,1.39,1.47,4100,"BVSN","NASDAQ"
2019-07-05,1.44,1.47,1.4,1.4,11500,"BVSN","NASDAQ"
2019-07-08,1.42,1.47,1.42,1.46,5000,"BVSN","NASDAQ"
2019-07-09,1.42,1.42,1.4,1.4,2600,"BVSN","NASDAQ"
2019-07-10,1.43,1.48,1.4,1.41,17900,"BVSN","NASDAQ"
2019-07-11,1.44,1.45,1.4,1.44,4600,"BVSN","NASDAQ"
2019-07-12,1.47,1.48,1.37,1.44,2800,"BVSN","NASDAQ"
2019-07-15,1.44,1.45,1.4,1.4,2200,"BVSN","NASDAQ"
2019-07-16,1.31,1.48,1.3,1.32,30000,"BVSN","NASDAQ"
2019-07-17,1.37,1.37,1.37,1.37,200,"BVSN","NASDAQ"
2019-07-18,1.4,1.44,1.33,1.33,14200,"BVSN","NASDAQ"
2019-07-19,1.34,1.37,1.34,1.36,800,"BVSN","NASDAQ"
