"times","open","high","low","close","volume","symbol","market"
2019-05-30,11.14,11.21,10.9601,11.04,61500,"BWB","NASDAQ"
2019-05-31,10.94,11.135,10.9,10.98,40900,"BWB","NASDAQ"
2019-06-03,10.95,11.18,10.723,10.96,62400,"BWB","NASDAQ"
2019-06-04,11,11.17,10.72,11.1,34300,"BWB","NASDAQ"
2019-06-05,11.09,11.23,10.9708,10.98,50600,"BWB","NASDAQ"
2019-06-06,10.98,11.05,10.88,11,34200,"BWB","NASDAQ"
2019-06-07,11.03,11.15,10.87,11.12,32300,"BWB","NASDAQ"
2019-06-10,11.14,11.35,11.03,11.11,49600,"BWB","NASDAQ"
2019-06-11,11.046,11.3,10.92,11.17,50600,"BWB","NASDAQ"
2019-06-12,11.12,11.345,11.12,11.28,68900,"BWB","NASDAQ"
2019-06-13,11.26,11.34,11.1105,11.2,73900,"BWB","NASDAQ"
2019-06-14,11.18,11.35,11.1751,11.32,25000,"BWB","NASDAQ"
2019-06-17,11.24,11.2991,11.066,11.23,32600,"BWB","NASDAQ"
2019-06-18,11.132,11.4,11.132,11.24,94500,"BWB","NASDAQ"
2019-06-19,11.29,11.4,11.14,11.38,44700,"BWB","NASDAQ"
2019-06-20,11.26,11.47,11.26,11.43,71600,"BWB","NASDAQ"
2019-06-21,11.33,11.5,10.36,11.5,467700,"BWB","NASDAQ"
2019-06-24,11.5005,11.72,11.06,11.2,79300,"BWB","NASDAQ"
2019-06-25,11.24,11.5,10.5597,11.33,37500,"BWB","NASDAQ"
2019-06-26,11.46,11.46,11.14,11.19,39500,"BWB","NASDAQ"
2019-06-27,11.2,11.4,11.18,11.32,76300,"BWB","NASDAQ"
2019-06-28,11.32,11.5698,11.07,11.54,414200,"BWB","NASDAQ"
2019-07-01,11.6,11.7,11.4,11.68,140500,"BWB","NASDAQ"
2019-07-02,11.74,11.8,11.48,11.58,26700,"BWB","NASDAQ"
2019-07-03,11.62,11.78,11.47,11.65,21200,"BWB","NASDAQ"
2019-07-05,11.555,11.75,11.555,11.67,8800,"BWB","NASDAQ"
2019-07-08,11.6696,11.8,11.48,11.65,62300,"BWB","NASDAQ"
2019-07-09,11.73,11.8,11.64,11.77,34600,"BWB","NASDAQ"
2019-07-10,11.7,11.8,11.6,11.62,22800,"BWB","NASDAQ"
2019-07-11,11.66,11.66,11.42,11.47,26700,"BWB","NASDAQ"
2019-07-12,11.54,11.75,11.45,11.67,40400,"BWB","NASDAQ"
2019-07-15,11.78,11.78,11.51,11.55,24600,"BWB","NASDAQ"
2019-07-16,11.5,11.6795,11.4,11.49,10300,"BWB","NASDAQ"
2019-07-17,11.48,11.6207,11.32,11.35,40300,"BWB","NASDAQ"
2019-07-18,11.23,11.57,11.23,11.51,20300,"BWB","NASDAQ"
2019-07-19,11.42,11.56,11.42,11.5,29500,"BWB","NASDAQ"
2019-07-22,11.52,11.58,11.303,11.36,17600,"BWB","NASDAQ"
2019-07-23,11.33,11.5,11.28,11.49,47800,"BWB","NASDAQ"
2019-07-24,11.4699,11.7,11.47,11.69,42900,"BWB","NASDAQ"
2019-07-25,11.7,11.705,11.233,11.69,21300,"BWB","NASDAQ"
2019-07-26,11.67,12.21,11.67,11.95,55200,"BWB","NASDAQ"
2019-07-29,12,12.08,11.87,11.98,46500,"BWB","NASDAQ"
2019-07-30,11.88,12.05,11.85,11.95,179400,"BWB","NASDAQ"
2019-07-31,11.99,12.05,11.83,11.92,79100,"BWB","NASDAQ"
2019-08-01,11.95,12,11.5598,11.75,59300,"BWB","NASDAQ"
2019-08-02,11.67,12,11.6,11.6,30200,"BWB","NASDAQ"
2019-08-05,11.5017,11.77,11.27,11.35,53200,"BWB","NASDAQ"
2019-08-06,11.49,11.65,11.36,11.5,70900,"BWB","NASDAQ"
2019-08-07,11.37,11.5,11.315,11.39,47900,"BWB","NASDAQ"
2019-08-08,11.48,11.85,11.39,11.44,54900,"BWB","NASDAQ"
2019-08-09,11.42,11.62,11.3,11.39,53300,"BWB","NASDAQ"
2019-08-12,11.3108,11.515,11.31,11.44,32800,"BWB","NASDAQ"
2019-08-13,11.48,11.6,11.41,11.56,34200,"BWB","NASDAQ"
2019-08-14,11.45,11.46,11.16,11.22,35300,"BWB","NASDAQ"
2019-08-15,11.25,11.4,11.18,11.29,18100,"BWB","NASDAQ"
