"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.9,1.935,1.85,1.889,168300,"BWEN","NASDAQ"
2019-05-31,1.87,1.876,1.85,1.85,3200,"BWEN","NASDAQ"
2019-06-03,1.87,1.93,1.85,1.93,22600,"BWEN","NASDAQ"
2019-06-04,1.9,1.917,1.86,1.9,29100,"BWEN","NASDAQ"
2019-06-05,1.92,1.95,1.913,1.95,25300,"BWEN","NASDAQ"
2019-06-06,1.93,1.95,1.84,1.84,26200,"BWEN","NASDAQ"
2019-06-07,1.88,1.93,1.88,1.93,42500,"BWEN","NASDAQ"
2019-06-10,1.93,1.98,1.911,1.96,7300,"BWEN","NASDAQ"
2019-06-11,1.981,2.03,1.981,2.01,24400,"BWEN","NASDAQ"
2019-06-12,2.03,2.1302,2.03,2.13,11000,"BWEN","NASDAQ"
2019-06-13,2.09,2.15,2.08,2.145,5700,"BWEN","NASDAQ"
2019-06-14,2.15,2.197,2.11,2.14,35400,"BWEN","NASDAQ"
2019-06-17,2.36,2.36,2.08,2.23,46700,"BWEN","NASDAQ"
2019-06-18,2.25,2.3,2.242,2.3,14100,"BWEN","NASDAQ"
2019-06-19,2.449,2.449,2.3,2.3,41700,"BWEN","NASDAQ"
2019-06-20,2.32,2.4,2.31,2.35,59500,"BWEN","NASDAQ"
2019-06-21,2.34,2.351,2.26,2.26,20200,"BWEN","NASDAQ"
2019-06-24,2.26,2.284,2.2,2.2,17500,"BWEN","NASDAQ"
2019-06-25,2.2098,2.35,2.21,2.29,31400,"BWEN","NASDAQ"
2019-06-26,2.35,2.35,2.3,2.32,45500,"BWEN","NASDAQ"
2019-06-27,2.34,2.386,1.65,2,130500,"BWEN","NASDAQ"
2019-06-28,2.05,2.59,2.05,2.22,237600,"BWEN","NASDAQ"
2019-07-01,2.22,2.3,2.15,2.2,52800,"BWEN","NASDAQ"
2019-07-02,2.2,2.49,2.1,2.24,184900,"BWEN","NASDAQ"
2019-07-03,2.24,2.32,2.2,2.203,17600,"BWEN","NASDAQ"
2019-07-05,2.21,2.29,2.209,2.269,24200,"BWEN","NASDAQ"
2019-07-08,2.3002,2.4,2.27,2.31,112300,"BWEN","NASDAQ"
2019-07-09,2.35,2.42,2.27,2.36,125500,"BWEN","NASDAQ"
2019-07-10,2.35,2.35,2.27,2.3,13800,"BWEN","NASDAQ"
2019-07-11,2.32,2.3501,2.2,2.2,38300,"BWEN","NASDAQ"
2019-07-12,2.23,2.26,2.2,2.2,97800,"BWEN","NASDAQ"
2019-07-15,2.22,2.29,2.2,2.26,17600,"BWEN","NASDAQ"
2019-07-16,2.23,2.24,2.16,2.2,62600,"BWEN","NASDAQ"
2019-07-17,2.21,2.21,2.1,2.1,9300,"BWEN","NASDAQ"
2019-07-18,2.13,2.14,2.05,2.14,12800,"BWEN","NASDAQ"
2019-07-19,2.14,2.21,2.09,2.11,16900,"BWEN","NASDAQ"
2019-07-22,2.11,2.13,2.05,2.1,15700,"BWEN","NASDAQ"
2019-07-23,2.08,2.16,2.05,2.09,25700,"BWEN","NASDAQ"
2019-07-24,2.14,2.21,2.12,2.21,49500,"BWEN","NASDAQ"
2019-07-25,2.24,2.25,2.08,2.18,48800,"BWEN","NASDAQ"
2019-07-26,2.17,2.2,2.02,2.06,35400,"BWEN","NASDAQ"
2019-07-29,2.08,2.25,2.08,2.14,46700,"BWEN","NASDAQ"
2019-07-30,2.15,2.15,1.92,2.01,65000,"BWEN","NASDAQ"
2019-07-31,2,2.1,1.97,1.97,12200,"BWEN","NASDAQ"
2019-08-01,2,2.03,1.71,1.87,44000,"BWEN","NASDAQ"
2019-08-02,1.76,1.96,1.53,1.83,119600,"BWEN","NASDAQ"
2019-08-05,1.8,1.81,1.76,1.79,49100,"BWEN","NASDAQ"
2019-08-06,1.83,1.83,1.61,1.78,26100,"BWEN","NASDAQ"
2019-08-07,1.74,1.83,1.72,1.83,18000,"BWEN","NASDAQ"
2019-08-08,1.812,2.1499,1.664,1.895,16500,"BWEN","NASDAQ"
2019-08-09,1.92,1.92,1.85,1.85,7400,"BWEN","NASDAQ"
2019-08-12,1.86,1.96,1.74,1.76,82900,"BWEN","NASDAQ"
2019-08-13,1.739,1.884,1.6619,1.722,21600,"BWEN","NASDAQ"
2019-08-14,1.66,1.66,1.55,1.62,39700,"BWEN","NASDAQ"
2019-08-15,1.61,1.6901,1.61,1.63,40300,"BWEN","NASDAQ"
2019-08-16,1.62,1.7,1.62,1.65,46600,"BWEN","NASDAQ"
2019-08-19,1.65,1.85,1.65,1.65,28400,"BWEN","NASDAQ"
2019-08-20,1.66,1.84,1.66,1.74,4400,"BWEN","NASDAQ"
2019-08-21,1.74,1.78,1.63,1.71,13200,"BWEN","NASDAQ"
2019-08-22,1.8,1.85,1.62,1.85,39200,"BWEN","NASDAQ"
2019-08-23,1.82,1.88,1.71,1.88,17600,"BWEN","NASDAQ"
2019-08-26,1.89,1.93,1.76,1.86,7800,"BWEN","NASDAQ"
2019-08-27,1.84,1.84,1.74,1.82,72600,"BWEN","NASDAQ"
2019-08-28,1.8,2.08,1.8,2.08,10400,"BWEN","NASDAQ"
2019-08-29,2.05,2.05,1.82,1.84,6800,"BWEN","NASDAQ"
2019-08-30,1.85,1.98,1.85,1.87,8000,"BWEN","NASDAQ"
2019-09-03,1.88,1.9,1.71,1.71,12100,"BWEN","NASDAQ"
2019-09-04,1.82,1.95,1.65,1.72,15000,"BWEN","NASDAQ"
2019-09-05,1.75,1.8,1.7,1.7,3600,"BWEN","NASDAQ"
2019-09-06,1.79,1.81,1.74,1.74,3900,"BWEN","NASDAQ"
2019-09-09,1.73,1.87,1.72,1.87,9000,"BWEN","NASDAQ"
2019-09-10,1.87,1.87,1.73,1.85,18100,"BWEN","NASDAQ"
2019-09-11,1.85,1.95,1.85,1.9,32600,"BWEN","NASDAQ"
2019-09-12,1.88,1.98,1.84,1.98,29400,"BWEN","NASDAQ"
2019-09-13,2,2,1.86,1.91,17100,"BWEN","NASDAQ"
2019-09-16,1.9,1.92,1.85,1.85,15900,"BWEN","NASDAQ"
2019-09-17,1.85,1.85,1.8,1.8,17400,"BWEN","NASDAQ"
2019-09-18,1.8,1.8,1.71,1.71,11500,"BWEN","NASDAQ"
2019-09-19,1.74,1.8,1.71,1.76,9300,"BWEN","NASDAQ"
2019-09-20,1.72,1.75,1.67,1.75,57000,"BWEN","NASDAQ"
2019-09-23,1.73,1.79,1.71,1.72,4900,"BWEN","NASDAQ"
2019-09-24,1.74,1.79,1.67,1.68,15800,"BWEN","NASDAQ"
2019-09-25,1.8,1.8,1.65,1.65,11600,"BWEN","NASDAQ"
2019-09-26,1.66,1.7,1.66,1.67,4300,"BWEN","NASDAQ"
2019-09-27,1.68,1.7,1.65,1.65,6100,"BWEN","NASDAQ"
2019-09-30,1.66,1.72,1.65,1.69,52700,"BWEN","NASDAQ"
2019-10-01,1.66,1.76,1.66,1.73,20400,"BWEN","NASDAQ"
2019-10-02,1.71,1.77,1.64,1.64,115000,"BWEN","NASDAQ"
2019-10-03,1.63,1.75,1.6,1.65,14600,"BWEN","NASDAQ"
2019-10-04,1.69,1.7,1.68,1.7,27200,"BWEN","NASDAQ"
2019-10-07,1.62,1.7,1.62,1.67,6100,"BWEN","NASDAQ"
2019-10-08,1.64,1.67,1.56,1.67,53300,"BWEN","NASDAQ"
2019-10-09,1.65,1.66,1.62,1.62,9800,"BWEN","NASDAQ"
2019-10-10,1.65,1.65,1.6,1.61,30600,"BWEN","NASDAQ"
2019-10-11,1.62,1.66,1.57,1.64,23300,"BWEN","NASDAQ"
2019-10-14,1.57,1.61,1.57,1.6,4800,"BWEN","NASDAQ"
2019-10-15,1.59,1.6,1.52,1.6,38900,"BWEN","NASDAQ"
2019-10-16,1.6,1.63,1.6,1.6,5600,"BWEN","NASDAQ"
2019-10-17,1.62,1.65,1.56,1.57,7400,"BWEN","NASDAQ"
2019-10-18,1.58,1.61,1.58,1.61,11695,"BWEN","NASDAQ"
