"times","open","high","low","close","volume","symbol","market"
2019-05-30,9.78,9.78,9.7794,9.78,0,"BWMC","NASDAQ"
2019-05-31,9.78,9.78,9.78,9.78,24100,"BWMC","NASDAQ"
2019-06-03,9.759,9.76,9.76,9.76,1000,"BWMC","NASDAQ"
2019-06-04,9.78,9.78,9.78,9.78,1300,"BWMC","NASDAQ"
2019-06-05,9.788,9.8,9.77,9.8,53900,"BWMC","NASDAQ"
2019-06-06,9.79,9.81,9.79,9.81,25400,"BWMC","NASDAQ"
2019-06-07,9.81,9.85,9.81,9.85,12000,"BWMC","NASDAQ"
2019-06-10,9.82,9.82,9.82,9.82,0,"BWMC","NASDAQ"
2019-06-11,9.82,9.82,9.82,9.82,300,"BWMC","NASDAQ"
2019-06-12,9.8191,9.82,9.82,9.82,0,"BWMC","NASDAQ"
2019-06-13,9.85,9.9,9.845,9.88,64600,"BWMC","NASDAQ"
2019-06-14,9.85,9.85,9.84,9.85,600,"BWMC","NASDAQ"
2019-06-17,9.85,9.85,9.85,9.85,0,"BWMC","NASDAQ"
2019-06-18,9.85,9.85,9.825,9.84,1200,"BWMC","NASDAQ"
2019-06-19,9.84,9.84,9.84,9.84,0,"BWMC","NASDAQ"
2019-06-20,9.84,9.84,9.84,9.84,173300,"BWMC","NASDAQ"
2019-06-21,9.84,9.84,9.84,9.84,0,"BWMC","NASDAQ"
2019-06-24,9.8401,9.84,9.84,9.84,0,"BWMC","NASDAQ"
2019-06-25,9.7993,9.8,9.8,9.8,9700,"BWMC","NASDAQ"
2019-06-26,9.839,9.84,9.834,9.834,2000,"BWMC","NASDAQ"
2019-06-27,9.85,9.85,9.85,9.85,5700,"BWMC","NASDAQ"
2019-06-28,9.85,9.8503,9.85,9.85,1500,"BWMC","NASDAQ"
2019-07-01,9.85,9.85,9.85,9.85,0,"BWMC","NASDAQ"
2019-07-02,9.82,9.82,9.82,9.82,3200,"BWMC","NASDAQ"
2019-07-03,9.82,9.82,9.82,9.82,0,"BWMC","NASDAQ"
2019-07-05,9.82,9.82,9.82,9.82,0,"BWMC","NASDAQ"
2019-07-08,9.85,9.85,9.8207,9.84,11100,"BWMC","NASDAQ"
2019-07-09,9.84,9.84,9.84,9.84,0,"BWMC","NASDAQ"
2019-07-10,9.83,9.83,9.8196,9.82,2000,"BWMC","NASDAQ"
2019-07-11,9.82,9.82,9.82,9.82,0,"BWMC","NASDAQ"
2019-07-12,9.82,9.83,9.82,9.83,5200,"BWMC","NASDAQ"
2019-07-15,10.32,10.32,9.82,9.82,400,"BWMC","NASDAQ"
2019-07-16,9.82,9.82,9.82,9.82,0,"BWMC","NASDAQ"
2019-07-17,9.82,9.82,9.82,9.82,0,"BWMC","NASDAQ"
2019-07-18,9.82,9.83,9.82,9.83,245300,"BWMC","NASDAQ"
2019-07-19,9.83,9.83,9.8291,9.83,0,"BWMC","NASDAQ"
2019-07-22,9.97,9.97,9.84,9.84,400,"BWMC","NASDAQ"
2019-07-23,9.84,9.84,9.84,9.84,0,"BWMC","NASDAQ"
2019-07-24,9.9,9.9,9.83,9.83,11700,"BWMC","NASDAQ"
2019-07-25,9.83,9.83,9.83,9.83,0,"BWMC","NASDAQ"
