"times","open","high","low","close","volume","symbol","market"
2019-05-30,16,16.39,14.9382,16.04,32100,"BYSI","NASDAQ"
2019-05-31,15.815,16.5,15.815,16.35,19400,"BYSI","NASDAQ"
2019-06-03,16.05,16.85,16,16.2,30500,"BYSI","NASDAQ"
2019-06-04,16,16.48,15.32,15.37,24200,"BYSI","NASDAQ"
2019-06-05,15.55,15.79,14.905,15,33200,"BYSI","NASDAQ"
2019-06-06,15.41,15.425,15.0395,15.39,19700,"BYSI","NASDAQ"
2019-06-07,15.61,16.52,15.3,15.72,48000,"BYSI","NASDAQ"
2019-06-10,15.92,17.63,15.92,16.9,103900,"BYSI","NASDAQ"
2019-06-11,16.955,19.3371,16.72,17.66,97400,"BYSI","NASDAQ"
2019-06-12,17.6584,20.389,17.65,20.341,88300,"BYSI","NASDAQ"
2019-06-13,20.7992,22.408,20.642,21.15,79200,"BYSI","NASDAQ"
2019-06-14,22,22,20.03,21.15,34800,"BYSI","NASDAQ"
2019-06-17,21.86,22.16,20.98,21.8,26100,"BYSI","NASDAQ"
2019-06-18,21.84,23.1,21.49,22.46,38500,"BYSI","NASDAQ"
2019-06-19,23.64,23.854,22.5,23.12,20100,"BYSI","NASDAQ"
2019-06-20,23.55,23.79,22.5,22.57,17000,"BYSI","NASDAQ"
2019-06-21,22.8756,23.01,20.1,21.28,27000,"BYSI","NASDAQ"
2019-06-24,21.12,21.12,20.415,20.89,24100,"BYSI","NASDAQ"
2019-06-25,21,21.4,20.16,20.79,23900,"BYSI","NASDAQ"
2019-06-26,20.64,21.5603,20.32,21.56,37300,"BYSI","NASDAQ"
2019-06-27,20.77,22.5,20.42,22.5,58900,"BYSI","NASDAQ"
2019-06-28,22.59,23.92,22.469,23.7,1288100,"BYSI","NASDAQ"
2019-07-01,23.65,23.85,23,23.85,70800,"BYSI","NASDAQ"
2019-07-02,24.8,24.8,23.21,23.39,52000,"BYSI","NASDAQ"
2019-07-03,23.41,23.41,21.28,21.28,35700,"BYSI","NASDAQ"
2019-07-05,22.99,22.99,19.75,20.06,58800,"BYSI","NASDAQ"
2019-07-08,20.46,20.46,19.1,20.21,67600,"BYSI","NASDAQ"
2019-07-09,20.5,20.5,19.55,20.19,28000,"BYSI","NASDAQ"
2019-07-10,20.2422,20.29,19.66,20.07,41200,"BYSI","NASDAQ"
2019-07-11,20.1,20.11,19.66,19.8,19600,"BYSI","NASDAQ"
2019-07-12,19.8,21,19,20.7,53000,"BYSI","NASDAQ"
2019-07-15,20.56,20.57,19.15,19.35,32000,"BYSI","NASDAQ"
2019-07-16,19.3,19.39,19.02,19.11,10300,"BYSI","NASDAQ"
2019-07-17,16.8918,16.95,15.76,16.87,697900,"BYSI","NASDAQ"
2019-07-18,16.49,16.6061,15.85,16.05,85300,"BYSI","NASDAQ"
2019-07-19,16.2,16.45,15.77,16.33,89500,"BYSI","NASDAQ"
2019-07-22,16.22,16.64,16.17,16.22,65600,"BYSI","NASDAQ"
2019-07-23,16.3,16.44,16,16.21,41800,"BYSI","NASDAQ"
2019-07-24,16.18,16.525,16.16,16.42,31000,"BYSI","NASDAQ"
2019-07-25,16.5,16.5499,16.31,16.35,35800,"BYSI","NASDAQ"
2019-07-26,16.39,17.12,16.39,16.84,63100,"BYSI","NASDAQ"
2019-07-29,16.85,16.85,16.41,16.53,13700,"BYSI","NASDAQ"
2019-07-30,16.55,16.8,16.405,16.64,56800,"BYSI","NASDAQ"
2019-07-31,16.54,17,16.5,16.76,60800,"BYSI","NASDAQ"
2019-08-01,16.64,17.09,16.641,16.95,64900,"BYSI","NASDAQ"
