"times","open","high","low","close","volume","symbol","market"
2019-05-30,30.16,30.37,30.152,30.152,7000,"CACG","NASDAQ"
2019-05-31,29.78,29.943,29.77,29.88,9300,"CACG","NASDAQ"
2019-06-03,29.72,29.77,29.34,29.44,34900,"CACG","NASDAQ"
2019-06-04,29.66,30.18,29.66,30.178,12000,"CACG","NASDAQ"
2019-06-05,30.19,30.289,29.99,30.22,28300,"CACG","NASDAQ"
2019-06-06,30.43,30.442,30.227,30.381,119500,"CACG","NASDAQ"
2019-06-07,30.41,30.833,30.41,30.77,13300,"CACG","NASDAQ"
2019-06-10,30.98,31.145,30.952,31.001,9700,"CACG","NASDAQ"
2019-06-11,31.14,31.21,30.933,30.95,20800,"CACG","NASDAQ"
2019-06-12,31,31,30.818,30.92,7200,"CACG","NASDAQ"
2019-06-13,30.9,31.036,30.9,30.93,40600,"CACG","NASDAQ"
2019-06-14,31.05,31.05,30.785,30.88,52200,"CACG","NASDAQ"
2019-06-17,30.95,31.03,30.89,30.89,6300,"CACG","NASDAQ"
2019-06-18,31.11,31.49,31.11,31.37,50000,"CACG","NASDAQ"
2019-06-19,31.35,31.56,31.32,31.56,30900,"CACG","NASDAQ"
2019-06-20,31.879,31.9,31.723,31.9,64200,"CACG","NASDAQ"
2019-06-21,31.68,31.922,31.68,31.83,17400,"CACG","NASDAQ"
2019-06-24,31.8,31.8,31.66,31.725,16400,"CACG","NASDAQ"
2019-06-25,31.94,31.94,31.448,31.53,16400,"CACG","NASDAQ"
2019-06-26,31.67,31.67,31.55,31.57,24700,"CACG","NASDAQ"
2019-06-27,31.699,31.785,31.64,31.711,15700,"CACG","NASDAQ"
2019-06-28,31.662,31.78,31.613,31.7,21200,"CACG","NASDAQ"
2019-07-01,32.099,32.105,31.91,31.91,29200,"CACG","NASDAQ"
2019-07-02,32.15,32.15,32.011,32.07,42700,"CACG","NASDAQ"
2019-07-03,32.25,32.299,32.167,32.28,8800,"CACG","NASDAQ"
2019-07-05,32.28,32.28,32.105,32.26,2200,"CACG","NASDAQ"
2019-07-08,32.22,32.22,32.01,32.07,84200,"CACG","NASDAQ"
2019-07-09,32.01,32.226,32.01,32.226,11300,"CACG","NASDAQ"
2019-07-10,32.25,32.439,32.182,32.335,14100,"CACG","NASDAQ"
2019-07-11,32.399,32.509,32.36,32.49,18300,"CACG","NASDAQ"
2019-07-12,32.545,32.73,32.52,32.73,19200,"CACG","NASDAQ"
2019-07-15,32.715,32.78,32.688,32.72,12300,"CACG","NASDAQ"
2019-07-16,32.76,32.786,32.6195,32.66,31000,"CACG","NASDAQ"
2019-07-17,32.69,32.694,32.48,32.48,13700,"CACG","NASDAQ"
2019-07-18,32.423,32.52,32.39,32.46,17200,"CACG","NASDAQ"
2019-07-19,32.637,32.637,32.32,32.32,9300,"CACG","NASDAQ"
2019-07-22,32.571,32.57,32.44,32.45,5800,"CACG","NASDAQ"
2019-07-23,32.69,32.7,32.473,32.63,35900,"CACG","NASDAQ"
2019-07-24,32.66,32.9005,32.66,32.84,96500,"CACG","NASDAQ"
2019-07-25,32.633,32.75,32.59,32.59,10100,"CACG","NASDAQ"
2019-07-26,32.837,33.01,32.791,33.01,48600,"CACG","NASDAQ"
2019-07-29,32.96,32.96,32.705,32.797,5200,"CACG","NASDAQ"
2019-07-30,32.63,32.87,32.63,32.77,4800,"CACG","NASDAQ"
2019-07-31,32.734,32.79,32.2,32.46,17500,"CACG","NASDAQ"
2019-08-01,32.622,32.87,32.2,32.34,39800,"CACG","NASDAQ"
2019-08-02,32.14,32.14,31.7,31.834,7300,"CACG","NASDAQ"
2019-08-05,31.27,31.27,30.749,31,17700,"CACG","NASDAQ"
2019-08-06,31.19,31.336,31.035,31.336,71400,"CACG","NASDAQ"
2019-08-07,30.85,31.385,30.85,31.369,11400,"CACG","NASDAQ"
2019-08-08,31.57,32,31.554,32,8900,"CACG","NASDAQ"
2019-08-09,31.87,31.9029,31.576,31.9,21200,"CACG","NASDAQ"
2019-08-12,31.55,31.55,31.3,31.42,20600,"CACG","NASDAQ"
2019-08-13,31.37,31.989,31.37,31.86,23200,"CACG","NASDAQ"
2019-08-14,31.54,31.5366,30.99,31.02,63400,"CACG","NASDAQ"
2019-08-15,31.09,31.09,30.796,31.08,32900,"CACG","NASDAQ"
2019-08-16,31.312,31.548,31.28,31.53,124200,"CACG","NASDAQ"
2019-08-19,31.792,31.88,31.68,31.81,99400,"CACG","NASDAQ"
2019-08-20,31.59,31.77,31.582,31.582,7600,"CACG","NASDAQ"
2019-08-21,31.905,31.905,31.82,31.84,12600,"CACG","NASDAQ"
2019-08-22,31.77,31.77,31.522,31.7,35200,"CACG","NASDAQ"
2019-08-23,31.33,31.61,30.774,30.88,17800,"CACG","NASDAQ"
2019-08-26,30.89,31.13,30.89,31.08,24000,"CACG","NASDAQ"
2019-08-27,31.13,31.2,30.91,30.95,18700,"CACG","NASDAQ"
2019-08-28,30.72,31.09,30.72,31.09,17200,"CACG","NASDAQ"
2019-08-29,31.21,31.576,31.21,31.456,4000,"CACG","NASDAQ"
2019-08-30,31.77,31.77,31.44,31.55,5300,"CACG","NASDAQ"
2019-09-03,31.38,31.4,31.051,31.21,15100,"CACG","NASDAQ"
2019-09-04,31.56,31.56,31.361,31.53,7100,"CACG","NASDAQ"
2019-09-05,31.8,32.17,31.8,32.09,23000,"CACG","NASDAQ"
2019-09-06,32.092,32.23,32.092,32.206,7400,"CACG","NASDAQ"
2019-09-09,32.205,32.221,31.985,32.079,11100,"CACG","NASDAQ"
2019-09-10,31.96,32.04,31.839,32.03,9000,"CACG","NASDAQ"
2019-09-11,32.23,32.333,32.16,32.298,7700,"CACG","NASDAQ"
2019-09-12,32.39,32.584,32.39,32.47,11400,"CACG","NASDAQ"
2019-09-13,32.432,32.49,32.4,32.44,29000,"CACG","NASDAQ"
2019-09-16,32.41,32.41,32.3,32.383,7600,"CACG","NASDAQ"
2019-09-17,32.46,32.46,32.306,32.422,3600,"CACG","NASDAQ"
2019-09-18,32.35,32.35,32.07,32.314,7500,"CACG","NASDAQ"
2019-09-19,32.478,32.517,32.268,32.268,4500,"CACG","NASDAQ"
2019-09-20,32.438,32.438,32.222,32.225,19100,"CACG","NASDAQ"
2019-09-23,32.157,32.243,32.122,32.19,15200,"CACG","NASDAQ"
2019-09-24,32.18,32.259,31.64,31.64,6800,"CACG","NASDAQ"
2019-09-25,31.575,31.914,31.57,31.875,6600,"CACG","NASDAQ"
2019-09-26,31.685,31.82,31.577,31.72,4300,"CACG","NASDAQ"
2019-09-27,31.8,31.818,31.39,31.53,8600,"CACG","NASDAQ"
2019-09-30,31.58,31.755,31.58,31.66,4200,"CACG","NASDAQ"
2019-10-01,31.9,31.93,31.33,31.37,11200,"CACG","NASDAQ"
2019-10-02,31.27,31.27,30.72,30.86,18500,"CACG","NASDAQ"
2019-10-03,30.87,31.21,30.6,31.21,18200,"CACG","NASDAQ"
2019-10-04,31.337,31.56,31.29,31.56,11200,"CACG","NASDAQ"
2019-10-07,31.458,31.649,31.458,31.54,9100,"CACG","NASDAQ"
2019-10-08,31.08,31.15,30.931,31.012,4700,"CACG","NASDAQ"
2019-10-09,31.111,31.328,31.111,31.23,14000,"CACG","NASDAQ"
2019-10-10,31.25,31.49,31.25,31.36,2900,"CACG","NASDAQ"
2019-10-11,31.89,32.038,31.87,31.87,3200,"CACG","NASDAQ"
2019-10-14,31.767,31.83,31.745,31.77,7600,"CACG","NASDAQ"
2019-10-15,32,32.264,31.99,32.2,9300,"CACG","NASDAQ"
2019-10-16,32.028,32.123,32.028,32.1,14000,"CACG","NASDAQ"
2019-10-17,32.24,32.262,32.07,32.07,16300,"CACG","NASDAQ"
2019-10-18,32.14,32.14,31.92,31.97,6279,"CACG","NASDAQ"
