"times","open","high","low","close","volume","symbol","market"
2019-05-30,5.6,5.77,5.32,5.42,103200,"CALA","NASDAQ"
2019-05-31,5.29,5.3994,5.25,5.26,124100,"CALA","NASDAQ"
2019-06-03,5.29,5.51,5.223,5.48,166400,"CALA","NASDAQ"
2019-06-04,5.5,5.74,5.35,5.51,73900,"CALA","NASDAQ"
2019-06-05,5.58,5.58,5.405,5.47,58500,"CALA","NASDAQ"
2019-06-06,5.47,5.47,5.17,5.25,74300,"CALA","NASDAQ"
2019-06-07,5.26,5.38,5.154,5.34,70700,"CALA","NASDAQ"
2019-06-10,5.37,5.61,5.24,5.28,78300,"CALA","NASDAQ"
2019-06-11,5.33,5.44,5.11,5.15,68400,"CALA","NASDAQ"
2019-06-12,5.14,5.34,5.081,5.32,62700,"CALA","NASDAQ"
2019-06-13,5.35,5.46,5.3,5.41,59700,"CALA","NASDAQ"
2019-06-14,5.4,5.53,5.2,5.21,54300,"CALA","NASDAQ"
2019-06-17,5.44,6.7,5.28,5.8,1494000,"CALA","NASDAQ"
2019-06-18,5.13,5.43,4.63,4.74,1877300,"CALA","NASDAQ"
2019-06-19,4.03,4.2302,3.92,4.09,4798300,"CALA","NASDAQ"
2019-06-20,4.21,4.219,3.94,3.99,812800,"CALA","NASDAQ"
2019-06-21,3.96,3.971,3.64,3.74,985200,"CALA","NASDAQ"
2019-06-24,3.81,4.01,3.75,3.88,644700,"CALA","NASDAQ"
2019-06-25,3.89,3.92,3.74,3.745,681600,"CALA","NASDAQ"
2019-06-26,3.75,3.895,3.43,3.71,795200,"CALA","NASDAQ"
2019-06-27,3.72,3.895,3.68,3.82,495000,"CALA","NASDAQ"
2019-06-28,3.99,4.02,3.88,3.9,1426600,"CALA","NASDAQ"
2019-07-01,3.97,4.005,3.855,3.98,491300,"CALA","NASDAQ"
2019-07-02,4.09,4.19,3.976,4.03,617900,"CALA","NASDAQ"
2019-07-03,4.05,4.27,4.025,4.27,411800,"CALA","NASDAQ"
2019-07-05,4.3,4.57,4.28,4.48,409300,"CALA","NASDAQ"
2019-07-08,4.54,4.56,4.15,4.33,557500,"CALA","NASDAQ"
2019-07-09,4.37,4.45,4.28,4.34,441700,"CALA","NASDAQ"
2019-07-10,4.38,4.42,4.22,4.3,238300,"CALA","NASDAQ"
2019-07-11,4.35,4.364,4.06,4.18,553000,"CALA","NASDAQ"
2019-07-12,4.21,4.29,4.11,4.26,214600,"CALA","NASDAQ"
2019-07-15,4.29,4.44,4.21,4.43,310500,"CALA","NASDAQ"
2019-07-16,4.5,4.5,4.3,4.36,244200,"CALA","NASDAQ"
2019-07-17,4.35,4.45,4.23,4.3,324900,"CALA","NASDAQ"
2019-07-18,4.3,4.32,4.149,4.28,346600,"CALA","NASDAQ"
2019-07-19,4.27,4.33,4.05,4.12,465500,"CALA","NASDAQ"
2019-07-22,4.14,4.2,4.07,4.14,185100,"CALA","NASDAQ"
2019-07-23,4.15,4.15,4.04,4.08,298000,"CALA","NASDAQ"
