"times","open","high","low","close","volume","symbol","market"
2019-05-30,10.96,11.082,10.73,10.84,536400,"CAMP","NASDAQ"
2019-05-31,10.75,10.77,10.11,10.16,477500,"CAMP","NASDAQ"
2019-06-03,10.16,10.48,9.95,10.19,619600,"CAMP","NASDAQ"
2019-06-04,10.36,10.4904,10.21,10.49,397900,"CAMP","NASDAQ"
2019-06-05,10.54,10.555,10.09,10.32,387400,"CAMP","NASDAQ"
2019-06-06,10.34,10.38,10.1416,10.34,210100,"CAMP","NASDAQ"
2019-06-07,10.35,10.59,10.325,10.52,141700,"CAMP","NASDAQ"
2019-06-10,10.58,10.765,10.46,10.5,146400,"CAMP","NASDAQ"
2019-06-11,10.6,10.68,10.43,10.46,352800,"CAMP","NASDAQ"
2019-06-12,10.37,10.4,10.23,10.25,126100,"CAMP","NASDAQ"
2019-06-13,10.291,10.4,10.26,10.32,219900,"CAMP","NASDAQ"
2019-06-14,10.32,10.45,10.0187,10.18,191600,"CAMP","NASDAQ"
2019-06-17,10.2,10.3,10.01,10.12,235800,"CAMP","NASDAQ"
2019-06-18,10.18,10.43,10.1306,10.14,428700,"CAMP","NASDAQ"
2019-06-19,10.21,10.35,10.11,10.3,284400,"CAMP","NASDAQ"
2019-06-20,10.43,10.55,10.23,10.26,259600,"CAMP","NASDAQ"
2019-06-21,10.21,10.32,10,10.03,518000,"CAMP","NASDAQ"
2019-06-24,10.03,10.32,9.99,10.14,300600,"CAMP","NASDAQ"
2019-06-25,10.14,10.35,9.9902,10.02,371100,"CAMP","NASDAQ"
2019-06-26,10.15,10.34,10.04,10.15,273200,"CAMP","NASDAQ"
2019-06-27,10.19,10.55,10.177,10.4,890500,"CAMP","NASDAQ"
2019-06-28,11.9894,12.21,11.21,11.68,3595600,"CAMP","NASDAQ"
2019-07-01,12.03,12.07,11.37,11.49,807500,"CAMP","NASDAQ"
2019-07-02,11.41,11.69,11.03,11.04,646900,"CAMP","NASDAQ"
2019-07-03,11.11,11.33,10.925,11.03,268800,"CAMP","NASDAQ"
2019-07-05,11.05,11.43,10.971,11.29,577700,"CAMP","NASDAQ"
2019-07-08,11.17,11.21,10.91,10.95,464800,"CAMP","NASDAQ"
2019-07-09,10.93,11.25,10.8501,11.23,349300,"CAMP","NASDAQ"
2019-07-10,11.35,11.45,11.24,11.27,259600,"CAMP","NASDAQ"
