"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.16,8.3401,8.06,8.11,135500,"CAMT","NASDAQ"
2019-05-31,7.99,8.11,7.88,8.06,148700,"CAMT","NASDAQ"
2019-06-03,8.09,8.18,8.0207,8.12,144900,"CAMT","NASDAQ"
2019-06-04,8.25,8.49,8.21,8.46,110200,"CAMT","NASDAQ"
2019-06-05,8.53,8.54,8.29,8.38,61800,"CAMT","NASDAQ"
2019-06-06,8.52,8.56,8.13,8.27,127100,"CAMT","NASDAQ"
2019-06-07,8.26,8.43,8.26,8.35,69600,"CAMT","NASDAQ"
2019-06-10,8.61,8.63,8.31,8.41,162600,"CAMT","NASDAQ"
2019-06-11,8.5,8.58,8.12,8.19,343300,"CAMT","NASDAQ"
2019-06-12,8.11,8.18,8.0304,8.12,98300,"CAMT","NASDAQ"
2019-06-13,8.14,8.34,8.1,8.26,107100,"CAMT","NASDAQ"
2019-06-14,8.19,8.24,8.13,8.13,68900,"CAMT","NASDAQ"
2019-06-17,8.07,8.22,8.05,8.08,70700,"CAMT","NASDAQ"
2019-06-18,8.22,8.58,8.22,8.45,154800,"CAMT","NASDAQ"
2019-06-19,8.68,8.8,8.47,8.6,100800,"CAMT","NASDAQ"
2019-06-20,8.82,8.82,8.53,8.64,90100,"CAMT","NASDAQ"
2019-06-21,8.57,8.57,8.43,8.49,119500,"CAMT","NASDAQ"
2019-06-24,8.41,8.48,8.27,8.31,66600,"CAMT","NASDAQ"
2019-06-25,8.25,8.29,7.94,8.03,75100,"CAMT","NASDAQ"
2019-06-26,8.17,8.32,8.15,8.3,49000,"CAMT","NASDAQ"
2019-06-27,8.47,8.55,8.41,8.43,71300,"CAMT","NASDAQ"
2019-06-28,8.43,8.5093,8.41,8.45,52400,"CAMT","NASDAQ"
2019-07-01,8.74,8.78,8.55,8.65,108700,"CAMT","NASDAQ"
2019-07-02,8.71,8.7399,8.53,8.7,69100,"CAMT","NASDAQ"
2019-07-03,8.7,8.77,8.49,8.58,59200,"CAMT","NASDAQ"
2019-07-05,8.57,8.6,8.313,8.49,60800,"CAMT","NASDAQ"
2019-07-08,8.4,8.41,8.19,8.24,59000,"CAMT","NASDAQ"
2019-07-09,8.29,8.31,8.17,8.22,58800,"CAMT","NASDAQ"
2019-07-10,8.27,8.34,8.13,8.14,89700,"CAMT","NASDAQ"
2019-07-11,8.26,8.29,8.0498,8.09,58300,"CAMT","NASDAQ"
2019-07-12,8.0699,8.37,8.03,8.36,130200,"CAMT","NASDAQ"
2019-07-15,8.43,8.59,8.41,8.59,122700,"CAMT","NASDAQ"
2019-07-16,8.69,8.7,8.28,8.33,99400,"CAMT","NASDAQ"
2019-07-17,8.33,8.38,8.28,8.33,39400,"CAMT","NASDAQ"
2019-07-18,8.27,8.52,8.25,8.52,97700,"CAMT","NASDAQ"
2019-07-19,8.55,8.62,8.35,8.6,92100,"CAMT","NASDAQ"
2019-07-22,9.04,9.39,9.04,9.18,212000,"CAMT","NASDAQ"
2019-07-23,9.42,9.6,9.16,9.36,317300,"CAMT","NASDAQ"
2019-07-24,9.53,9.87,9.49,9.86,145900,"CAMT","NASDAQ"
2019-07-25,9.99,10.02,9.69,9.8,138600,"CAMT","NASDAQ"
2019-07-26,9.81,9.9,9.6,9.72,86100,"CAMT","NASDAQ"
2019-07-29,10,10,9.61,9.99,171800,"CAMT","NASDAQ"
2019-07-30,9.87,9.9,9.7,9.87,106600,"CAMT","NASDAQ"
2019-07-31,9.84,9.91,9.7,9.82,143500,"CAMT","NASDAQ"
2019-08-01,9.78,10.3,9.62,9.8,236600,"CAMT","NASDAQ"
2019-08-02,9.73,9.73,9.44,9.61,319900,"CAMT","NASDAQ"
2019-08-05,9.2492,9.4,8.83,9,601400,"CAMT","NASDAQ"
2019-08-06,8.5,9.44,8.38,9.35,445200,"CAMT","NASDAQ"
