"times","open","high","low","close","volume","symbol","market"
2019-05-30,23.65,24.05,23.28,23.87,361700,"CARB","NASDAQ"
2019-05-31,23.5,23.76,23.22,23.67,443800,"CARB","NASDAQ"
2019-06-03,23.69,23.71,22.7406,22.87,380700,"CARB","NASDAQ"
2019-06-04,22.99,23.159,22.02,22.97,470600,"CARB","NASDAQ"
2019-06-05,23.14,23.14,22.4717,22.84,249900,"CARB","NASDAQ"
2019-06-06,22.8,22.86,22.23,22.5,221600,"CARB","NASDAQ"
2019-06-07,22.5,22.79,22.36,22.46,353000,"CARB","NASDAQ"
2019-06-10,22.68,22.98,22.59,22.93,372400,"CARB","NASDAQ"
2019-06-11,23.09,23.25,22.79,23.11,285100,"CARB","NASDAQ"
2019-06-12,23.09,23.359,22.82,22.89,500900,"CARB","NASDAQ"
2019-06-13,22.99,23.24,22.74,23.2,239100,"CARB","NASDAQ"
2019-06-14,23.17,23.63,23.04,23.57,189600,"CARB","NASDAQ"
2019-06-17,23.6,24.15,23.6,23.81,262500,"CARB","NASDAQ"
2019-06-18,24.05,24.4,23.595,23.6,233200,"CARB","NASDAQ"
2019-06-19,24.85,25.74,24.1907,25.19,734000,"CARB","NASDAQ"
2019-06-20,25.5,25.73,24.65,24.88,345200,"CARB","NASDAQ"
2019-06-21,24.78,25.2509,24.44,24.78,1209300,"CARB","NASDAQ"
2019-06-24,24.82,25.47,24.75,25.42,361800,"CARB","NASDAQ"
2019-06-25,25.39,26,25.32,25.67,751300,"CARB","NASDAQ"
2019-06-26,25.75,26.03,25.44,25.75,448400,"CARB","NASDAQ"
2019-06-27,25.83,25.97,25.269,25.87,312200,"CARB","NASDAQ"
2019-06-28,25.91,26.12,25.7021,26.04,745200,"CARB","NASDAQ"
2019-07-01,25.19,26.53,24.88,26.27,825700,"CARB","NASDAQ"
2019-07-02,26.26,26.38,25.26,25.47,352700,"CARB","NASDAQ"
2019-07-03,25.57,25.67,25.24,25.52,150100,"CARB","NASDAQ"
2019-07-05,25.34,25.67,25.05,25.52,179300,"CARB","NASDAQ"
2019-07-08,25.4091,25.46,24.8,25.08,212900,"CARB","NASDAQ"
2019-07-09,24.99,25.37,24.67,24.72,273500,"CARB","NASDAQ"
2019-07-10,24.81,25.31,24.7,25.22,210000,"CARB","NASDAQ"
2019-07-11,25.33,25.5499,24.93,25.2,174700,"CARB","NASDAQ"
2019-07-12,25.16,25.2,24.4,24.9,304200,"CARB","NASDAQ"
2019-07-15,24.89,24.91,24.36,24.39,170600,"CARB","NASDAQ"
2019-07-16,24.38,24.43,23.95,24.19,201800,"CARB","NASDAQ"
2019-07-17,24.25,25,24.2199,24.9,316200,"CARB","NASDAQ"
2019-07-18,24.76,25.52,24.76,24.96,388500,"CARB","NASDAQ"
2019-07-19,25,25.48,24.68,24.84,467300,"CARB","NASDAQ"
2019-07-22,24.92,25.03,24.22,24.42,230700,"CARB","NASDAQ"
2019-07-23,24.54,24.56,23.97,23.99,273800,"CARB","NASDAQ"
2019-07-24,23.8584,24.51,23.86,24.27,1022600,"CARB","NASDAQ"
2019-07-25,24.31,24.76,23.82,23.9,604000,"CARB","NASDAQ"
2019-07-26,18.08,18.5,16.3,18.01,7266900,"CARB","NASDAQ"
2019-07-29,18,18.46,17.75,18.26,2841100,"CARB","NASDAQ"
2019-07-30,18.22,18.48,18.14,18.34,976800,"CARB","NASDAQ"
2019-07-31,18.42,18.55,17.77,17.93,1135000,"CARB","NASDAQ"
2019-08-01,18.01,18.22,17.59,17.82,1001200,"CARB","NASDAQ"
2019-08-02,17.65,17.79,17.32,17.37,1059300,"CARB","NASDAQ"
2019-08-05,17.03,17.2,16.78,16.92,582900,"CARB","NASDAQ"
2019-08-06,16.94,17.11,16.04,16.23,858600,"CARB","NASDAQ"
2019-08-07,16.02,16.135,15.705,15.99,662900,"CARB","NASDAQ"
2019-08-08,16.11,16.26,15.95,15.98,427200,"CARB","NASDAQ"
2019-08-09,15.9184,16.08,15.72,15.98,789000,"CARB","NASDAQ"
2019-08-12,15.85,16.0187,15.76,15.8,723300,"CARB","NASDAQ"
2019-08-13,15.7,16.01,15.41,15.42,1140100,"CARB","NASDAQ"
2019-08-14,15.28,15.39,14.83,15.07,1047900,"CARB","NASDAQ"
2019-08-15,15.05,15.35,14.82,15.22,576500,"CARB","NASDAQ"
2019-08-16,15.28,15.28,14.26,14.48,740700,"CARB","NASDAQ"
2019-08-19,14.58,15,14.14,14.25,595300,"CARB","NASDAQ"
2019-08-20,14.19,14.36,13.94,14.03,675400,"CARB","NASDAQ"
