"times","open","high","low","close","volume","symbol","market"
2019-05-30,33.5,33.85,33.31,33.69,725500,"CARG","NASDAQ"
2019-05-31,33.24,34.57,32.879,34.16,1514200,"CARG","NASDAQ"
2019-06-03,34.39,34.54,33.05,33.53,1186700,"CARG","NASDAQ"
2019-06-04,33.85,34.365,33.01,34.14,928400,"CARG","NASDAQ"
2019-06-05,34.33,34.6717,33.63,34.27,1052700,"CARG","NASDAQ"
2019-06-06,34.3,34.82,33.86,34.64,820400,"CARG","NASDAQ"
2019-06-07,34.69,35.29,34.2,35.04,1043800,"CARG","NASDAQ"
2019-06-10,35.46,36,35.11,35.36,1270000,"CARG","NASDAQ"
2019-06-11,36,36.01,34.99,35.48,1176500,"CARG","NASDAQ"
2019-06-12,35.51,35.84,34.79,35.33,1057400,"CARG","NASDAQ"
2019-06-13,35.37,36.02,35.07,35.69,2199300,"CARG","NASDAQ"
2019-06-14,35.58,35.975,35.263,35.65,493100,"CARG","NASDAQ"
2019-06-17,35.66,36.12,35.37,35.87,516300,"CARG","NASDAQ"
2019-06-18,36,37.0379,35.96,36.76,585600,"CARG","NASDAQ"
2019-06-19,36.95,38.52,36.734,38.29,1022700,"CARG","NASDAQ"
2019-06-20,38.7716,39.4,38.47,38.74,1545100,"CARG","NASDAQ"
2019-06-21,38.75,39.54,38.4,38.92,1178500,"CARG","NASDAQ"
2019-06-24,38.9,38.9096,38.01,38.35,1269600,"CARG","NASDAQ"
2019-06-25,38.5,39.05,36.595,36.74,1611800,"CARG","NASDAQ"
2019-06-26,36.8785,37.9,35.34,35.4,1093100,"CARG","NASDAQ"
2019-06-27,35.48,36,35.21,35.29,887000,"CARG","NASDAQ"
2019-06-28,35.36,36.31,35.25,36.11,4173900,"CARG","NASDAQ"
2019-07-01,36.5,36.76,35.89,36.02,607100,"CARG","NASDAQ"
2019-07-02,35.97,36.2293,35.27,36,849000,"CARG","NASDAQ"
2019-07-03,36.19,36.37,35.59,36.17,434000,"CARG","NASDAQ"
2019-07-05,36.17,36.3783,35.26,36.13,702900,"CARG","NASDAQ"
2019-07-08,36.13,36.29,35.64,35.78,990700,"CARG","NASDAQ"
2019-07-09,35.65,36.83,35.14,36.53,991700,"CARG","NASDAQ"
2019-07-10,36.69,38.2,36.6106,37.44,1276100,"CARG","NASDAQ"
2019-07-11,37.39,37.48,36.59,37.46,599400,"CARG","NASDAQ"
2019-07-12,37.45,38.31,37.005,37.97,409700,"CARG","NASDAQ"
2019-07-15,37.99,38.03,37.51,37.67,489800,"CARG","NASDAQ"
2019-07-16,37.68,37.97,37.16,37.24,364500,"CARG","NASDAQ"
2019-07-17,37.15,37.3,36.3,36.32,530700,"CARG","NASDAQ"
2019-07-18,36.3,36.71,35.91,36.22,433700,"CARG","NASDAQ"
2019-07-19,36.19,36.6,35.51,35.61,447400,"CARG","NASDAQ"
2019-07-22,35.63,35.9,35.01,35.37,384000,"CARG","NASDAQ"
2019-07-23,35.45,35.78,35.02,35.78,534200,"CARG","NASDAQ"
2019-07-24,35.79,36.76,35.79,36.65,322700,"CARG","NASDAQ"
2019-07-25,36.49,36.89,36.1,36.27,375100,"CARG","NASDAQ"
2019-07-26,36.57,37.12,36.46,36.59,399600,"CARG","NASDAQ"
2019-07-29,36.53,36.9,36.31,36.88,677600,"CARG","NASDAQ"
2019-07-30,36.77,37.23,36.735,37.21,646300,"CARG","NASDAQ"
2019-07-31,37.25,37.66,37.01,37.27,791100,"CARG","NASDAQ"
2019-08-01,37.31,38.14,36.77,36.85,869000,"CARG","NASDAQ"
2019-08-02,36.94,36.94,35.1402,36.15,761500,"CARG","NASDAQ"
2019-08-05,35.24,35.24,34.16,34.36,1253200,"CARG","NASDAQ"
2019-08-06,34.56,35.125,32.24,32.88,2136200,"CARG","NASDAQ"
2019-08-07,33.57,33.57,30.22,33,2389500,"CARG","NASDAQ"
2019-08-08,33.13,34,32.16,33.92,1015300,"CARG","NASDAQ"
2019-08-09,33.49,33.97,31.99,32.01,1227700,"CARG","NASDAQ"
2019-08-12,31.82,32.39,30.81,31.92,1225400,"CARG","NASDAQ"
2019-08-13,31.69,33.07,31.51,32.43,883000,"CARG","NASDAQ"
2019-08-14,31.65,32.15,30.876,31.19,1296500,"CARG","NASDAQ"
2019-08-15,31.2,31.28,30.45,31.09,1e+06,"CARG","NASDAQ"
2019-08-16,31.26,31.6,31.01,31.21,1112300,"CARG","NASDAQ"
2019-08-19,31.74,32.285,30.91,32.11,1001500,"CARG","NASDAQ"
2019-08-20,31.87,32.04,31.65,31.74,387600,"CARG","NASDAQ"
2019-08-21,32,32.59,31.54,32.39,652000,"CARG","NASDAQ"
2019-08-22,32.55,32.555,31.735,32.15,476500,"CARG","NASDAQ"
2019-08-23,31.96,32.335,31.09,31.24,512700,"CARG","NASDAQ"
2019-08-26,31.72,31.84,31.35,31.81,397100,"CARG","NASDAQ"
2019-08-27,32.13,32.445,31.63,31.94,797400,"CARG","NASDAQ"
2019-08-28,31.88,32.06,31.54,31.83,464400,"CARG","NASDAQ"
2019-08-29,32.21,32.94,32,32.7,651800,"CARG","NASDAQ"
2019-08-30,33,33.34,32.34,32.62,444100,"CARG","NASDAQ"
2019-09-03,32.22,32.52,31.67,31.82,628100,"CARG","NASDAQ"
2019-09-04,32.11,32.63,31.53,32.45,447700,"CARG","NASDAQ"
2019-09-05,32.78,33.72,32.38,33.06,811700,"CARG","NASDAQ"
2019-09-06,33.01,33.68,32.12,33.21,599000,"CARG","NASDAQ"
2019-09-09,33.38,34.19,32.68,33.87,738000,"CARG","NASDAQ"
2019-09-10,33.59,34.96,32.96,34.77,913800,"CARG","NASDAQ"
2019-09-11,34.84,36.29,34.53,35.72,1024600,"CARG","NASDAQ"
2019-09-12,35.77,35.99,34.35,34.37,1072000,"CARG","NASDAQ"
2019-09-13,34.67,36.14,34.39,35.57,958900,"CARG","NASDAQ"
2019-09-16,35.34,36,34.47,34.55,735000,"CARG","NASDAQ"
2019-09-17,34.67,35.06,34.295,34.9,649900,"CARG","NASDAQ"
2019-09-18,34.93,35.19,32.72,33.14,1321500,"CARG","NASDAQ"
2019-09-19,33.22,33.95,33.22,33.38,692400,"CARG","NASDAQ"
2019-09-20,33.39,33.79,33.1,33.14,2319700,"CARG","NASDAQ"
2019-09-23,33.01,33.03,30.9,31.86,1336400,"CARG","NASDAQ"
2019-09-24,31.86,32.51,30.02,30.27,1068900,"CARG","NASDAQ"
2019-09-25,30.13,30.5,29.64,30.07,893400,"CARG","NASDAQ"
2019-09-26,29.96,30.64,29.66,30.6,1065600,"CARG","NASDAQ"
2019-09-27,30.52,31.09,30.32,30.61,2302000,"CARG","NASDAQ"
2019-09-30,30.61,31.24,30.555,30.95,784600,"CARG","NASDAQ"
2019-10-01,31.17,31.3,30.91,31.07,1472400,"CARG","NASDAQ"
2019-10-02,30.97,31.04,30.22,30.85,1077800,"CARG","NASDAQ"
2019-10-03,30.76,31.02,29.66,30.21,1357500,"CARG","NASDAQ"
2019-10-04,30.16,30.31,29.14,30.285,1194800,"CARG","NASDAQ"
2019-10-07,30.25,30.67,29.87,30.4,628200,"CARG","NASDAQ"
2019-10-08,30.09,30.4,29.57,29.62,928000,"CARG","NASDAQ"
2019-10-09,29.97,30.03,29.505,29.67,717600,"CARG","NASDAQ"
2019-10-10,29.55,29.66,28.65,28.68,755700,"CARG","NASDAQ"
2019-10-11,29.1,29.98,28.8,29.33,791600,"CARG","NASDAQ"
