"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.138,3.3703,2.908,2.908,54200,"CARV","NASDAQ"
2019-05-31,2.915,3,2.915,2.977,5900,"CARV","NASDAQ"
2019-06-03,2.916,2.924,2.9,2.924,1500,"CARV","NASDAQ"
2019-06-04,2.9902,3,2.94,2.94,4000,"CARV","NASDAQ"
2019-06-05,2.95,2.9999,2.95,2.96,7800,"CARV","NASDAQ"
2019-06-06,2.999,3.42,2.968,3.2,82100,"CARV","NASDAQ"
2019-06-07,2.981,3.075,2.75,2.914,18300,"CARV","NASDAQ"
2019-06-10,2.8,3.129,2.767,2.96,9400,"CARV","NASDAQ"
2019-06-11,2.853,3.01,2.85,3.01,1900,"CARV","NASDAQ"
2019-06-12,3.01,3.01,3.01,3.01,100,"CARV","NASDAQ"
2019-06-13,3.11,3.1102,3.11,3.11,200,"CARV","NASDAQ"
2019-06-14,2.85,3.05,2.85,3.03,3600,"CARV","NASDAQ"
2019-06-17,2.88,3.05,2.88,2.95,4200,"CARV","NASDAQ"
2019-06-18,2.91,3.1,2.91,3.1,3400,"CARV","NASDAQ"
2019-06-19,3.016,3.16,2.96,2.96,2100,"CARV","NASDAQ"
2019-06-20,3.484,3.484,3.084,3.134,7200,"CARV","NASDAQ"
2019-06-21,3.45,3.484,3.06,3.06,48800,"CARV","NASDAQ"
2019-06-24,3.222,3.222,3.222,3.222,800,"CARV","NASDAQ"
2019-06-25,3.18,3.261,3,3.06,40100,"CARV","NASDAQ"
2019-06-26,2.953,3.12,2.953,3.12,300,"CARV","NASDAQ"
2019-06-27,3.04,3.11,3.0401,3.04,7700,"CARV","NASDAQ"
2019-06-28,3.09,3.09,3,3,2000,"CARV","NASDAQ"
2019-07-01,2.99,3.245,2.99,3.01,7400,"CARV","NASDAQ"
2019-07-02,3.01,3.284,2.951,3.071,3000,"CARV","NASDAQ"
2019-07-03,3.04,3.14,3,3.092,3300,"CARV","NASDAQ"
2019-07-05,3.02,3.057,3.02,3.057,1200,"CARV","NASDAQ"
2019-07-08,3.14,3.14,3.14,3.14,500,"CARV","NASDAQ"
2019-07-09,3.13,3.29,2.9999,3.18,5200,"CARV","NASDAQ"
2019-07-10,3.05,3.2,3.05,3.2,1000,"CARV","NASDAQ"
2019-07-11,2.9999,3.26,3,3.2,2200,"CARV","NASDAQ"
2019-07-12,3.25,3.25,3.2498,3.25,200,"CARV","NASDAQ"
2019-07-15,2.97,2.97,2.97,2.97,600,"CARV","NASDAQ"
2019-07-16,3.27,3.55,3.09,3.26,14900,"CARV","NASDAQ"
2019-07-17,3.5,3.5001,3.28,3.3,1000,"CARV","NASDAQ"
2019-07-18,3.3,3.3,3.3,3.3,400,"CARV","NASDAQ"
2019-07-19,3.3,3.3,3.3,3.3,100,"CARV","NASDAQ"
2019-07-22,3.38,3.38,3.07,3.24,900,"CARV","NASDAQ"
2019-07-23,3.24,3.24,3.24,3.24,100,"CARV","NASDAQ"
2019-07-24,3.39,3.39,3.39,3.39,500,"CARV","NASDAQ"
2019-07-25,3.39,3.39,3.39,3.39,100,"CARV","NASDAQ"
2019-07-26,3.39,3.39,3.39,3.39,100,"CARV","NASDAQ"
