"times","open","high","low","close","volume","symbol","market"
2019-05-30,31.69,31.69,31.69,31.69,100,"CARZ","NASDAQ"
2019-05-31,30.941,31.13,30.94,31.12,8300,"CARZ","NASDAQ"
2019-06-03,31.15,31.32,31.13,31.21,7500,"CARZ","NASDAQ"
2019-06-04,32.04,32.29,32.04,32.29,1200,"CARZ","NASDAQ"
2019-06-05,32.4295,32.43,32.16,32.19,5400,"CARZ","NASDAQ"
2019-06-06,32.07,32.12,32.07,32.12,900,"CARZ","NASDAQ"
2019-06-07,32.37,32.3833,32.37,32.38,600,"CARZ","NASDAQ"
2019-06-10,32.73,32.73,32.65,32.65,500,"CARZ","NASDAQ"
2019-06-11,33.0221,33.02,32.81,32.81,1700,"CARZ","NASDAQ"
2019-06-12,32.81,32.81,32.81,32.81,100,"CARZ","NASDAQ"
2019-06-13,32.42,32.4219,32.42,32.42,200,"CARZ","NASDAQ"
2019-06-14,31.8,31.8,31.56,31.6,5600,"CARZ","NASDAQ"
2019-06-17,31.7,31.8,31.7,31.8,1100,"CARZ","NASDAQ"
2019-06-18,32.09,32.36,32.09,32.32,3700,"CARZ","NASDAQ"
2019-06-19,32.3729,32.42,32.37,32.42,900,"CARZ","NASDAQ"
2019-06-20,32.93,32.9297,32.55,32.55,2400,"CARZ","NASDAQ"
2019-06-21,32.58,32.7029,32.58,32.7,4700,"CARZ","NASDAQ"
2019-06-24,32.58,32.79,32.58,32.69,1100,"CARZ","NASDAQ"
2019-06-25,32.69,32.69,32.69,32.69,200,"CARZ","NASDAQ"
2019-06-26,32.71,32.71,32.71,32.71,19500,"CARZ","NASDAQ"
2019-06-27,32.83,32.91,32.8,32.91,2800,"CARZ","NASDAQ"
2019-06-28,32.91,32.91,32.91,32.91,100,"CARZ","NASDAQ"
2019-07-01,33.4,33.4,33.4009,33.4,600,"CARZ","NASDAQ"
2019-07-02,33.12,33.12,33.12,33.12,200,"CARZ","NASDAQ"
2019-07-03,33.12,33.1213,33.12,33.12,0,"CARZ","NASDAQ"
2019-07-05,33.23,33.29,33.23,33.27,600,"CARZ","NASDAQ"
2019-07-08,33.03,33.19,32.98,33.19,700,"CARZ","NASDAQ"
2019-07-09,32.74,32.74,32.74,32.74,100,"CARZ","NASDAQ"
2019-07-10,32.81,32.8229,32.78,32.82,900,"CARZ","NASDAQ"
2019-07-11,32.72,32.72,32.55,32.55,300,"CARZ","NASDAQ"
2019-07-12,32.55,32.55,32.55,32.55,100,"CARZ","NASDAQ"
2019-07-15,33.03,33.03,33.03,33.03,500,"CARZ","NASDAQ"
2019-07-16,32.97,33.03,32.97,33.03,300,"CARZ","NASDAQ"
2019-07-17,32.95,32.95,32.83,32.9,1300,"CARZ","NASDAQ"
2019-07-18,32.65,32.7503,32.63,32.75,900,"CARZ","NASDAQ"
2019-07-19,32.84,32.84,32.84,32.84,700,"CARZ","NASDAQ"
2019-07-22,32.88,32.93,32.83,32.83,800,"CARZ","NASDAQ"
2019-07-23,33.34,33.37,33.34,33.36,800,"CARZ","NASDAQ"
2019-07-24,33.64,33.7,33.64,33.7,2800,"CARZ","NASDAQ"
2019-07-25,33.14,33.14,32.8,32.84,5000,"CARZ","NASDAQ"
2019-07-26,32.64,32.8,32.64,32.68,1100,"CARZ","NASDAQ"
2019-07-29,32.51,32.53,32.51,32.53,1800,"CARZ","NASDAQ"
2019-07-30,32.23,32.26,32.22,32.26,800,"CARZ","NASDAQ"
2019-07-31,32.22,32.22,32.09,32.11,1400,"CARZ","NASDAQ"
2019-08-01,31.54,31.54,31.46,31.5,800,"CARZ","NASDAQ"
2019-08-02,31.1,31.1,30.93,30.93,400,"CARZ","NASDAQ"
2019-08-05,30.79,30.79,30.47,30.47,1200,"CARZ","NASDAQ"
2019-08-06,30.7631,30.85,30.76,30.85,300,"CARZ","NASDAQ"
