"times","open","high","low","close","volume","symbol","market"
2019-05-30,5.84,5.92,5.66,5.74,195600,"CASA","NASDAQ"
2019-05-31,5.68,5.72,5.534,5.62,218800,"CASA","NASDAQ"
2019-06-03,5.61,5.83,5.61,5.72,307400,"CASA","NASDAQ"
2019-06-04,5.77,5.94,5.74,5.74,202500,"CASA","NASDAQ"
2019-06-05,5.79,5.936,5.57,5.75,212700,"CASA","NASDAQ"
2019-06-06,5.75,5.78,5.55,5.65,221400,"CASA","NASDAQ"
2019-06-07,5.67,5.675,5.46,5.64,235200,"CASA","NASDAQ"
2019-06-10,5.7,5.82,5.661,5.74,179800,"CASA","NASDAQ"
2019-06-11,5.78,5.92,5.7007,5.71,179600,"CASA","NASDAQ"
2019-06-12,5.69,5.79,5.61,5.68,154800,"CASA","NASDAQ"
2019-06-13,5.69,6.18,5.69,6.15,411800,"CASA","NASDAQ"
2019-06-14,6.13,6.27,5.97,6.12,470800,"CASA","NASDAQ"
2019-06-17,6.09,6.18,5.91,6.11,524300,"CASA","NASDAQ"
2019-06-18,6.19,6.332,6.12,6.16,165500,"CASA","NASDAQ"
2019-06-19,6.22,6.3,6.08,6.25,153900,"CASA","NASDAQ"
2019-06-20,6.33,6.48,6.24,6.31,165800,"CASA","NASDAQ"
2019-06-21,6.3,6.4798,6.205,6.47,411200,"CASA","NASDAQ"
2019-06-24,6.48,6.48,6.2,6.27,249400,"CASA","NASDAQ"
2019-06-25,6.27,6.3801,6.14,6.14,244600,"CASA","NASDAQ"
2019-06-26,6.2,6.46,6.195,6.41,198700,"CASA","NASDAQ"
2019-06-27,6.43,6.56,6.42,6.48,163900,"CASA","NASDAQ"
2019-06-28,6.52,6.69,6.4,6.43,888400,"CASA","NASDAQ"
2019-07-01,6.55,6.73,6.3,6.38,297600,"CASA","NASDAQ"
2019-07-02,6.42,6.57,6.34,6.37,158200,"CASA","NASDAQ"
2019-07-03,6.4,6.4,6.31,6.36,53300,"CASA","NASDAQ"
2019-07-05,6.33,6.37,6.26,6.36,109800,"CASA","NASDAQ"
2019-07-08,6.33,6.3405,6.11,6.15,114600,"CASA","NASDAQ"
2019-07-09,6.11,6.213,6.05,6.17,125200,"CASA","NASDAQ"
2019-07-10,6.22,6.53,6.18,6.4,222400,"CASA","NASDAQ"
2019-07-11,6.38,6.43,6.22,6.38,138600,"CASA","NASDAQ"
2019-07-12,6.42,6.65,6.41,6.6,213600,"CASA","NASDAQ"
2019-07-15,6.61,6.8,6.48,6.78,688100,"CASA","NASDAQ"
2019-07-16,6.7903,6.811,6.46,6.5,292000,"CASA","NASDAQ"
2019-07-17,6.5,6.62,6.39,6.57,167000,"CASA","NASDAQ"
2019-07-18,6.57,6.8,6.55,6.63,184600,"CASA","NASDAQ"
2019-07-19,6.6,6.71,6.57,6.64,137000,"CASA","NASDAQ"
2019-07-22,6.6398,6.75,6.55,6.61,190000,"CASA","NASDAQ"
2019-07-23,6.63,6.74,6.56,6.65,203100,"CASA","NASDAQ"
2019-07-24,6.63,6.84,6.58,6.83,169500,"CASA","NASDAQ"
2019-07-25,6.85,6.85,6.6,6.66,141800,"CASA","NASDAQ"
2019-07-26,6.69,6.82,6.6,6.77,379700,"CASA","NASDAQ"
2019-07-29,6.8,6.91,6.68,6.83,210300,"CASA","NASDAQ"
2019-07-30,6.24,6.59,5.77,6.34,839300,"CASA","NASDAQ"
2019-07-31,6.38,6.65,6.32,6.59,397300,"CASA","NASDAQ"
2019-08-01,6.69,7.89,6.68,7.61,1526300,"CASA","NASDAQ"
2019-08-02,7.57,7.57,7.08,7.27,445000,"CASA","NASDAQ"
2019-08-05,7.12,7.32,7.04,7.25,265700,"CASA","NASDAQ"
2019-08-06,7.32,7.64,7.22,7.45,1215300,"CASA","NASDAQ"
2019-08-07,7.44,7.57,7.25,7.26,543100,"CASA","NASDAQ"
2019-08-08,7.27,7.4046,7.19,7.24,240100,"CASA","NASDAQ"
2019-08-09,7.19,7.22,6.92,7.01,284900,"CASA","NASDAQ"
2019-08-12,7,7.07,6.91,6.95,194500,"CASA","NASDAQ"
2019-08-13,6.91,7.02,6.593,6.82,289500,"CASA","NASDAQ"
2019-08-14,6.75,6.75,6.36,6.42,390500,"CASA","NASDAQ"
2019-08-15,6.42,6.44,6.105,6.23,214700,"CASA","NASDAQ"
2019-08-16,6.3,6.6,6.22,6.37,296400,"CASA","NASDAQ"
2019-08-19,6.47,6.57,6.36,6.39,207900,"CASA","NASDAQ"
2019-08-20,6.39,6.56,6.26,6.37,171600,"CASA","NASDAQ"
2019-08-21,6.39,6.6,6.35,6.51,207500,"CASA","NASDAQ"
2019-08-22,6.51,6.67,6.42,6.54,107300,"CASA","NASDAQ"
2019-08-23,6.51,6.51,6.05,6.11,389400,"CASA","NASDAQ"
2019-08-26,6.17,6.188,5.71,5.75,220700,"CASA","NASDAQ"
2019-08-27,5.76,5.79,5.38,5.43,339800,"CASA","NASDAQ"
2019-08-28,5.43,5.69,5.35,5.6,348500,"CASA","NASDAQ"
2019-08-29,5.64,5.79,5.52,5.66,265700,"CASA","NASDAQ"
2019-08-30,5.7,5.84,5.65,5.76,120500,"CASA","NASDAQ"
2019-09-03,5.68,5.84,5.62,5.74,199700,"CASA","NASDAQ"
2019-09-04,5.81,5.93,5.64,5.88,184000,"CASA","NASDAQ"
2019-09-05,5.94,6.3,5.93,6.25,292600,"CASA","NASDAQ"
2019-09-06,6.25,6.45,6.25,6.44,99300,"CASA","NASDAQ"
2019-09-09,6.45,6.75,6.41,6.75,240500,"CASA","NASDAQ"
2019-09-10,6.72,7.1,6.67,6.99,414000,"CASA","NASDAQ"
2019-09-11,7.04,7.37,6.89,7.28,431500,"CASA","NASDAQ"
2019-09-12,7.27,7.29,6.9,7.2,368800,"CASA","NASDAQ"
2019-09-13,7.13,7.41,7.13,7.39,160500,"CASA","NASDAQ"
2019-09-16,7.36,7.62,7.23,7.49,153700,"CASA","NASDAQ"
2019-09-17,7.44,7.44,7.14,7.24,159600,"CASA","NASDAQ"
2019-09-18,7.22,7.3,7.09,7.26,154200,"CASA","NASDAQ"
2019-09-19,7.33,7.43,7.125,7.19,201300,"CASA","NASDAQ"
2019-09-20,7.2,7.55,7.2,7.49,422600,"CASA","NASDAQ"
2019-09-23,7.4,7.52,7.36,7.5,266400,"CASA","NASDAQ"
2019-09-24,7.5,7.51,7.22,7.28,202700,"CASA","NASDAQ"
2019-09-25,7.27,7.51,7.17,7.47,234900,"CASA","NASDAQ"
2019-09-26,7.46,7.678,7.26,7.555,285300,"CASA","NASDAQ"
2019-09-27,7.57,7.9,7.57,7.815,329800,"CASA","NASDAQ"
2019-09-30,7.83,7.97,7.69,7.855,396500,"CASA","NASDAQ"
2019-10-01,7.87,8.03,7.06,7.12,265500,"CASA","NASDAQ"
2019-10-02,7.06,7.06,6.47,6.59,248400,"CASA","NASDAQ"
2019-10-03,6.58,6.73,6.25,6.27,237200,"CASA","NASDAQ"
2019-10-04,6.3,6.33,6.04,6.215,177900,"CASA","NASDAQ"
2019-10-07,6.21,6.47,6.21,6.36,145300,"CASA","NASDAQ"
2019-10-08,6.32,6.37,6.161,6.255,153600,"CASA","NASDAQ"
2019-10-09,6.32,6.38,6.18,6.275,121600,"CASA","NASDAQ"
2019-10-10,6.29,6.52,6.24,6.475,150900,"CASA","NASDAQ"
2019-10-11,6.56,6.775,6.445,6.55,130000,"CASA","NASDAQ"
2019-10-14,6.54,6.57,6.425,6.5,121800,"CASA","NASDAQ"
2019-10-15,6.5,6.77,6.49,6.67,125800,"CASA","NASDAQ"
