"times","open","high","low","close","volume","symbol","market"
2019-05-30,27.09,27.23,26.25,26.42,176900,"CASH","NASDAQ"
2019-05-31,26.03,26.38,25.88,26.17,134500,"CASH","NASDAQ"
2019-06-03,26.17,26.52,25.87,26.19,246800,"CASH","NASDAQ"
2019-06-04,26.52,27.42,26.43,27.35,303000,"CASH","NASDAQ"
2019-06-05,27.47,27.56,27,27.2,288200,"CASH","NASDAQ"
2019-06-06,27.12,27.4501,26.89,27.18,262200,"CASH","NASDAQ"
2019-06-07,27.06,27.55,26.9,27.33,222300,"CASH","NASDAQ"
2019-06-10,27.48,27.88,27.42,27.44,251200,"CASH","NASDAQ"
2019-06-11,27.68,27.875,27.36,27.37,262100,"CASH","NASDAQ"
2019-06-12,27.43,28.03,27.236,27.69,252700,"CASH","NASDAQ"
2019-06-13,27.91,28.45,27.847,28.42,353800,"CASH","NASDAQ"
2019-06-14,28.45,28.67,28.26,28.57,237400,"CASH","NASDAQ"
2019-06-17,28.64,29.04,28.27,28.35,212200,"CASH","NASDAQ"
2019-06-18,28.36,28.87,27.8679,28,315000,"CASH","NASDAQ"
2019-06-19,28.07,28.34,27.925,28.05,272400,"CASH","NASDAQ"
2019-06-20,28.3224,28.32,27.52,28.02,213400,"CASH","NASDAQ"
2019-06-21,27.86,28.38,27.86,28.04,304200,"CASH","NASDAQ"
2019-06-24,27.93,28.32,27.71,27.71,167700,"CASH","NASDAQ"
2019-06-25,27.71,27.91,27.165,27.47,196300,"CASH","NASDAQ"
2019-06-26,27.52,27.81,27.3007,27.34,159400,"CASH","NASDAQ"
2019-06-27,27.33,28.31,27.33,28.21,271800,"CASH","NASDAQ"
2019-06-28,28.2,28.85,27.94,28.05,1552800,"CASH","NASDAQ"
2019-07-01,28.03,28.73,27.86,28.43,258400,"CASH","NASDAQ"
2019-07-02,28.42,28.4821,27.35,27.57,155300,"CASH","NASDAQ"
2019-07-03,27.67,27.67,27.17,27.35,78800,"CASH","NASDAQ"
2019-07-05,27.6,28.19,27.45,28.18,141600,"CASH","NASDAQ"
2019-07-08,27.9611,28.05,27.35,27.41,191800,"CASH","NASDAQ"
2019-07-09,27.23,27.8,26.96,27.77,147900,"CASH","NASDAQ"
2019-07-10,27.81,27.81,27.42,27.52,101200,"CASH","NASDAQ"
2019-07-11,27.53,27.53,26.73,27.18,152300,"CASH","NASDAQ"
2019-07-12,27.33,27.66,27.1,27.62,115300,"CASH","NASDAQ"
2019-07-15,27.61,27.75,26.73,26.78,81500,"CASH","NASDAQ"
2019-07-16,26.82,27.03,26.36,26.79,109500,"CASH","NASDAQ"
2019-07-17,26.59,26.96,26.45,26.71,130900,"CASH","NASDAQ"
2019-07-18,26.7,27,26.46,26.68,120800,"CASH","NASDAQ"
2019-07-19,26.57,27.02,26.57,26.67,137000,"CASH","NASDAQ"
2019-07-22,26.66,26.79,26.27,26.43,82500,"CASH","NASDAQ"
2019-07-23,26.42,26.74,26.12,26.74,70900,"CASH","NASDAQ"
2019-07-24,26.64,27.48,26.64,27.42,104800,"CASH","NASDAQ"
2019-07-25,27.45,27.82,27.32,27.54,126600,"CASH","NASDAQ"
2019-07-26,27.49,28.07,27.49,28.01,159900,"CASH","NASDAQ"
2019-07-29,27.95,28.23,27.72,27.83,159900,"CASH","NASDAQ"
2019-07-30,27.6,28.01,27.6,27.88,127700,"CASH","NASDAQ"
2019-07-31,29,31.4,28.75,30.87,1138200,"CASH","NASDAQ"
2019-08-01,30.77,31.61,30.14,30.52,471900,"CASH","NASDAQ"
2019-08-02,30.22,30.61,29.78,30.27,212300,"CASH","NASDAQ"
2019-08-05,29.64,30.52,29.53,30.01,410400,"CASH","NASDAQ"
2019-08-06,30.4,30.43,29.16,29.72,170100,"CASH","NASDAQ"
2019-08-07,29.27,29.82,28.71,29.58,266200,"CASH","NASDAQ"
2019-08-08,29.86,30,29.47,29.62,236700,"CASH","NASDAQ"
2019-08-09,29.62,29.7,29.08,29.31,195900,"CASH","NASDAQ"
2019-08-12,29.12,29.34,28.77,29.12,137600,"CASH","NASDAQ"
2019-08-13,28.58,29.59,27.01,29.28,300800,"CASH","NASDAQ"
2019-08-14,28.76,29.19,28.07,28.94,198600,"CASH","NASDAQ"
2019-08-15,29.27,29.55,28.6984,29.45,237100,"CASH","NASDAQ"
2019-08-16,29.5,30.53,29.5,30.28,296900,"CASH","NASDAQ"
2019-08-19,30.56,30.83,30.45,30.49,178200,"CASH","NASDAQ"
2019-08-20,30.49,30.9,30.13,30.72,174300,"CASH","NASDAQ"
2019-08-21,30.97,31.39,30.58,31.33,185400,"CASH","NASDAQ"
2019-08-22,31.5,31.6,30.81,30.84,111500,"CASH","NASDAQ"
2019-08-23,31.04,31.48,29.96,30.06,213200,"CASH","NASDAQ"
2019-08-26,30.27,31.5,30.21,31.49,209100,"CASH","NASDAQ"
2019-08-27,31.59,31.64,30.47,30.57,217400,"CASH","NASDAQ"
2019-08-28,30.71,31.05,30.21,30.97,175800,"CASH","NASDAQ"
2019-08-29,31.18,31.56,30.74,31.27,154900,"CASH","NASDAQ"
2019-08-30,31.47,31.47,30.31,30.91,180500,"CASH","NASDAQ"
2019-09-03,30.78,30.8,30.2,30.61,205600,"CASH","NASDAQ"
2019-09-04,30.97,31.01,30.64,30.88,102500,"CASH","NASDAQ"
2019-09-05,31.15,31.76,31.15,31.59,200900,"CASH","NASDAQ"
2019-09-06,31.51,31.63,30.97,31.18,150300,"CASH","NASDAQ"
2019-09-09,31.27,32,31.25,31.83,568400,"CASH","NASDAQ"
2019-09-10,32,32.98,31.89,32.92,396900,"CASH","NASDAQ"
2019-09-11,32.98,34,32.63,33.86,413900,"CASH","NASDAQ"
2019-09-12,33.96,34.35,33.32,33.69,425800,"CASH","NASDAQ"
2019-09-13,34.21,34.81,33.81,33.97,404800,"CASH","NASDAQ"
2019-09-16,33.57,34.1,33.47,33.97,306900,"CASH","NASDAQ"
2019-09-17,33.72,34.12,33.6,33.99,305200,"CASH","NASDAQ"
2019-09-18,33.93,34.34,33.72,33.96,187200,"CASH","NASDAQ"
2019-09-19,33.91,34.49,33.85,33.99,348500,"CASH","NASDAQ"
2019-09-20,33.92,34.55,33.92,34.17,1580300,"CASH","NASDAQ"
2019-09-23,34.12,34.29,33.35,34.17,407000,"CASH","NASDAQ"
2019-09-24,34.33,34.47,32.94,33.27,312800,"CASH","NASDAQ"
2019-09-25,33.17,33.59,32.91,33.4,215400,"CASH","NASDAQ"
2019-09-26,33.38,33.38,32.57,32.62,181400,"CASH","NASDAQ"
2019-09-27,32.78,33.21,32.25,32.43,181400,"CASH","NASDAQ"
2019-09-30,32.33,32.82,32.26,32.61,300700,"CASH","NASDAQ"
2019-10-01,32.6,32.99,31.9,32.05,252900,"CASH","NASDAQ"
2019-10-02,31.74,32.29,31.21,32.09,303200,"CASH","NASDAQ"
2019-10-03,32.07,32.38,31.74,32.29,149000,"CASH","NASDAQ"
2019-10-04,32.29,33.11,32.29,33.1,209500,"CASH","NASDAQ"
2019-10-07,33.06,33.68,33.01,33.29,281700,"CASH","NASDAQ"
2019-10-08,33.07,33.1,32.36,32.62,173600,"CASH","NASDAQ"
2019-10-09,32.97,33.12,32.79,32.89,148300,"CASH","NASDAQ"
2019-10-10,33.04,33.39,32.89,33.16,159100,"CASH","NASDAQ"
2019-10-11,33.62,34.41,33.46,33.72,216100,"CASH","NASDAQ"
2019-10-14,33.7,34.2,33.52,34,113000,"CASH","NASDAQ"
2019-10-15,34.12,34.85,34.01,34.62,175000,"CASH","NASDAQ"
2019-10-16,34.81,35.37,34.58,34.8,225600,"CASH","NASDAQ"
2019-10-17,35.13,35.38,34.9,35.26,164500,"CASH","NASDAQ"
2019-10-18,35.11,35.84,35.05,35.49,211834,"CASH","NASDAQ"
