"times","open","high","low","close","volume","symbol","market"
2019-05-30,131.1,131.2552,129.37,130.07,179100,"CASY","NASDAQ"
2019-05-31,129.44,129.53,128.165,129.08,226600,"CASY","NASDAQ"
2019-06-03,129.17,131.21,128.27,128.84,290300,"CASY","NASDAQ"
2019-06-04,129.93,131.72,129.74,131.6,300100,"CASY","NASDAQ"
2019-06-05,132.18,133.19,131.05,131.15,376100,"CASY","NASDAQ"
2019-06-06,131.1,134.27,130.32,134.17,433000,"CASY","NASDAQ"
2019-06-07,134.53,134.83,133.0951,133.9,262700,"CASY","NASDAQ"
2019-06-10,134.47,134.9493,132.23,133.04,449200,"CASY","NASDAQ"
2019-06-11,146.97,149.48,142.821,146.39,1352500,"CASY","NASDAQ"
2019-06-12,147.33,151.29,147.09,149.89,620900,"CASY","NASDAQ"
2019-06-13,151.39,153.539,150.72,152.29,485600,"CASY","NASDAQ"
2019-06-14,152.86,154.35,150.6485,151.98,490500,"CASY","NASDAQ"
2019-06-17,153.79,153.89,151.11,153.53,377400,"CASY","NASDAQ"
2019-06-18,153.94,155.19,151.83,152.35,260100,"CASY","NASDAQ"
2019-06-19,152.29,153.85,150.7,153.64,239600,"CASY","NASDAQ"
2019-06-20,153.99,155.3168,152.71,154.51,305100,"CASY","NASDAQ"
2019-06-21,154.64,155.68,153.11,154.03,411100,"CASY","NASDAQ"
2019-06-24,153.7,155.5663,153.125,154.01,248900,"CASY","NASDAQ"
2019-06-25,153.64,155.37,152.95,154.66,387700,"CASY","NASDAQ"
2019-06-26,154.63,154.63,152.19,152.32,405100,"CASY","NASDAQ"
2019-06-27,152.8117,155.89,152.56,155.59,397100,"CASY","NASDAQ"
2019-06-28,155.81,156.82,153.52,155.99,770400,"CASY","NASDAQ"
2019-07-01,157.15,158.17,154.58,157.95,451900,"CASY","NASDAQ"
2019-07-02,157.96,158.21,155.49,155.75,256800,"CASY","NASDAQ"
2019-07-03,156.15,158.425,156.13,157.59,298400,"CASY","NASDAQ"
2019-07-05,156.78,159.29,156.2,159,313800,"CASY","NASDAQ"
2019-07-08,158.8,158.82,157.17,157.64,259100,"CASY","NASDAQ"
2019-07-09,157.43,158.35,156.68,157.65,264400,"CASY","NASDAQ"
2019-07-10,157.54,157.97,155.5507,156.83,302100,"CASY","NASDAQ"
2019-07-11,157.03,158.11,156,157.98,220100,"CASY","NASDAQ"
2019-07-12,157.95,160.4976,157.28,159.53,268700,"CASY","NASDAQ"
2019-07-15,160.23,160.77,159.01,159.54,263100,"CASY","NASDAQ"
2019-07-16,159.81,161.24,158.99,160.25,253300,"CASY","NASDAQ"
2019-07-17,160.25,160.85,159.06,160.44,287800,"CASY","NASDAQ"
2019-07-18,162,163.94,159.94,163.79,301400,"CASY","NASDAQ"
2019-07-19,163.86,165.38,163.57,164.8,337900,"CASY","NASDAQ"
2019-07-22,164.9,165.32,162,162.77,418600,"CASY","NASDAQ"
2019-07-23,163.43,163.43,160.76,162.65,389700,"CASY","NASDAQ"
2019-07-24,162.2144,163.89,161.08,162.77,210700,"CASY","NASDAQ"
2019-07-25,162.7703,163.26,161.09,161.17,312100,"CASY","NASDAQ"
2019-07-26,161.58,163.95,160.59,163.55,344600,"CASY","NASDAQ"
2019-07-29,163.9093,164.01,161.42,161.82,236800,"CASY","NASDAQ"
2019-07-30,161.7,163.33,160.97,162.72,261600,"CASY","NASDAQ"
2019-07-31,161.81,163.91,161.22,161.91,268200,"CASY","NASDAQ"
2019-08-01,161.7202,163.29,160.6,162.29,305400,"CASY","NASDAQ"
2019-08-02,161.76,164.04,161.24,163.64,318000,"CASY","NASDAQ"
2019-08-05,161.37,162.72,160.59,161.95,364900,"CASY","NASDAQ"
2019-08-06,162.38,165.78,162.16,164.71,282800,"CASY","NASDAQ"
2019-08-07,161.5,165.99,161.2367,165.34,352400,"CASY","NASDAQ"
2019-08-08,165.59,167.9781,165.59,166.79,348500,"CASY","NASDAQ"
2019-08-09,166.44,167.77,166.02,166.7,169100,"CASY","NASDAQ"
2019-08-12,165.38,166.64,164.32,166.03,391500,"CASY","NASDAQ"
2019-08-13,166.7,169.345,166.38,166.6,400500,"CASY","NASDAQ"
2019-08-14,164.8072,165.25,163.61,164.22,257200,"CASY","NASDAQ"
2019-08-15,163.65,167.66,162.94,166.86,303900,"CASY","NASDAQ"
2019-08-16,167.49,171.13,166.58,170.02,934500,"CASY","NASDAQ"
2019-08-19,171.3,172.86,170.05,171.98,249100,"CASY","NASDAQ"
2019-08-20,171.9,173.31,170.11,171.58,277000,"CASY","NASDAQ"
2019-08-21,172.7,172.78,171.23,171.92,218300,"CASY","NASDAQ"
