"times","open","high","low","close","volume","symbol","market"
2019-05-30,6.91,7.03,6.6,6.75,119800,"CATB","NASDAQ"
2019-05-31,6.74,6.89,6.55,6.86,97000,"CATB","NASDAQ"
2019-06-03,6.87,6.995,6.58,6.67,109100,"CATB","NASDAQ"
2019-06-04,6.55,6.72,6.45,6.53,93500,"CATB","NASDAQ"
2019-06-05,6.54,6.6,6.17,6.18,88200,"CATB","NASDAQ"
2019-06-06,6.18,6.3999,6,6.14,96200,"CATB","NASDAQ"
2019-06-07,6.17,6.3,5.9498,6.1,87400,"CATB","NASDAQ"
2019-06-10,6.14,6.17,5.864,5.95,100200,"CATB","NASDAQ"
2019-06-11,6,6,5.67,5.86,77500,"CATB","NASDAQ"
2019-06-12,5.98,6.17,5.67,5.9,46000,"CATB","NASDAQ"
2019-06-13,6,6.02,5.89,5.95,54500,"CATB","NASDAQ"
2019-06-14,5.95,6.1297,5.83,5.89,41600,"CATB","NASDAQ"
2019-06-17,5.87,6.19,5.85,6.05,31800,"CATB","NASDAQ"
2019-06-18,6.27,6.49,6.1693,6.45,61700,"CATB","NASDAQ"
2019-06-19,6.49,6.93,6.4,6.84,75000,"CATB","NASDAQ"
2019-06-20,7.3,7.68,7.2,7.49,191500,"CATB","NASDAQ"
2019-06-21,7.7,7.88,7.296,7.59,159900,"CATB","NASDAQ"
2019-06-24,8.1003,8.14,7.51,7.71,144100,"CATB","NASDAQ"
2019-06-25,7.76,7.8,7.33,7.48,78400,"CATB","NASDAQ"
2019-06-26,7.58,7.77,7.4,7.61,52400,"CATB","NASDAQ"
2019-06-27,7.91,8.15,7.63,7.8,134300,"CATB","NASDAQ"
2019-06-28,7.89,8.11,7.6297,8.07,113300,"CATB","NASDAQ"
2019-07-01,8.19,8.19,7.61,7.68,57400,"CATB","NASDAQ"
2019-07-02,7.65,7.65,7.351,7.54,52600,"CATB","NASDAQ"
2019-07-03,7.56,7.87,7.5,7.5,41700,"CATB","NASDAQ"
2019-07-05,7.53,7.7,7.447,7.46,45200,"CATB","NASDAQ"
2019-07-08,7.47,7.7,7.346,7.44,71300,"CATB","NASDAQ"
2019-07-09,7.45,7.66,7.3,7.58,83100,"CATB","NASDAQ"
2019-07-10,7.79,7.79,7.52,7.7,55600,"CATB","NASDAQ"
2019-07-11,7.66,7.8112,7.42,7.6,47300,"CATB","NASDAQ"
2019-07-12,7.6,7.68,7.41,7.49,39000,"CATB","NASDAQ"
2019-07-15,7.56,7.75,7.31,7.45,48200,"CATB","NASDAQ"
2019-07-16,7.43,7.68,7.38,7.43,41000,"CATB","NASDAQ"
2019-07-17,7.5,7.5,7.3,7.41,21900,"CATB","NASDAQ"
2019-07-18,7.45,7.51,7.21,7.31,37000,"CATB","NASDAQ"
2019-07-19,7.2,7.44,7.08,7.11,42300,"CATB","NASDAQ"
2019-07-22,7.12,7.29,7.0996,7.14,45900,"CATB","NASDAQ"
2019-07-23,7.15,7.24,6.87,7.1,37400,"CATB","NASDAQ"
2019-07-24,7.0599,7.17,6.9,7.1,19800,"CATB","NASDAQ"
2019-07-25,7.03,7.12,6.72,6.81,34800,"CATB","NASDAQ"
2019-07-26,6.73,6.89,6.7,6.82,14900,"CATB","NASDAQ"
2019-07-29,6.83,7.2,6.83,7.14,41800,"CATB","NASDAQ"
2019-07-30,7.15,7.47,7.02,7.39,33200,"CATB","NASDAQ"
2019-07-31,7.37,7.41,7.08,7.08,23100,"CATB","NASDAQ"
2019-08-01,7.09,7.22,6.8,6.83,61000,"CATB","NASDAQ"
2019-08-02,6.84,6.93,6.72,6.905,42100,"CATB","NASDAQ"
2019-08-05,6.81,6.81,6.55,6.65,59800,"CATB","NASDAQ"
2019-08-06,6.75,6.755,6.31,6.65,33100,"CATB","NASDAQ"
2019-08-07,6.59,6.65,6.49,6.49,11600,"CATB","NASDAQ"
2019-08-08,6.65,6.71,6.51,6.61,35100,"CATB","NASDAQ"
2019-08-09,6.6,6.64,6.41,6.56,19500,"CATB","NASDAQ"
2019-08-12,6.55,6.55,6.33,6.39,24200,"CATB","NASDAQ"
2019-08-13,6.3999,6.45,6.31,6.405,26900,"CATB","NASDAQ"
