"times","open","high","low","close","volume","symbol","market"
2019-05-30,34.2,34.22,34.15,34.158,7000,"CATH","NASDAQ"
2019-05-31,33.91,33.97,33.72,33.81,57200,"CATH","NASDAQ"
2019-06-03,33.709,33.869,33.56,33.634,76000,"CATH","NASDAQ"
2019-06-04,33.83,34.26,33.83,34.26,4300,"CATH","NASDAQ"
2019-06-05,34.47,34.676,34.47,34.63,7100,"CATH","NASDAQ"
2019-06-06,34.61,34.9784,34.61,34.98,23300,"CATH","NASDAQ"
2019-06-07,35.2,35.38,35.2,35.29,14200,"CATH","NASDAQ"
2019-06-10,35.58,35.59,35.47,35.47,20100,"CATH","NASDAQ"
2019-06-11,35.58,35.58,35.424,35.48,9400,"CATH","NASDAQ"
2019-06-12,35.35,35.41,35.32,35.36,4600,"CATH","NASDAQ"
2019-06-13,35.55,35.55,35.501,35.501,2600,"CATH","NASDAQ"
2019-06-14,35.64,35.68,35.39,35.495,5700,"CATH","NASDAQ"
2019-06-17,35.4,35.55,35.31,35.53,21300,"CATH","NASDAQ"
2019-06-18,35.84,35.95,35.793,35.84,5200,"CATH","NASDAQ"
2019-06-19,35.821,35.94,35.771,35.94,21600,"CATH","NASDAQ"
2019-06-20,36.39,36.39,36.005,36.14,12500,"CATH","NASDAQ"
2019-06-21,36.27,36.33,36.17,36.198,8300,"CATH","NASDAQ"
2019-06-24,36.237,36.237,36.11,36.19,110200,"CATH","NASDAQ"
2019-06-25,36.17,36.17,35.695,35.78,23100,"CATH","NASDAQ"
2019-06-26,35.97,35.9717,35.687,35.75,15500,"CATH","NASDAQ"
2019-06-27,35.69,35.69,35.573,35.61,78700,"CATH","NASDAQ"
2019-06-28,35.84,35.94,35.53,35.83,22900,"CATH","NASDAQ"
2019-07-01,36.24,36.24,35.98,36.055,82600,"CATH","NASDAQ"
2019-07-02,36.02,36.2,36.02,36.14,136300,"CATH","NASDAQ"
2019-07-03,36.5,36.5,36.31,36.5,50500,"CATH","NASDAQ"
2019-07-05,36.2119,36.5,36.18,36.5,16500,"CATH","NASDAQ"
2019-07-08,36.34,36.34,36.2,36.271,5300,"CATH","NASDAQ"
2019-07-09,36.19,36.3094,36.19,36.31,1900,"CATH","NASDAQ"
2019-07-10,36.49,36.561,36.36,36.43,73300,"CATH","NASDAQ"
2019-07-11,36.553,36.57,36.46,36.46,1400,"CATH","NASDAQ"
2019-07-12,36.68,36.76,36.64,36.76,8600,"CATH","NASDAQ"
2019-07-15,37.05,37.05,36.73,36.765,3900,"CATH","NASDAQ"
2019-07-16,36.89,36.89,36.642,36.678,4900,"CATH","NASDAQ"
2019-07-17,36.57,36.683,36.44,36.44,7700,"CATH","NASDAQ"
2019-07-18,36.41,36.55,36.39,36.55,13000,"CATH","NASDAQ"
2019-07-19,36.87,36.87,36.33,36.337,7000,"CATH","NASDAQ"
2019-07-22,36.46,36.46,36.37,36.44,7500,"CATH","NASDAQ"
2019-07-23,36.46,36.7,36.46,36.7,4200,"CATH","NASDAQ"
2019-07-24,36.669,36.912,36.669,36.912,5100,"CATH","NASDAQ"
2019-07-25,36.95,36.95,36.61,36.663,2700,"CATH","NASDAQ"
2019-07-26,36.73,36.95,36.73,36.95,2900,"CATH","NASDAQ"
2019-07-29,37.03,37.03,36.81,36.84,40500,"CATH","NASDAQ"
