"times","open","high","low","close","volume","symbol","market"
2019-05-30,35.31,35.51,34.24,34.64,412900,"CATY","NASDAQ"
2019-05-31,33.95,34.145,33.34,33.64,576100,"CATY","NASDAQ"
2019-06-03,33.59,34.63,33.55,34.33,488100,"CATY","NASDAQ"
2019-06-04,34.85,35.22,34.66,35,648700,"CATY","NASDAQ"
2019-06-05,34.9617,35.03,34.29,34.62,366900,"CATY","NASDAQ"
2019-06-06,34.62,34.96,34.23,34.83,316500,"CATY","NASDAQ"
2019-06-07,34.76,34.9,34.47,34.59,371100,"CATY","NASDAQ"
2019-06-10,34.8,35.29,34.5,34.77,350500,"CATY","NASDAQ"
2019-06-11,35.02,35.24,34.65,34.84,212600,"CATY","NASDAQ"
2019-06-12,34.61,34.9694,34.27,34.59,260800,"CATY","NASDAQ"
2019-06-13,34.78,35.01,34.38,34.72,258900,"CATY","NASDAQ"
2019-06-14,34.59,34.745,34.24,34.57,339500,"CATY","NASDAQ"
2019-06-17,34.53,34.7,34.0405,34.13,327100,"CATY","NASDAQ"
2019-06-18,34.11,34.87,34.1,34.62,383900,"CATY","NASDAQ"
2019-06-19,34.64,34.92,34.34,34.46,294500,"CATY","NASDAQ"
2019-06-20,34.74,34.7385,33.89,34.51,343800,"CATY","NASDAQ"
2019-06-21,34.26,34.9,34.26,34.51,635900,"CATY","NASDAQ"
2019-06-24,34.51,35.01,34.21,34.25,307500,"CATY","NASDAQ"
2019-06-25,34.24,34.4818,33.7,34.35,391600,"CATY","NASDAQ"
2019-06-26,34.56,34.89,34.42,34.65,282600,"CATY","NASDAQ"
2019-06-27,34.46,35.29,34.46,35.26,438400,"CATY","NASDAQ"
2019-06-28,35.63,36.2,35.46,35.91,721800,"CATY","NASDAQ"
2019-07-01,36.2,36.51,35.95,36.21,334500,"CATY","NASDAQ"
2019-07-02,36.25,36.25,35.47,35.68,265400,"CATY","NASDAQ"
2019-07-03,35.78,36.11,35.56,35.9,147400,"CATY","NASDAQ"
2019-07-05,36.12,36.6507,35.99,36.32,216700,"CATY","NASDAQ"
2019-07-08,35.88,35.99,35.37,35.57,454100,"CATY","NASDAQ"
2019-07-09,35.37,35.62,35.2,35.47,256200,"CATY","NASDAQ"
2019-07-10,35.55,35.58,35.19,35.24,281200,"CATY","NASDAQ"
2019-07-11,35.35,35.45,34.69,35.33,421100,"CATY","NASDAQ"
2019-07-12,35.43,35.88,35.37,35.77,306300,"CATY","NASDAQ"
2019-07-15,35.78,35.94,34.74,34.82,208400,"CATY","NASDAQ"
2019-07-16,34.84,34.98,34.4,34.8,308900,"CATY","NASDAQ"
2019-07-17,34.6,34.8,34.3,34.77,442200,"CATY","NASDAQ"
2019-07-18,35.31,36.0686,34.4,35.96,612100,"CATY","NASDAQ"
2019-07-19,35.88,36.91,35.8806,36.34,662600,"CATY","NASDAQ"
2019-07-22,36.25,36.26,35.77,36,452200,"CATY","NASDAQ"
2019-07-23,36,36.76,35.9,36.73,421600,"CATY","NASDAQ"
2019-07-24,36.63,37.48,36.63,37.32,681900,"CATY","NASDAQ"
2019-07-25,37.4734,37.73,36.83,37.06,356300,"CATY","NASDAQ"
2019-07-26,37.09,37.54,36.95,37.45,251900,"CATY","NASDAQ"
2019-07-29,37.43,37.49,36.87,36.93,377600,"CATY","NASDAQ"
2019-07-30,36.54,37.33,36.5206,37.32,332600,"CATY","NASDAQ"
2019-07-31,37.24,37.62,36.99,37.22,582000,"CATY","NASDAQ"
2019-08-01,37.11,37.4,35.59,35.73,699300,"CATY","NASDAQ"
2019-08-02,35.56,35.76,34.82,35.26,504300,"CATY","NASDAQ"
2019-08-05,34.56,34.72,33.55,34.07,536300,"CATY","NASDAQ"
2019-08-06,34.32,34.46,33.56,34.23,293900,"CATY","NASDAQ"
2019-08-07,33.56,34.07,33.22,33.97,396700,"CATY","NASDAQ"
2019-08-08,34.36,35.02,34.17,34.94,464500,"CATY","NASDAQ"
2019-08-09,34.7,34.99,34.44,34.85,387900,"CATY","NASDAQ"
2019-08-12,34.48,34.58,34.04,34.14,420400,"CATY","NASDAQ"
2019-08-13,34.15,35.42,34.04,34.54,379300,"CATY","NASDAQ"
2019-08-14,33.7,33.97,33.04,33.24,347900,"CATY","NASDAQ"
2019-08-15,33.35,33.38,32.82,32.97,446100,"CATY","NASDAQ"
2019-08-16,33.16,33.97,33.16,33.94,1536100,"CATY","NASDAQ"
2019-08-19,34.47,34.67,34.22,34.32,299700,"CATY","NASDAQ"
2019-08-20,34.05,34.17,33.75,33.86,234400,"CATY","NASDAQ"
2019-08-21,34.15,34.21,33.86,33.93,324000,"CATY","NASDAQ"
2019-08-22,34.02,34.25,33.59,33.6,234600,"CATY","NASDAQ"
2019-08-23,33.52,33.75,32.26,32.42,546000,"CATY","NASDAQ"
2019-08-26,32.77,32.86,32.38,32.78,352500,"CATY","NASDAQ"
2019-08-27,33,33.06,31.89,32.02,592800,"CATY","NASDAQ"
2019-08-28,31.9,32.8,31.9,32.69,490200,"CATY","NASDAQ"
2019-08-29,33.14,33.6,33.03,33.38,402000,"CATY","NASDAQ"
2019-08-30,33.3,33.42,32.92,33.19,454900,"CATY","NASDAQ"
2019-09-03,32.97,33.01,32.08,32.45,359500,"CATY","NASDAQ"
2019-09-04,32.7,32.82,32.42,32.62,200500,"CATY","NASDAQ"
2019-09-05,33.14,34.03,33.14,33.62,307600,"CATY","NASDAQ"
2019-09-06,33.59,33.6,33.21,33.26,201900,"CATY","NASDAQ"
2019-09-09,33.49,34.38,33.44,34.23,298700,"CATY","NASDAQ"
2019-09-10,34.3,34.74,34.3,34.64,404100,"CATY","NASDAQ"
2019-09-11,34.88,35.15,34.25,35.11,311100,"CATY","NASDAQ"
2019-09-12,34.84,35.47,34.55,35.34,374700,"CATY","NASDAQ"
2019-09-13,35.81,36.08,35.54,35.74,628400,"CATY","NASDAQ"
2019-09-16,35.5,35.91,35.34,35.58,238300,"CATY","NASDAQ"
2019-09-17,35.35,35.35,34.89,35.06,199000,"CATY","NASDAQ"
2019-09-18,34.96,35.4,34.78,35.26,262600,"CATY","NASDAQ"
2019-09-19,35.21,35.84,35.08,35.09,214800,"CATY","NASDAQ"
2019-09-20,35.1,35.56,34.76,35.18,1065000,"CATY","NASDAQ"
2019-09-23,35.03,35.48,34.83,35.3,180600,"CATY","NASDAQ"
2019-09-24,35.22,35.37,34.32,34.5,337800,"CATY","NASDAQ"
2019-09-25,34.63,35.61,34.63,35.56,353400,"CATY","NASDAQ"
2019-09-26,35.37,35.55,34.7,34.73,468100,"CATY","NASDAQ"
2019-09-27,35.14,35.6,34.81,34.94,428000,"CATY","NASDAQ"
2019-09-30,35.08,35.08,34.72,34.74,182500,"CATY","NASDAQ"
2019-10-01,35,35.18,33.87,34.07,270700,"CATY","NASDAQ"
2019-10-02,33.81,34.26,33.59,34.2,332900,"CATY","NASDAQ"
2019-10-03,34.09,34.18,33.51,34.01,184000,"CATY","NASDAQ"
2019-10-04,34.01,34.46,33.74,34.43,134200,"CATY","NASDAQ"
2019-10-07,34.34,34.69,34.27,34.4,129000,"CATY","NASDAQ"
2019-10-08,33.85,34,33.59,33.65,221300,"CATY","NASDAQ"
2019-10-09,34.03,34.04,33.57,33.84,125500,"CATY","NASDAQ"
2019-10-10,33.93,34.32,33.81,33.94,222100,"CATY","NASDAQ"
