"times","open","high","low","close","volume","symbol","market"
2019-05-30,16.928,17.3,16.38,17,21100,"CBAN","NASDAQ"
2019-05-31,16.6,17.045,16.316,16.7,19700,"CBAN","NASDAQ"
2019-06-03,17.39,17.39,16.06,16.99,9400,"CBAN","NASDAQ"
2019-06-04,17.0008,17,16.47,16.81,15800,"CBAN","NASDAQ"
2019-06-05,16.744,16.99,16.436,16.85,12900,"CBAN","NASDAQ"
2019-06-06,16.94,16.96,16.26,16.75,13900,"CBAN","NASDAQ"
2019-06-07,16.482,17,16.482,16.54,31000,"CBAN","NASDAQ"
2019-06-10,16.69,17,16.57,16.72,23900,"CBAN","NASDAQ"
2019-06-11,16.88,17,16.88,16.91,29200,"CBAN","NASDAQ"
2019-06-12,16.99,17.16,16.6,16.92,30100,"CBAN","NASDAQ"
2019-06-13,16.94,17,16.78,16.91,19200,"CBAN","NASDAQ"
2019-06-14,16.91,17,16.91,16.97,13100,"CBAN","NASDAQ"
2019-06-17,16.94,17,16.55,16.75,22000,"CBAN","NASDAQ"
2019-06-18,16.66,16.75,16.5,16.6,23100,"CBAN","NASDAQ"
2019-06-19,16.75,16.8,16.4,16.75,16400,"CBAN","NASDAQ"
2019-06-20,16.63,16.75,16.5,16.75,12500,"CBAN","NASDAQ"
2019-06-21,16.79,17.4,16.51,16.75,47500,"CBAN","NASDAQ"
2019-06-24,16.63,16.75,16.31,16.35,27700,"CBAN","NASDAQ"
2019-06-25,16.32,16.75,16.32,16.66,13600,"CBAN","NASDAQ"
2019-06-26,16.72,16.9999,16.72,17,30900,"CBAN","NASDAQ"
2019-06-27,16.77,17.0015,16.77,17,68700,"CBAN","NASDAQ"
2019-06-28,16.97,17.4,16.925,16.95,918400,"CBAN","NASDAQ"
2019-07-01,17.01,17.4,16.5603,16.92,74300,"CBAN","NASDAQ"
2019-07-02,16.81,17.2,16.77,16.96,50500,"CBAN","NASDAQ"
2019-07-03,17,17,16.85,16.98,3600,"CBAN","NASDAQ"
2019-07-05,16.9795,17,16.64,16.94,10300,"CBAN","NASDAQ"
2019-07-08,16.98,17.36,16.8,17.22,15800,"CBAN","NASDAQ"
2019-07-09,17.2901,17.3,16.69,16.9,7900,"CBAN","NASDAQ"
2019-07-10,16.98,17.23,16.65,16.72,10700,"CBAN","NASDAQ"
2019-07-11,16.6,16.98,16.43,16.6,11400,"CBAN","NASDAQ"
2019-07-12,16.44,16.69,16.35,16.46,12300,"CBAN","NASDAQ"
2019-07-15,16.35,16.4,16.17,16.33,12100,"CBAN","NASDAQ"
2019-07-16,16.17,16.61,15.67,16.41,12100,"CBAN","NASDAQ"
2019-07-17,16.4201,16.55,16.04,16.06,9300,"CBAN","NASDAQ"
2019-07-18,16.11,16.38,16.08,16.38,4500,"CBAN","NASDAQ"
2019-07-19,16.1,16.68,16.1,16.68,5800,"CBAN","NASDAQ"
2019-07-22,16.72,16.72,16.19,16.44,4400,"CBAN","NASDAQ"
2019-07-23,16.63,16.63,16.15,16.41,3200,"CBAN","NASDAQ"
2019-07-24,16.24,16.3696,16.24,16.3,4900,"CBAN","NASDAQ"
2019-07-25,16.3,16.34,16.0309,16.3,2800,"CBAN","NASDAQ"
2019-07-26,16.33,16.7,16.33,16.45,7100,"CBAN","NASDAQ"
2019-07-29,16.47,16.75,16.31,16.31,4400,"CBAN","NASDAQ"
2019-07-30,16.63,16.95,16.41,16.7,11000,"CBAN","NASDAQ"
2019-07-31,16.8,16.99,16.7193,16.75,10100,"CBAN","NASDAQ"
2019-08-01,17,17,16.39,16.57,7600,"CBAN","NASDAQ"
2019-08-02,16.28,16.44,16.13,16.13,3100,"CBAN","NASDAQ"
2019-08-05,16.29,16.57,16.05,16.07,3900,"CBAN","NASDAQ"
2019-08-06,16.11,16.14,15.99,16.05,3800,"CBAN","NASDAQ"
