"times","open","high","low","close","volume","symbol","market"
2019-05-29,13.72,13.8,13.7,13.8,3800,"CBMB","NASDAQ"
2019-05-30,13.89,15.3,13.89,14.2,30000,"CBMB","NASDAQ"
2019-05-31,14.01,14.1,13.86,13.86,9800,"CBMB","NASDAQ"
2019-06-03,13.76,13.76,13.76,13.76,300,"CBMB","NASDAQ"
2019-06-04,13.76,13.76,13.739,13.739,4700,"CBMB","NASDAQ"
2019-06-05,13.76,13.76,13.553,13.75,9300,"CBMB","NASDAQ"
2019-06-06,13.7,13.75,13.6,13.75,12600,"CBMB","NASDAQ"
2019-06-07,13.6,13.7406,13.45,13.7,18400,"CBMB","NASDAQ"
2019-06-10,13.71,13.75,13.65,13.65,5600,"CBMB","NASDAQ"
2019-06-11,13.69,13.75,13.575,13.67,8200,"CBMB","NASDAQ"
2019-06-12,13.75,13.95,13.75,13.95,7100,"CBMB","NASDAQ"
2019-06-13,14.05,14.25,13.9,14.005,9400,"CBMB","NASDAQ"
2019-06-14,13.91,13.95,13.909,13.91,1100,"CBMB","NASDAQ"
2019-06-17,13.95,13.95,13.95,13.95,600,"CBMB","NASDAQ"
2019-06-18,13.95,13.95,13.93,13.934,800,"CBMB","NASDAQ"
2019-06-19,13.9,13.95,13.9,13.95,2500,"CBMB","NASDAQ"
2019-06-20,13.95,13.95,13.91,13.94,3400,"CBMB","NASDAQ"
2019-06-21,13.95,13.96,13.89,13.96,3100,"CBMB","NASDAQ"
2019-06-24,13.88,14.01,13.88,14.01,400,"CBMB","NASDAQ"
2019-06-25,13.963,14,13.8,13.85,2200,"CBMB","NASDAQ"
2019-06-26,14,14,14,14,100,"CBMB","NASDAQ"
2019-06-27,13.95,13.9497,13.805,13.95,1000,"CBMB","NASDAQ"
2019-06-28,13.8052,13.95,13.8,13.8,6800,"CBMB","NASDAQ"
2019-07-01,13.8,13.8,13.8,13.8,0,"CBMB","NASDAQ"
2019-07-02,13.67,13.705,13.52,13.58,3600,"CBMB","NASDAQ"
2019-07-03,13.58,13.58,13.58,13.58,0,"CBMB","NASDAQ"
2019-07-05,13.58,13.58,13.58,13.58,200,"CBMB","NASDAQ"
2019-07-08,13.64,13.67,13.6,13.67,2500,"CBMB","NASDAQ"
2019-07-09,13.67,13.67,13.67,13.67,100,"CBMB","NASDAQ"
2019-07-10,13.62,13.67,13.62,13.62,1200,"CBMB","NASDAQ"
2019-07-11,13.61,13.61,13.61,13.61,100,"CBMB","NASDAQ"
2019-07-12,13.57,13.57,13.5703,13.57,900,"CBMB","NASDAQ"
2019-07-15,13.65,13.67,13.54,13.67,10000,"CBMB","NASDAQ"
2019-07-16,13.67,13.67,13.57,13.57,9300,"CBMB","NASDAQ"
2019-07-17,13.52,13.63,13.52,13.63,2300,"CBMB","NASDAQ"
2019-07-18,13.68,13.68,13.68,13.68,200,"CBMB","NASDAQ"
2019-07-19,13.73,13.73,13.73,13.73,300,"CBMB","NASDAQ"
2019-07-22,13.59,13.59,13.59,13.59,100,"CBMB","NASDAQ"
2019-07-23,13.66,13.66,13.66,13.66,200,"CBMB","NASDAQ"
2019-07-24,13.6986,13.7,13.65,13.67,1400,"CBMB","NASDAQ"
2019-07-25,13.7,14.8,13.7,14.8,800,"CBMB","NASDAQ"
2019-07-26,13.95,13.97,13.85,13.97,3400,"CBMB","NASDAQ"
2019-07-29,13.99,13.99,13.62,13.62,1900,"CBMB","NASDAQ"
2019-07-30,13.71,13.95,13.71,13.87,1200,"CBMB","NASDAQ"
2019-07-31,13.64,13.64,13.64,13.64,1400,"CBMB","NASDAQ"
2019-08-01,13.68,13.94,13.65,13.65,3500,"CBMB","NASDAQ"
2019-08-02,13.65,13.65,13.65,13.65,300,"CBMB","NASDAQ"
2019-08-05,13.64,13.6402,13.64,13.64,200,"CBMB","NASDAQ"
2019-08-06,14.15,14.15,13.64,13.64,1200,"CBMB","NASDAQ"
2019-08-07,14.03,14.03,13.65,13.79,500,"CBMB","NASDAQ"
2019-08-08,13.82,13.95,13.61,13.61,1500,"CBMB","NASDAQ"
