"times","open","high","low","close","volume","symbol","market"
2019-05-30,12,12,11.83,11.99,5100,"CBNK","NASDAQ"
2019-05-31,11.99,12,11.79,12,14400,"CBNK","NASDAQ"
2019-06-03,11.87,11.9997,11.85,11.97,11300,"CBNK","NASDAQ"
2019-06-04,12,12,11.79,12,6700,"CBNK","NASDAQ"
2019-06-05,12,12,11.91,11.94,4100,"CBNK","NASDAQ"
2019-06-06,12,12,11.87,12,3000,"CBNK","NASDAQ"
2019-06-07,11.94,11.99,11.76,11.76,13200,"CBNK","NASDAQ"
2019-06-10,11.81,12.11,11.81,12,31000,"CBNK","NASDAQ"
2019-06-11,11.98,12,11.84,12,11300,"CBNK","NASDAQ"
2019-06-12,11.88,12.02,11.62,12.02,18300,"CBNK","NASDAQ"
2019-06-13,12.03,12.03,11.9,12,10300,"CBNK","NASDAQ"
2019-06-14,12,12.03,11.95,11.97,11300,"CBNK","NASDAQ"
2019-06-17,12.0202,12.13,11.8,12.08,15500,"CBNK","NASDAQ"
2019-06-18,12.03,12.08,11.97,12.08,10000,"CBNK","NASDAQ"
2019-06-19,12.09,12.1,11.92,11.95,12100,"CBNK","NASDAQ"
2019-06-20,12.0101,12.03,11.65,12.01,11400,"CBNK","NASDAQ"
2019-06-21,11.91,12.03,11.82,11.84,15900,"CBNK","NASDAQ"
2019-06-24,11.85,12.03,11.8005,11.8,13900,"CBNK","NASDAQ"
2019-06-25,11.7495,11.86,11.54,11.55,22100,"CBNK","NASDAQ"
2019-06-26,11.5476,11.73,11.54,11.58,22200,"CBNK","NASDAQ"
2019-06-27,11.86,11.98,11.7196,11.98,10100,"CBNK","NASDAQ"
2019-06-28,11.9,12.37,11.84,12.3,297000,"CBNK","NASDAQ"
2019-07-01,12.27,12.38,12.2,12.3,32700,"CBNK","NASDAQ"
2019-07-02,12.3496,12.35,12.22,12.22,1100,"CBNK","NASDAQ"
2019-07-03,12.35,12.35,12.3,12.3,1400,"CBNK","NASDAQ"
2019-07-05,12.12,12.38,12.12,12.38,7100,"CBNK","NASDAQ"
2019-07-08,12.2,12.48,12.15,12.48,6000,"CBNK","NASDAQ"
2019-07-09,12.39,12.5,12.36,12.43,11300,"CBNK","NASDAQ"
2019-07-10,11.88,12.46,11.88,12.31,4000,"CBNK","NASDAQ"
2019-07-11,12.19,12.44,12.19,12.43,5900,"CBNK","NASDAQ"
2019-07-12,12.5,12.5,12.36,12.36,5100,"CBNK","NASDAQ"
2019-07-15,12.26,12.45,12.26,12.43,2200,"CBNK","NASDAQ"
2019-07-16,12.4,12.4,12.3,12.4,2000,"CBNK","NASDAQ"
2019-07-17,12.15,12.3906,12.11,12.39,4100,"CBNK","NASDAQ"
2019-07-18,12.08,12.38,12.08,12.34,2600,"CBNK","NASDAQ"
2019-07-19,12.24,12.24,12.07,12.19,4000,"CBNK","NASDAQ"
2019-07-22,12.18,12.18,12.18,12.18,1300,"CBNK","NASDAQ"
2019-07-23,12.11,12.11,11.18,11.8,2100,"CBNK","NASDAQ"
2019-07-24,12,12.27,11.8004,12.13,5100,"CBNK","NASDAQ"
2019-07-25,12.2,12.2,12.05,12.06,2900,"CBNK","NASDAQ"
2019-07-26,12.05,12.2,12.05,12.13,36200,"CBNK","NASDAQ"
2019-07-29,12.01,12.38,11.98,12.38,10800,"CBNK","NASDAQ"
2019-07-30,12.22,12.97,12.2195,12.52,19000,"CBNK","NASDAQ"
2019-07-31,12.5,12.94,12.26,12.74,10800,"CBNK","NASDAQ"
2019-08-01,12.97,13.06,12.7097,12.71,23600,"CBNK","NASDAQ"
2019-08-02,12.43,12.97,12.33,12.88,6000,"CBNK","NASDAQ"
2019-08-05,12.78,13.01,12.2096,12.63,23900,"CBNK","NASDAQ"
2019-08-06,12.5,12.75,12.37,12.5,9300,"CBNK","NASDAQ"
2019-08-07,12.65,12.65,11.71,11.71,1100,"CBNK","NASDAQ"
2019-08-08,11.75,12.2492,11.75,12.18,5700,"CBNK","NASDAQ"
2019-08-09,11.98,12.25,11.9,11.96,3500,"CBNK","NASDAQ"
2019-08-12,11.9901,12.32,11.99,12.07,13100,"CBNK","NASDAQ"
2019-08-13,12.2,12.39,12.02,12.39,7900,"CBNK","NASDAQ"
2019-08-14,12.31,12.31,11.8789,11.88,6400,"CBNK","NASDAQ"
2019-08-15,12.02,12.03,11.97,12.01,6200,"CBNK","NASDAQ"
2019-08-16,12.09,12.43,11.82,12.2,15600,"CBNK","NASDAQ"
2019-08-19,12.2,12.32,12.19,12.19,1700,"CBNK","NASDAQ"
2019-08-20,12.17,12.2,11.9,12.13,8100,"CBNK","NASDAQ"
2019-08-21,11.95,11.95,11.52,11.72,14500,"CBNK","NASDAQ"
2019-08-22,11.95,11.95,11.76,11.76,3500,"CBNK","NASDAQ"
2019-08-23,11.91,11.91,11.63,11.63,4900,"CBNK","NASDAQ"
2019-08-26,11.77,11.94,11.77,11.94,4000,"CBNK","NASDAQ"
2019-08-27,11.96,11.98,11.67,11.75,6300,"CBNK","NASDAQ"
2019-08-28,11.98,12.04,11.98,12.04,2600,"CBNK","NASDAQ"
2019-08-29,12.1,12.1,11.86,12.05,10500,"CBNK","NASDAQ"
2019-08-30,12,12.1,12,12.1,5400,"CBNK","NASDAQ"
2019-09-03,12,12.07,12,12,5500,"CBNK","NASDAQ"
2019-09-04,12.05,12.05,12,12.04,2800,"CBNK","NASDAQ"
2019-09-05,12.05,12.14,12,12,8900,"CBNK","NASDAQ"
2019-09-06,12,12.19,12,12.05,9400,"CBNK","NASDAQ"
2019-09-09,12.05,12.2,12,12.19,26400,"CBNK","NASDAQ"
2019-09-10,12.1,13.34,12.1,13.13,84600,"CBNK","NASDAQ"
2019-09-11,12.58,13.35,12.58,13.22,43200,"CBNK","NASDAQ"
2019-09-12,13.26,14,13.26,13.88,55200,"CBNK","NASDAQ"
2019-09-13,13.83,13.94,13.34,13.77,17900,"CBNK","NASDAQ"
2019-09-16,13.87,14.4,13.86,14.13,39600,"CBNK","NASDAQ"
2019-09-17,14.25,14.38,14.12,14.13,35900,"CBNK","NASDAQ"
2019-09-18,14.24,14.25,13.65,13.93,25700,"CBNK","NASDAQ"
2019-09-19,13.78,14.19,12.43,14.15,42600,"CBNK","NASDAQ"
2019-09-20,14.05,14.23,13.4,14.14,111200,"CBNK","NASDAQ"
2019-09-23,14.02,14.23,13.82,14.19,12600,"CBNK","NASDAQ"
2019-09-24,14,14.15,13.96,14.05,5200,"CBNK","NASDAQ"
2019-09-25,14.04,14.38,14,14.24,20600,"CBNK","NASDAQ"
2019-09-26,14.23,14.5,14,14.02,15900,"CBNK","NASDAQ"
2019-09-27,14.18,14.18,13.52,13.74,16800,"CBNK","NASDAQ"
2019-09-30,13.73,13.97,13.55,13.62,9000,"CBNK","NASDAQ"
2019-10-01,13.61,13.86,13.51,13.51,4300,"CBNK","NASDAQ"
2019-10-02,13.5,13.5,13.21,13.25,8200,"CBNK","NASDAQ"
2019-10-03,13.24,13.47,13.09,13.43,4600,"CBNK","NASDAQ"
2019-10-04,13.34,13.48,13.09,13.23,5100,"CBNK","NASDAQ"
2019-10-07,13.21,13.21,13.1,13.1,1700,"CBNK","NASDAQ"
