"times","open","high","low","close","volume","symbol","market"
2019-05-30,158.43,159.54,156.55,157.72,436200,"CBRL","NASDAQ"
2019-05-31,157.62,160.62,155.8763,157.09,409100,"CBRL","NASDAQ"
2019-06-03,157.1,161.83,156.29,161.05,975500,"CBRL","NASDAQ"
2019-06-04,164.69,168.96,161.46,166.88,1092700,"CBRL","NASDAQ"
2019-06-05,162.61,166.77,161.66,166.42,584300,"CBRL","NASDAQ"
2019-06-06,166.8687,168.76,166.2,168.62,401800,"CBRL","NASDAQ"
2019-06-07,169.05,169.0466,163.52,163.63,366200,"CBRL","NASDAQ"
2019-06-10,164.57,166.25,164.51,165.73,372300,"CBRL","NASDAQ"
2019-06-11,165.85,167.28,164.83,164.93,286700,"CBRL","NASDAQ"
2019-06-12,165.12,165.48,164,164.78,263800,"CBRL","NASDAQ"
2019-06-13,165.34,168.42,165.02,166.83,289100,"CBRL","NASDAQ"
2019-06-14,166.82,169.59,166.82,168.32,272400,"CBRL","NASDAQ"
2019-06-17,169.26,170.37,168.33,169.97,442000,"CBRL","NASDAQ"
2019-06-18,170.26,171.09,169.137,169.71,287000,"CBRL","NASDAQ"
2019-06-19,170.2,170.77,168.3,168.82,283900,"CBRL","NASDAQ"
2019-06-20,168.1463,168.99,166.09,166.3,374000,"CBRL","NASDAQ"
2019-06-21,165.75,169.12,165.7,167.89,504800,"CBRL","NASDAQ"
2019-06-24,168.52,170.03,168.52,169.89,295400,"CBRL","NASDAQ"
2019-06-25,170.8,172.3,170.08,170.94,458500,"CBRL","NASDAQ"
2019-06-26,170.93,171.1,169.11,169.78,315700,"CBRL","NASDAQ"
2019-06-27,169.71,171.32,169.18,170.52,412200,"CBRL","NASDAQ"
2019-06-28,170.62,171.84,170.2,170.73,410200,"CBRL","NASDAQ"
2019-07-01,171.5,172.28,170.01,171.6,332600,"CBRL","NASDAQ"
2019-07-02,172.18,172.45,170.6,172.43,452000,"CBRL","NASDAQ"
2019-07-03,173.1,173.97,172.822,172.99,330300,"CBRL","NASDAQ"
2019-07-05,172.61,173.1,171.34,172.95,282200,"CBRL","NASDAQ"
2019-07-08,172.73,173.14,170.72,171.62,320900,"CBRL","NASDAQ"
2019-07-09,170.42,173.15,170.34,172.98,526700,"CBRL","NASDAQ"
2019-07-10,173.1,176.11,171.71,175.66,600500,"CBRL","NASDAQ"
2019-07-11,175.89,176.82,174.79,176.39,562800,"CBRL","NASDAQ"
2019-07-12,177.06,179.78,176.69,178.53,558700,"CBRL","NASDAQ"
2019-07-15,178.99,179.37,177.91,178.68,392200,"CBRL","NASDAQ"
2019-07-16,178.97,180.38,178.42,179.61,424300,"CBRL","NASDAQ"
2019-07-17,179.91,180.93,178.02,178.63,651900,"CBRL","NASDAQ"
2019-07-18,175.22,176.81,169.86,171.24,489600,"CBRL","NASDAQ"
2019-07-19,171.05,172.83,169.9299,170.19,354200,"CBRL","NASDAQ"
2019-07-22,170.83,171.0189,167.28,169.01,404000,"CBRL","NASDAQ"
2019-07-23,169.63,170.1,167.66,170.01,332200,"CBRL","NASDAQ"
2019-07-24,170.277,171.47,169,170.46,278700,"CBRL","NASDAQ"
2019-07-25,170.45,171.91,170.44,171.39,222900,"CBRL","NASDAQ"
2019-07-26,172.42,173.51,171.22,173,266000,"CBRL","NASDAQ"
2019-07-29,173.05,175.33,173.05,175.02,392500,"CBRL","NASDAQ"
2019-07-30,174.92,176.24,173.76,175.15,307300,"CBRL","NASDAQ"
2019-07-31,175.5532,175.88,172.77,173.71,241300,"CBRL","NASDAQ"
2019-08-01,174.23,175.13,170.49,171.55,271400,"CBRL","NASDAQ"
2019-08-02,171.72,173.19,171.64,172.25,337000,"CBRL","NASDAQ"
2019-08-05,170.96,171.93,165.17,165.69,463200,"CBRL","NASDAQ"
2019-08-06,165.71,168.67,165.34,167.49,294900,"CBRL","NASDAQ"
2019-08-07,166.66,169.23,166,168.87,403800,"CBRL","NASDAQ"
2019-08-08,169.49,170.83,168.615,169.93,391600,"CBRL","NASDAQ"
2019-08-09,170.08,172.78,169.745,171.69,538700,"CBRL","NASDAQ"
2019-08-12,171,171.61,169.2,171.25,279300,"CBRL","NASDAQ"
2019-08-13,171.3,173.87,170.42,172.1,304600,"CBRL","NASDAQ"
2019-08-14,171.54,172,165.71,166.44,345000,"CBRL","NASDAQ"
2019-08-15,166.15,166.4479,163.3,163.93,408900,"CBRL","NASDAQ"
2019-08-16,165.03,165.79,163.86,164.94,293000,"CBRL","NASDAQ"
2019-08-19,165.76,167.85,164.56,167.3,310400,"CBRL","NASDAQ"
2019-08-20,167.35,167.72,164.77,165.33,191500,"CBRL","NASDAQ"
2019-08-21,166.07,168.29,163.55,164.13,320200,"CBRL","NASDAQ"
2019-08-22,164.74,165.84,164.13,164.76,255000,"CBRL","NASDAQ"
2019-08-23,164.81,165.98,160.87,161.28,341800,"CBRL","NASDAQ"
2019-08-26,162.1,163.1,161.36,162.63,283200,"CBRL","NASDAQ"
2019-08-27,163.06,163.53,160.44,160.56,217500,"CBRL","NASDAQ"
2019-08-28,160.16,160.76,158.96,159.61,439700,"CBRL","NASDAQ"
2019-08-29,160.36,164.81,160.36,163.53,300900,"CBRL","NASDAQ"
2019-08-30,164.61,166.6,164.59,165.4,426200,"CBRL","NASDAQ"
