"times","open","high","low","close","volume","symbol","market"
2019-05-30,23.34,23.73,23.34,23.59,48700,"CCBG","NASDAQ"
2019-05-31,23.253,23.65,23.21,23.41,22000,"CCBG","NASDAQ"
2019-06-03,23.51,23.62,23.14,23.22,70500,"CCBG","NASDAQ"
2019-06-04,23.55,23.7,23.47,23.7,22700,"CCBG","NASDAQ"
2019-06-05,23.63,23.71,23.53,23.68,17800,"CCBG","NASDAQ"
2019-06-06,23.71,23.71,23.52,23.68,16700,"CCBG","NASDAQ"
2019-06-07,23.55,23.7,23.495,23.7,11200,"CCBG","NASDAQ"
2019-06-10,23.71,24.36,21.89,24.31,29700,"CCBG","NASDAQ"
2019-06-11,24.53,24.66,23.93,24.35,67800,"CCBG","NASDAQ"
2019-06-12,24.0467,24.67,24.047,24.49,27200,"CCBG","NASDAQ"
2019-06-13,24.64,24.64,23.97,24.48,21900,"CCBG","NASDAQ"
2019-06-14,24.6,24.75,24.3,24.66,30800,"CCBG","NASDAQ"
2019-06-17,24.74,24.75,24.2,24.52,20400,"CCBG","NASDAQ"
2019-06-18,24.224,24.75,24.2246,24.75,17000,"CCBG","NASDAQ"
2019-06-19,24.85,24.85,24.49,24.65,18200,"CCBG","NASDAQ"
2019-06-20,24.83,24.83,24.31,24.65,21500,"CCBG","NASDAQ"
2019-06-21,24.4274,24.85,24.325,24.85,80500,"CCBG","NASDAQ"
2019-06-24,24.85,24.85,24.44,24.72,34200,"CCBG","NASDAQ"
2019-06-25,24.78,24.8,24.5,24.63,38900,"CCBG","NASDAQ"
2019-06-26,24.6,24.65,24.42,24.52,29500,"CCBG","NASDAQ"
2019-06-27,24.52,24.8,24.48,24.8,66400,"CCBG","NASDAQ"
2019-06-28,24.8728,25,24.585,24.85,247100,"CCBG","NASDAQ"
2019-07-01,24.97,25.35,24.87,25.215,57200,"CCBG","NASDAQ"
2019-07-02,25.16,25.1909,24.57,24.65,35900,"CCBG","NASDAQ"
2019-07-03,24.8107,24.89,24.69,24.69,5700,"CCBG","NASDAQ"
2019-07-05,24.8,24.97,24.7,24.92,12600,"CCBG","NASDAQ"
2019-07-08,24.76,24.76,24.45,24.6,15100,"CCBG","NASDAQ"
2019-07-09,24.25,24.82,24.25,24.8,8700,"CCBG","NASDAQ"
2019-07-10,24.82,24.98,24.66,24.73,15600,"CCBG","NASDAQ"
2019-07-11,24.83,24.88,24.68,24.74,12600,"CCBG","NASDAQ"
2019-07-12,24.58,25.12,24.5799,24.74,33300,"CCBG","NASDAQ"
2019-07-15,24.92,24.92,24.33,24.56,13800,"CCBG","NASDAQ"
2019-07-16,24.5,24.84,24.31,24.72,11900,"CCBG","NASDAQ"
2019-07-17,24.66,24.75,24.55,24.66,15100,"CCBG","NASDAQ"
2019-07-18,24.63,24.88,24.63,24.74,14800,"CCBG","NASDAQ"
2019-07-19,24.66,24.86,24.49,24.65,12800,"CCBG","NASDAQ"
2019-07-22,24.44,24.8174,24.4,24.82,12800,"CCBG","NASDAQ"
2019-07-23,24.78,25.25,24.78,25.07,6600,"CCBG","NASDAQ"
2019-07-24,25.23,26.3,25.13,26.08,40500,"CCBG","NASDAQ"
2019-07-25,26.0287,26.15,25.73,25.73,21000,"CCBG","NASDAQ"
2019-07-26,25.83,25.95,25.64,25.79,28600,"CCBG","NASDAQ"
2019-07-29,25.87,26.28,23.7,26.08,41200,"CCBG","NASDAQ"
2019-07-30,25.95,26.55,25.9507,26.45,28300,"CCBG","NASDAQ"
2019-07-31,26.25,26.54,25.68,25.82,36600,"CCBG","NASDAQ"
2019-08-01,26.09,26.2,25.15,25.19,22900,"CCBG","NASDAQ"
2019-08-02,25.14,25.4,24.7,25.29,19300,"CCBG","NASDAQ"
2019-08-05,24.92,25.28,23.89,24.13,16300,"CCBG","NASDAQ"
2019-08-06,24.22,24.49,23.91,24.32,19200,"CCBG","NASDAQ"
2019-08-07,23.99,24.3511,23.99,24.15,9900,"CCBG","NASDAQ"
2019-08-08,24.18,25,24.18,24.64,18500,"CCBG","NASDAQ"
