"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.888,0.946,0.863,0.907,41400,"CCCL","NASDAQ"
2019-05-31,0.91,0.93,0.85,0.893,44000,"CCCL","NASDAQ"
2019-06-03,0.862,0.89,0.826,0.876,81300,"CCCL","NASDAQ"
2019-06-04,0.87,0.9,0.802,0.892,103900,"CCCL","NASDAQ"
2019-06-05,0.892,0.892,0.84,0.88,37800,"CCCL","NASDAQ"
2019-06-06,0.85,0.89,0.83,0.84,71600,"CCCL","NASDAQ"
2019-06-07,0.85,0.88,0.85,0.88,12900,"CCCL","NASDAQ"
2019-06-10,0.88,0.89,0.83,0.87,23200,"CCCL","NASDAQ"
2019-06-11,0.862,0.95,0.86,0.92,122400,"CCCL","NASDAQ"
2019-06-12,0.909,0.909,0.86,0.87,42100,"CCCL","NASDAQ"
2019-06-13,0.89,0.9,0.85,0.858,32700,"CCCL","NASDAQ"
2019-06-14,0.85,0.853,0.8,0.829,59500,"CCCL","NASDAQ"
2019-06-17,0.82,0.875,0.8,0.803,146800,"CCCL","NASDAQ"
2019-06-18,0.836,1,0.831,0.89,530200,"CCCL","NASDAQ"
2019-06-19,0.89,0.932,0.861,0.875,50700,"CCCL","NASDAQ"
2019-06-20,0.915,0.92,0.861,0.885,65100,"CCCL","NASDAQ"
2019-06-21,0.92,0.92,0.861,0.87,44000,"CCCL","NASDAQ"
2019-06-24,0.875,0.91,0.848,0.85,69300,"CCCL","NASDAQ"
2019-06-25,0.918,0.918,0.83,0.87,17900,"CCCL","NASDAQ"
2019-06-26,0.87,0.8699,0.81,0.829,48900,"CCCL","NASDAQ"
2019-06-27,0.85,0.85,0.811,0.829,31000,"CCCL","NASDAQ"
2019-06-28,0.84,0.892,0.8,0.89,82400,"CCCL","NASDAQ"
2019-07-01,0.9,0.987,0.8999,0.916,92500,"CCCL","NASDAQ"
2019-07-02,0.91,0.95,0.91,0.91,46500,"CCCL","NASDAQ"
2019-07-03,0.9,0.94,0.846,0.871,33100,"CCCL","NASDAQ"
2019-07-05,0.875,0.94,0.87,0.93,25600,"CCCL","NASDAQ"
2019-07-08,0.95,0.95,0.93,0.93,12400,"CCCL","NASDAQ"
2019-07-09,0.9,0.93,0.9,0.92,4600,"CCCL","NASDAQ"
2019-07-10,0.89,0.9,0.88,0.88,12400,"CCCL","NASDAQ"
2019-07-11,0.88,0.93,0.88,0.89,12600,"CCCL","NASDAQ"
2019-07-12,0.89,0.89,0.87,0.88,17200,"CCCL","NASDAQ"
2019-07-15,0.88,0.89,0.86,0.88,9900,"CCCL","NASDAQ"
2019-07-16,0.87,0.88,0.86,0.87,5500,"CCCL","NASDAQ"
2019-07-17,0.87,0.87,0.81,0.86,11200,"CCCL","NASDAQ"
2019-07-18,0.85,0.86,0.81,0.83,14300,"CCCL","NASDAQ"
2019-07-19,0.84,0.88,0.83,0.83,9100,"CCCL","NASDAQ"
2019-07-22,0.87,0.87,0.8,0.8,13100,"CCCL","NASDAQ"
2019-07-23,0.81,0.85,0.81,0.83,39500,"CCCL","NASDAQ"
2019-07-24,0.82,0.86,0.82,0.84,7000,"CCCL","NASDAQ"
2019-07-25,0.85,0.94,0.82,0.86,141600,"CCCL","NASDAQ"
2019-07-26,0.87,0.9,0.83,0.89,179200,"CCCL","NASDAQ"
2019-07-29,0.86,0.97,0.83,0.92,310600,"CCCL","NASDAQ"
2019-07-30,0.88,0.92,0.86,0.86,53700,"CCCL","NASDAQ"
2019-07-31,0.85,0.87,0.83,0.86,47700,"CCCL","NASDAQ"
2019-08-01,0.83,0.88,0.8,0.85,78700,"CCCL","NASDAQ"
2019-08-02,0.82,0.87,0.82,0.85,33900,"CCCL","NASDAQ"
2019-08-05,0.86,0.86,0.8,0.82,37700,"CCCL","NASDAQ"
2019-08-06,0.85,0.85,0.81,0.82,3100,"CCCL","NASDAQ"
2019-08-07,0.8,0.848,0.733,0.8,41800,"CCCL","NASDAQ"
2019-08-08,0.8,0.89,0.78,0.827,29800,"CCCL","NASDAQ"
2019-08-09,0.877,0.877,0.79,0.835,23400,"CCCL","NASDAQ"
2019-08-12,0.8,0.83,0.8,0.83,12900,"CCCL","NASDAQ"
2019-08-13,0.83,0.84,0.78,0.8,51300,"CCCL","NASDAQ"
2019-08-14,0.78,0.835,0.77,0.78,59100,"CCCL","NASDAQ"
2019-08-15,0.83,0.83,0.71,0.78,47100,"CCCL","NASDAQ"
2019-08-16,0.74,0.8,0.73,0.74,15300,"CCCL","NASDAQ"
2019-08-19,0.77,0.85,0.72,0.78,72800,"CCCL","NASDAQ"
2019-08-20,0.78,0.78,0.77,0.77,7900,"CCCL","NASDAQ"
2019-08-21,0.75,0.77,0.75,0.77,11300,"CCCL","NASDAQ"
2019-08-22,0.76,0.77,0.72,0.73,28500,"CCCL","NASDAQ"
2019-08-23,0.72,0.8,0.72,0.8,32400,"CCCL","NASDAQ"
2019-08-26,0.8,0.84,0.73,0.82,29900,"CCCL","NASDAQ"
2019-08-27,0.75,0.82,0.75,0.77,20100,"CCCL","NASDAQ"
2019-08-28,0.8,0.81,0.76,0.8,43300,"CCCL","NASDAQ"
2019-08-29,0.78,0.8,0.73,0.77,36400,"CCCL","NASDAQ"
2019-08-30,0.8,0.8,0.74,0.75,33600,"CCCL","NASDAQ"
2019-09-03,0.78,0.8,0.76,0.79,32800,"CCCL","NASDAQ"
2019-09-04,0.79,0.82,0.75,0.76,15800,"CCCL","NASDAQ"
2019-09-05,0.78,0.88,0.75,0.8,253200,"CCCL","NASDAQ"
2019-09-06,0.8,0.85,0.8,0.83,38600,"CCCL","NASDAQ"
2019-09-09,0.8,0.87,0.76,0.81,38700,"CCCL","NASDAQ"
2019-09-10,0.85,0.89,0.81,0.88,92500,"CCCL","NASDAQ"
2019-09-11,0.82,0.9,0.82,0.9,60800,"CCCL","NASDAQ"
2019-09-12,0.9,0.91,0.85,0.9,40000,"CCCL","NASDAQ"
2019-09-13,0.88,0.92,0.86,0.92,24100,"CCCL","NASDAQ"
2019-09-16,0.88,0.91,0.88,0.9,20700,"CCCL","NASDAQ"
2019-09-17,0.9,0.93,0.88,0.9,20700,"CCCL","NASDAQ"
2019-09-18,0.92,0.92,0.88,0.91,33800,"CCCL","NASDAQ"
2019-09-19,0.91,0.92,0.81,0.89,19200,"CCCL","NASDAQ"
2019-09-20,0.92,0.92,0.83,0.85,13200,"CCCL","NASDAQ"
2019-09-23,0.84,0.87,0.84,0.85,4300,"CCCL","NASDAQ"
2019-09-24,0.84,0.85,0.8,0.85,43600,"CCCL","NASDAQ"
2019-09-25,0.81,0.81,0.78,0.8,79700,"CCCL","NASDAQ"
2019-09-26,0.8,0.82,0.78,0.79,11000,"CCCL","NASDAQ"
2019-09-27,0.78,0.83,0.78,0.8,16400,"CCCL","NASDAQ"
2019-09-30,0.8,0.81,0.78,0.81,26800,"CCCL","NASDAQ"
2019-10-01,0.83,0.83,0.78,0.78,4100,"CCCL","NASDAQ"
2019-10-02,0.78,0.78,0.78,0.78,2200,"CCCL","NASDAQ"
2019-10-03,0.78,0.78,0.74,0.74,6800,"CCCL","NASDAQ"
2019-10-04,0.74,0.81,0.74,0.78,18200,"CCCL","NASDAQ"
2019-10-07,0.77,0.82,0.77,0.82,700,"CCCL","NASDAQ"
2019-10-08,0.77,0.81,0.74,0.74,10100,"CCCL","NASDAQ"
2019-10-09,0.74,0.78,0.61,0.73,73100,"CCCL","NASDAQ"
2019-10-10,0.73,0.78,0.71,0.76,23500,"CCCL","NASDAQ"
2019-10-11,0.73,0.78,0.69,0.78,80000,"CCCL","NASDAQ"
2019-10-14,0.75,0.81,0.7,0.75,103500,"CCCL","NASDAQ"
2019-10-15,0.75,0.88,0.75,0.84,311500,"CCCL","NASDAQ"
2019-10-16,0.8,0.85,0.74,0.75,72800,"CCCL","NASDAQ"
2019-10-17,0.75,0.84,0.75,0.76,45800,"CCCL","NASDAQ"
2019-10-18,0.8182,0.8197,0.76,0.76,14920,"CCCL","NASDAQ"
