"times","open","high","low","close","volume","symbol","market"
2019-05-30,18.85,18.97,18.8098,18.88,60100,"CCD","NASDAQ"
2019-05-31,18.8,18.8318,18.52,18.55,126900,"CCD","NASDAQ"
2019-06-03,18.67,18.69,18.21,18.4,155000,"CCD","NASDAQ"
2019-06-04,18.48,18.83,18.405,18.83,109600,"CCD","NASDAQ"
2019-06-05,18.91,18.99,18.71,18.97,125300,"CCD","NASDAQ"
2019-06-06,18.92,19.02,18.86,19.01,69900,"CCD","NASDAQ"
2019-06-07,19,19.19,19,19.13,78500,"CCD","NASDAQ"
2019-06-10,19.13,19.37,19.13,19.31,111000,"CCD","NASDAQ"
2019-06-11,19.48,19.66,19.321,19.66,98600,"CCD","NASDAQ"
2019-06-12,19.68,19.852,19.61,19.73,160100,"CCD","NASDAQ"
2019-06-13,19.65,19.65,19.52,19.54,45800,"CCD","NASDAQ"
2019-06-14,19.55,19.64,19.35,19.35,34000,"CCD","NASDAQ"
2019-06-17,19.35,19.601,19.35,19.38,23900,"CCD","NASDAQ"
2019-06-18,19.54,19.732,19.49,19.68,80300,"CCD","NASDAQ"
2019-06-19,19.78,20.01,19.694,20.01,54100,"CCD","NASDAQ"
2019-06-20,20.43,20.43,19.96,20.19,97900,"CCD","NASDAQ"
2019-06-21,20.18,20.26,20,20.09,39700,"CCD","NASDAQ"
2019-06-24,20.17,20.25,20,20.11,65700,"CCD","NASDAQ"
2019-06-25,20.21,20.21,19.52,19.73,79600,"CCD","NASDAQ"
2019-06-26,19.69,19.986,19.69,19.74,53100,"CCD","NASDAQ"
2019-06-27,19.88,19.98,19.8,19.94,25600,"CCD","NASDAQ"
2019-06-28,20,20.24,19.9,20.14,37700,"CCD","NASDAQ"
2019-07-01,20.33,20.3999,20.22,20.32,63400,"CCD","NASDAQ"
2019-07-02,20.3,20.5,20.29,20.495,56100,"CCD","NASDAQ"
2019-07-03,20.5,20.65,20.445,20.64,28300,"CCD","NASDAQ"
2019-07-05,20.4,20.66,20.4,20.48,46600,"CCD","NASDAQ"
2019-07-08,20.48,20.68,20.48,20.63,34500,"CCD","NASDAQ"
2019-07-09,20.69,20.99,20.57,20.83,85800,"CCD","NASDAQ"
2019-07-10,20.85,21.14,20.76,20.79,96500,"CCD","NASDAQ"
2019-07-11,21.01,21.01,20.53,20.61,90600,"CCD","NASDAQ"
2019-07-12,20.53,20.74,20.53,20.65,55600,"CCD","NASDAQ"
2019-07-15,20.74,20.7401,20.57,20.62,52400,"CCD","NASDAQ"
2019-07-16,20.62,20.7,20.57,20.65,66200,"CCD","NASDAQ"
2019-07-17,20.58,20.72,20.58,20.65,46700,"CCD","NASDAQ"
2019-07-18,20.68,20.87,20.62,20.84,71700,"CCD","NASDAQ"
2019-07-19,20.95,20.9722,20.8,20.96,77900,"CCD","NASDAQ"
2019-07-22,20.96,21,20.58,20.64,115600,"CCD","NASDAQ"
2019-07-23,20.57,20.8096,20.57,20.78,102600,"CCD","NASDAQ"
2019-07-24,20.84,21.1,20.8,21.05,62400,"CCD","NASDAQ"
2019-07-25,21.05,21.05,20.875,20.97,54300,"CCD","NASDAQ"
2019-07-26,21.01,21.011,20.91,20.97,34500,"CCD","NASDAQ"
2019-07-29,21.05,21.05,20.87,21.03,32400,"CCD","NASDAQ"
2019-07-30,20.98,21.004,20.81,20.97,70800,"CCD","NASDAQ"
2019-07-31,20.98,21.0002,20.63,20.73,104100,"CCD","NASDAQ"
2019-08-01,20.76,20.93,20.69,20.71,62700,"CCD","NASDAQ"
2019-08-02,20.83,20.83,20.449,20.53,41100,"CCD","NASDAQ"
2019-08-05,20.43,20.43,19.64,19.86,118900,"CCD","NASDAQ"
2019-08-06,20.05,20.39,20.01,20.37,80700,"CCD","NASDAQ"
2019-08-07,20.18,20.4,20.12,20.36,77900,"CCD","NASDAQ"
2019-08-08,20.3,20.56,20.25,20.56,101700,"CCD","NASDAQ"
2019-08-09,20.449,20.56,20.15,20.2,45000,"CCD","NASDAQ"
2019-08-12,20.11,20.2,19.84,19.9,61000,"CCD","NASDAQ"
2019-08-13,19.86,20.69,19.83,20.63,92100,"CCD","NASDAQ"
2019-08-14,20.4,20.49,19.92,20.18,79800,"CCD","NASDAQ"
2019-08-15,20.19,20.19,19.57,19.76,115500,"CCD","NASDAQ"
2019-08-16,19.95,20.06,19.88,19.88,47600,"CCD","NASDAQ"
2019-08-19,20.07,20.26,20.04,20.2,58800,"CCD","NASDAQ"
2019-08-20,20.31,20.81,20.161,20.54,124100,"CCD","NASDAQ"
2019-08-21,20.62,20.784,20.56,20.66,68000,"CCD","NASDAQ"
2019-08-22,20.84,20.938,20.49,20.52,50500,"CCD","NASDAQ"
2019-08-23,20.47,20.59,20.18,20.28,57000,"CCD","NASDAQ"
2019-08-26,20.33,20.389,19.92,19.92,113400,"CCD","NASDAQ"
2019-08-27,20.04,20.195,19.93,19.95,72800,"CCD","NASDAQ"
2019-08-28,19.92,20.01,19.801,19.82,106400,"CCD","NASDAQ"
2019-08-29,19.89,20.02,19.83,19.92,75300,"CCD","NASDAQ"
2019-08-30,20,20.17,19.75,19.765,84200,"CCD","NASDAQ"
2019-09-03,19.7,19.869,19.64,19.84,65900,"CCD","NASDAQ"
2019-09-04,19.98,20.17,19.874,20.13,59600,"CCD","NASDAQ"
2019-09-05,20.18,20.3,20.06,20.25,64500,"CCD","NASDAQ"
2019-09-06,20.18,20.25,19.91,20.19,90100,"CCD","NASDAQ"
2019-09-09,20.28,20.323,20.111,20.29,45500,"CCD","NASDAQ"
2019-09-10,20.17,20.21,19.93,20.14,67500,"CCD","NASDAQ"
2019-09-11,20.07,20.4,20.07,20.4,42100,"CCD","NASDAQ"
2019-09-12,20.4,20.609,20.4,20.53,42900,"CCD","NASDAQ"
2019-09-13,20.38,20.47,20.33,20.415,45100,"CCD","NASDAQ"
2019-09-16,20.32,20.32,20.16,20.16,46700,"CCD","NASDAQ"
2019-09-17,20.01,20.45,20.01,20.45,74500,"CCD","NASDAQ"
2019-09-18,20.34,20.45,20.14,20.23,56000,"CCD","NASDAQ"
2019-09-19,20.3,20.51,20.24,20.45,50100,"CCD","NASDAQ"
2019-09-20,20.38,20.59,20.38,20.41,99900,"CCD","NASDAQ"
2019-09-23,20.27,20.64,20.27,20.54,61700,"CCD","NASDAQ"
2019-09-24,20.71,20.74,20.42,20.54,51600,"CCD","NASDAQ"
2019-09-25,20.4,20.45,20.15,20.26,70800,"CCD","NASDAQ"
