"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.36,3.385,3.26,3.26,127900,"CCLP","NASDAQ"
2019-05-31,3.22,3.25,3.18,3.22,80100,"CCLP","NASDAQ"
2019-06-03,3.21,3.229,3.15,3.16,97600,"CCLP","NASDAQ"
2019-06-04,3.17,3.24,3.12,3.2,270400,"CCLP","NASDAQ"
2019-06-05,3.19,3.21,3.01,3.12,162400,"CCLP","NASDAQ"
2019-06-06,3.12,3.1848,3.085,3.15,115100,"CCLP","NASDAQ"
2019-06-07,3.13,3.24,3.076,3.22,88100,"CCLP","NASDAQ"
2019-06-10,3.21,3.29,3.21,3.29,69300,"CCLP","NASDAQ"
2019-06-11,3.28,3.41,3.239,3.38,84900,"CCLP","NASDAQ"
2019-06-12,3.34,3.39,3.31,3.33,71200,"CCLP","NASDAQ"
2019-06-13,3.35,3.35,3.3098,3.32,82100,"CCLP","NASDAQ"
2019-06-14,3.32,3.35,3.24,3.28,47100,"CCLP","NASDAQ"
2019-06-17,3.25,3.29,3.23,3.26,84300,"CCLP","NASDAQ"
2019-06-18,3.26,3.35,3.26,3.31,83800,"CCLP","NASDAQ"
2019-06-19,3.28,3.39,3.2799,3.37,98000,"CCLP","NASDAQ"
2019-06-20,3.39,3.4,3.327,3.375,1117500,"CCLP","NASDAQ"
2019-06-21,3.37,3.39,3.339,3.37,65100,"CCLP","NASDAQ"
2019-06-24,3.37,3.39,3.3,3.35,65900,"CCLP","NASDAQ"
2019-06-25,3.33,3.53,3.33,3.5,239600,"CCLP","NASDAQ"
2019-06-26,3.5,3.534,3.47,3.48,43800,"CCLP","NASDAQ"
2019-06-27,3.47,3.6,3.41,3.53,686800,"CCLP","NASDAQ"
2019-06-28,3.52,3.56,3.5,3.54,127900,"CCLP","NASDAQ"
2019-07-01,3.56,3.61,3.48,3.56,179300,"CCLP","NASDAQ"
2019-07-02,3.53,3.54,3.48,3.53,60100,"CCLP","NASDAQ"
2019-07-03,3.54,3.5903,3.45,3.55,137400,"CCLP","NASDAQ"
2019-07-05,3.55,3.64,3.5,3.59,188400,"CCLP","NASDAQ"
2019-07-08,3.58,3.61,3.55,3.58,91800,"CCLP","NASDAQ"
2019-07-09,3.55,3.59,3.46,3.58,171800,"CCLP","NASDAQ"
2019-07-10,3.57,3.64,3.55,3.61,105700,"CCLP","NASDAQ"
2019-07-11,3.6,3.71,3.6,3.7,287900,"CCLP","NASDAQ"
2019-07-12,3.73,3.74,3.67,3.72,340700,"CCLP","NASDAQ"
2019-07-15,3.73,3.73,3.56,3.64,223900,"CCLP","NASDAQ"
2019-07-16,3.66,3.72,3.62,3.66,186500,"CCLP","NASDAQ"
2019-07-17,3.6597,3.68,3.57,3.57,183000,"CCLP","NASDAQ"
2019-07-18,3.57,3.6,3.5,3.55,88900,"CCLP","NASDAQ"
2019-07-19,3.54,3.56,3.5004,3.53,385700,"CCLP","NASDAQ"
2019-07-22,3.51,3.5498,3.5,3.52,301000,"CCLP","NASDAQ"
2019-07-23,3.54,3.57,3.43,3.5,322800,"CCLP","NASDAQ"
2019-07-24,3.48,3.55,3.48,3.48,59100,"CCLP","NASDAQ"
2019-07-25,3.48,3.51,3.42,3.45,200200,"CCLP","NASDAQ"
2019-07-26,3.43,3.45,3.41,3.44,56000,"CCLP","NASDAQ"
2019-07-29,3.43,3.53,3.35,3.48,296700,"CCLP","NASDAQ"
