"times","open","high","low","close","volume","symbol","market"
2019-05-30,99.42,100.703,99.4298,100.14,171300,"CCMP","NASDAQ"
2019-05-31,99.32,99.71,97.2382,97.47,215200,"CCMP","NASDAQ"
2019-06-03,97.79,99.85,97.319,99.63,246100,"CCMP","NASDAQ"
2019-06-04,101.07,103.065,100.46,102.8,286100,"CCMP","NASDAQ"
2019-06-05,103.55,103.81,100.7,101.89,174800,"CCMP","NASDAQ"
2019-06-06,101.82,104.48,100.56,104.36,322000,"CCMP","NASDAQ"
2019-06-07,104.87,106.35,103.745,105.2,209800,"CCMP","NASDAQ"
2019-06-10,105.9,109.24,105.25,108.49,174600,"CCMP","NASDAQ"
2019-06-11,110.0846,110.31,108.355,108.89,157600,"CCMP","NASDAQ"
2019-06-12,107.8,108.6,105.495,106.54,150300,"CCMP","NASDAQ"
2019-06-13,107.11,108.63,107.11,108,142400,"CCMP","NASDAQ"
2019-06-14,106.61,107.19,105.31,105.44,131600,"CCMP","NASDAQ"
2019-06-17,105.2,106.25,103.53,103.62,199500,"CCMP","NASDAQ"
2019-06-18,104.71,108.0685,103.32,107.01,259300,"CCMP","NASDAQ"
2019-06-19,108.03,108.03,105.78,106.75,187900,"CCMP","NASDAQ"
2019-06-20,109.37,111.59,108.14,111.17,218400,"CCMP","NASDAQ"
2019-06-21,110.66,112.64,108.69,109.34,433700,"CCMP","NASDAQ"
2019-06-24,109.46,109.46,107.13,107.21,207200,"CCMP","NASDAQ"
2019-06-25,106.96,108.69,105.67,106.49,285500,"CCMP","NASDAQ"
2019-06-26,108.27,110.34,106.655,109.26,224100,"CCMP","NASDAQ"
2019-06-27,109.81,112,109.27,111.62,165900,"CCMP","NASDAQ"
2019-06-28,112.51,113.12,109.87,110.08,492200,"CCMP","NASDAQ"
2019-07-01,113.26,114.92,111.93,113.75,248700,"CCMP","NASDAQ"
2019-07-02,113.79,113.79,110.485,111.26,134200,"CCMP","NASDAQ"
2019-07-03,111.86,111.86,109.42,110.38,54400,"CCMP","NASDAQ"
2019-07-05,109.61,110.312,107.9,110.03,122100,"CCMP","NASDAQ"
2019-07-08,109.74,110.73,108.28,109.52,257600,"CCMP","NASDAQ"
2019-07-09,108.23,110.11,107.86,109.74,188300,"CCMP","NASDAQ"
2019-07-10,110.79,112.85,109.38,110.94,338600,"CCMP","NASDAQ"
2019-07-11,111.6,111.75,110.28,110.91,154500,"CCMP","NASDAQ"
2019-07-12,111.28,113.54,110.36,112.82,190500,"CCMP","NASDAQ"
2019-07-15,113.27,113.49,110.67,111.77,172500,"CCMP","NASDAQ"
2019-07-16,111.69,112.1,109.99,110.52,135200,"CCMP","NASDAQ"
2019-07-17,110.74,111.83,110.07,110.32,160800,"CCMP","NASDAQ"
2019-07-18,110.4,112.52,110.4,112.16,137600,"CCMP","NASDAQ"
2019-07-19,111.99,112.89,111.06,111.86,160800,"CCMP","NASDAQ"
2019-07-22,112.59,115.9079,112.59,115.15,156800,"CCMP","NASDAQ"
2019-07-23,115.86,118.1301,115.55,117.64,149800,"CCMP","NASDAQ"
