"times","open","high","low","close","volume","symbol","market"
2019-05-30,12.36,12.475,11.67,11.81,208900,"CCXI","NASDAQ"
2019-05-31,11.65,11.65,11.25,11.28,271600,"CCXI","NASDAQ"
2019-06-03,11.3,11.4,11.02,11.2,238300,"CCXI","NASDAQ"
2019-06-04,11.28,11.2801,10.83,11.08,272800,"CCXI","NASDAQ"
2019-06-05,8.24,9.75,8.06,8.96,3358500,"CCXI","NASDAQ"
2019-06-06,9.02,9.27,8.25,8.71,909800,"CCXI","NASDAQ"
2019-06-07,8.72,8.88,8.56,8.66,428800,"CCXI","NASDAQ"
2019-06-10,8.67,8.88,8.44,8.58,329800,"CCXI","NASDAQ"
2019-06-11,8.69,8.7,8.27,8.31,433600,"CCXI","NASDAQ"
2019-06-12,8.3003,8.83,8.275,8.69,384500,"CCXI","NASDAQ"
2019-06-13,8.74,8.92,8.61,8.68,274800,"CCXI","NASDAQ"
2019-06-14,8.62,8.75,8.32,8.34,228600,"CCXI","NASDAQ"
2019-06-17,8.67,8.88,8.4498,8.78,318500,"CCXI","NASDAQ"
2019-06-18,8.81,8.89,8.65,8.71,554200,"CCXI","NASDAQ"
2019-06-19,8.75,8.87,8.44,8.57,314900,"CCXI","NASDAQ"
2019-06-20,8.59,8.91,8.57,8.85,374400,"CCXI","NASDAQ"
2019-06-21,8.82,8.88,8.44,8.7,2098500,"CCXI","NASDAQ"
2019-06-24,8.68,8.84,8.5,8.53,648400,"CCXI","NASDAQ"
2019-06-25,8.6,8.99,8.5,8.72,626500,"CCXI","NASDAQ"
2019-06-26,8.77,8.88,8.58,8.69,397400,"CCXI","NASDAQ"
2019-06-27,8.7,8.955,8.7,8.94,464700,"CCXI","NASDAQ"
2019-06-28,8.97,9.549,8.74,9.3,2908100,"CCXI","NASDAQ"
2019-07-01,9.33,9.4,8.7512,8.96,670700,"CCXI","NASDAQ"
2019-07-02,9,9,8.61,8.81,329000,"CCXI","NASDAQ"
2019-07-03,8.85,9.03,8.68,8.89,260600,"CCXI","NASDAQ"
2019-07-05,8.89,9.02,8.83,8.89,222800,"CCXI","NASDAQ"
2019-07-08,8.9,8.9,8.25,8.47,708500,"CCXI","NASDAQ"
2019-07-09,8.41,8.85,8.41,8.83,252600,"CCXI","NASDAQ"
2019-07-10,8.85,9,8.65,8.86,313500,"CCXI","NASDAQ"
2019-07-11,8.86,8.95,8.64,8.67,201200,"CCXI","NASDAQ"
2019-07-12,8.65,8.68,8.45,8.5,246000,"CCXI","NASDAQ"
2019-07-15,8.52,8.56,8.25,8.26,309400,"CCXI","NASDAQ"
2019-07-16,8.31,8.37,8.05,8.27,317200,"CCXI","NASDAQ"
2019-07-17,8.27,8.29,7.93,8.11,336900,"CCXI","NASDAQ"
2019-07-18,8.09,8.33,7.96,8.28,277100,"CCXI","NASDAQ"
2019-07-19,8.2799,8.31,8.1,8.16,265000,"CCXI","NASDAQ"
2019-07-22,8.21,8.33,8.0997,8.29,239200,"CCXI","NASDAQ"
2019-07-23,8.32,8.3301,8.12,8.15,203500,"CCXI","NASDAQ"
2019-07-24,8.15,8.15,7.86,7.96,349900,"CCXI","NASDAQ"
2019-07-25,7.95,7.97,7.5,7.53,350200,"CCXI","NASDAQ"
2019-07-26,7.58,7.75,7.58,7.74,303600,"CCXI","NASDAQ"
2019-07-29,7.76,7.98,7.64,7.95,204100,"CCXI","NASDAQ"
2019-07-30,7.91,8.16,7.91,8.09,301600,"CCXI","NASDAQ"
2019-07-31,8,8.13,7.96,7.98,318200,"CCXI","NASDAQ"
2019-08-01,8.03,8.13,7.87,7.92,374500,"CCXI","NASDAQ"
2019-08-02,7.88,8.12,7.75,7.87,244400,"CCXI","NASDAQ"
2019-08-05,7.7,7.78,7.45,7.62,345400,"CCXI","NASDAQ"
2019-08-06,7.3301,7.71,6.16,6.88,1163700,"CCXI","NASDAQ"
2019-08-07,6.7,7.08,6.52,6.91,394700,"CCXI","NASDAQ"
2019-08-08,6.91,7.17,6.91,7.11,516000,"CCXI","NASDAQ"
2019-08-09,7.11,7.46,6.83,6.84,441500,"CCXI","NASDAQ"
2019-08-12,6.79,7.1,6.535,6.75,464900,"CCXI","NASDAQ"
2019-08-13,6.75,7.08,6.71,7.02,386000,"CCXI","NASDAQ"
2019-08-14,6.94,7.08,6.79,6.81,681700,"CCXI","NASDAQ"
2019-08-15,6.84,7,6.37,6.47,901500,"CCXI","NASDAQ"
2019-08-16,6.52,6.89,6.52,6.72,491800,"CCXI","NASDAQ"
2019-08-19,6.93,7.13,6.63,7.09,322600,"CCXI","NASDAQ"
2019-08-20,7.11,7.25,6.86,7.07,212800,"CCXI","NASDAQ"
2019-08-21,7.14,7.32,6.94,7.12,244100,"CCXI","NASDAQ"
2019-08-22,7.09,7.13,6.72,6.95,320200,"CCXI","NASDAQ"
2019-08-23,6.93,7.13,6.67,6.7,271500,"CCXI","NASDAQ"
2019-08-26,6.76,6.83,6.62,6.8,176200,"CCXI","NASDAQ"
2019-08-27,6.86,7.09,6.61,6.62,211000,"CCXI","NASDAQ"
2019-08-28,6.58,6.98,6.58,6.75,178700,"CCXI","NASDAQ"
2019-08-29,6.8,6.84,6.6,6.76,324300,"CCXI","NASDAQ"
2019-08-30,6.74,6.82,6.57,6.66,131500,"CCXI","NASDAQ"
2019-09-03,6.6,6.76,6.5,6.6,461000,"CCXI","NASDAQ"
2019-09-04,6.68,6.74,6.55,6.69,222400,"CCXI","NASDAQ"
2019-09-05,6.78,7,6.63,6.96,667500,"CCXI","NASDAQ"
2019-09-06,7.01,7.25,6.85,6.86,468000,"CCXI","NASDAQ"
2019-09-09,6.9,7.36,6.75,7.2,421900,"CCXI","NASDAQ"
2019-09-10,7.19,7.68,7.1,7.59,292500,"CCXI","NASDAQ"
2019-09-11,7.65,7.76,7.63,7.7,198300,"CCXI","NASDAQ"
2019-09-12,8.43,8.43,7.44,7.64,558000,"CCXI","NASDAQ"
2019-09-13,7.67,7.85,7.32,7.58,522400,"CCXI","NASDAQ"
2019-09-16,7.55,7.71,7.38,7.63,354500,"CCXI","NASDAQ"
2019-09-17,7.62,7.79,7.45,7.58,252600,"CCXI","NASDAQ"
2019-09-18,7.57,7.7,7.22,7.25,475600,"CCXI","NASDAQ"
2019-09-19,7.57,7.95,7.41,7.59,607000,"CCXI","NASDAQ"
2019-09-20,7.58,7.82,7.09,7.5,2947500,"CCXI","NASDAQ"
2019-09-23,7.4,7.41,7.14,7.23,214600,"CCXI","NASDAQ"
2019-09-24,7.33,7.33,6.78,6.92,445500,"CCXI","NASDAQ"
2019-09-25,6.93,6.99,6.77,6.81,232600,"CCXI","NASDAQ"
2019-09-26,6.81,6.92,6.54,6.6,223700,"CCXI","NASDAQ"
2019-09-27,6.6,6.88,6.47,6.55,405800,"CCXI","NASDAQ"
2019-09-30,6.59,6.8,6.44,6.78,331600,"CCXI","NASDAQ"
2019-10-01,6.78,7.07,6.73,6.81,295900,"CCXI","NASDAQ"
2019-10-02,6.77,6.91,6.49,6.89,337500,"CCXI","NASDAQ"
2019-10-03,6.92,7.24,6.77,7.21,386600,"CCXI","NASDAQ"
2019-10-04,7.16,7.28,7.03,7.16,292900,"CCXI","NASDAQ"
2019-10-07,7.18,7.41,7.09,7.35,247000,"CCXI","NASDAQ"
2019-10-08,7.26,7.34,7.03,7.31,488100,"CCXI","NASDAQ"
2019-10-09,7.38,7.51,7.31,7.4,334400,"CCXI","NASDAQ"
2019-10-10,7.43,7.75,7.34,7.72,335800,"CCXI","NASDAQ"
2019-10-11,7.8,7.85,7.56,7.59,497200,"CCXI","NASDAQ"
2019-10-14,7.6,7.64,7.19,7.27,266400,"CCXI","NASDAQ"
2019-10-15,7.35,7.86,7.22,7.75,397500,"CCXI","NASDAQ"
2019-10-16,7.73,8.04,7.59,7.65,259200,"CCXI","NASDAQ"
2019-10-17,7.7,8.03,7.7,7.99,273200,"CCXI","NASDAQ"
2019-10-18,7.97,8.1784,7.7,7.74,361092,"CCXI","NASDAQ"
