"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.47,8.53,8.09,8.09,2497400,"CDEV","NASDAQ"
2019-05-31,7.91,8.16,7.78,7.9,2769200,"CDEV","NASDAQ"
2019-06-03,8,8.06,7.77,7.85,3770200,"CDEV","NASDAQ"
2019-06-04,7.96,8.04,7.83,8,3476900,"CDEV","NASDAQ"
2019-06-05,8,8.07,7.42,7.55,3392800,"CDEV","NASDAQ"
2019-06-06,7.55,7.67,7.27,7.46,3106300,"CDEV","NASDAQ"
2019-06-07,7.39,7.42,7.02,7.34,4801000,"CDEV","NASDAQ"
2019-06-10,7.38,7.555,7.27,7.3,3199400,"CDEV","NASDAQ"
2019-06-11,7.42,7.45,7.005,7.08,4603600,"CDEV","NASDAQ"
2019-06-12,6.9796,7,6.62,6.69,4292300,"CDEV","NASDAQ"
2019-06-13,6.82,6.9,6.6,6.89,7429200,"CDEV","NASDAQ"
2019-06-14,6.88,7,6.22,6.4,6303600,"CDEV","NASDAQ"
2019-06-17,6.35,6.96,6.25,6.91,4961200,"CDEV","NASDAQ"
2019-06-18,6.95,7.232,6.83,6.95,3704200,"CDEV","NASDAQ"
2019-06-19,6.95,7.24,6.741,6.98,3268600,"CDEV","NASDAQ"
2019-06-20,7.18,7.58,7.105,7.4,3724700,"CDEV","NASDAQ"
2019-06-21,7.39,7.5,7.175,7.27,2559700,"CDEV","NASDAQ"
2019-06-24,7.27,7.47,7.23,7.27,2530300,"CDEV","NASDAQ"
2019-06-25,7.23,7.39,7.15,7.21,5349500,"CDEV","NASDAQ"
2019-06-26,7.32,7.675,7.22,7.32,5608600,"CDEV","NASDAQ"
2019-06-27,7.34,7.47,7.21,7.31,2488200,"CDEV","NASDAQ"
2019-06-28,7.37,7.64,7.37,7.59,3097300,"CDEV","NASDAQ"
2019-07-01,7.74,7.83,7.48,7.58,3040600,"CDEV","NASDAQ"
2019-07-02,7.57,7.67,7.37,7.45,3334500,"CDEV","NASDAQ"
2019-07-03,7.48,7.49,7.24,7.34,1508400,"CDEV","NASDAQ"
2019-07-05,7.3,7.53,7.29,7.52,1976300,"CDEV","NASDAQ"
2019-07-08,7.27,7.49,7.165,7.18,2445500,"CDEV","NASDAQ"
2019-07-09,7.13,7.14,6.87,6.91,5172200,"CDEV","NASDAQ"
2019-07-10,7.04,7.5952,6.99,7.54,4995600,"CDEV","NASDAQ"
2019-07-11,7.53,7.6,7.24,7.4,5517800,"CDEV","NASDAQ"
2019-07-12,7.37,7.745,7.36,7.63,3652900,"CDEV","NASDAQ"
2019-07-15,7.5598,7.61,6.88,6.89,5921900,"CDEV","NASDAQ"
2019-07-16,6.88,6.965,6.34,6.59,5369000,"CDEV","NASDAQ"
2019-07-17,6.43,6.43,6.07,6.13,3491600,"CDEV","NASDAQ"
2019-07-18,6.12,6.22,6.05,6.1,3748900,"CDEV","NASDAQ"
2019-07-19,6.09,6.28,5.93,6.24,3854800,"CDEV","NASDAQ"
2019-07-22,6.27,6.43,6,6.09,4670100,"CDEV","NASDAQ"
2019-07-23,6.05,6.27,6.025,6.25,3461000,"CDEV","NASDAQ"
2019-07-24,6.24,6.41,6.1402,6.22,3335000,"CDEV","NASDAQ"
2019-07-25,6.27,6.28,5.76,5.81,3058900,"CDEV","NASDAQ"
2019-07-26,5.79,5.93,5.58,5.69,2783200,"CDEV","NASDAQ"
2019-07-29,5.74,5.74,5.3396,5.48,4293900,"CDEV","NASDAQ"
2019-07-30,5.4204,6.059,5.35,5.94,6632700,"CDEV","NASDAQ"
2019-07-31,5.95,6.23,5.81,5.95,5299100,"CDEV","NASDAQ"
2019-08-01,5.82,5.82,5.25,5.36,6957500,"CDEV","NASDAQ"
2019-08-02,5.36,5.45,5.17,5.32,5090200,"CDEV","NASDAQ"
2019-08-05,5.17,5.33,5.04,5.24,7098700,"CDEV","NASDAQ"
2019-08-06,5.5,5.63,4.63,4.73,12912800,"CDEV","NASDAQ"
2019-08-07,4.61,4.73,4.42,4.69,10378600,"CDEV","NASDAQ"
2019-08-08,4.8,4.975,4.48,4.7,9492100,"CDEV","NASDAQ"
2019-08-09,4.75,4.77,4.52,4.6,6223800,"CDEV","NASDAQ"
2019-08-12,4.58,4.72,4.5,4.53,4033300,"CDEV","NASDAQ"
2019-08-13,4.48,4.65,4.39,4.52,4626100,"CDEV","NASDAQ"
2019-08-14,4.47,4.47,4.08,4.1,5807200,"CDEV","NASDAQ"
2019-08-15,4.06,4.15,3.92,3.96,6675900,"CDEV","NASDAQ"
2019-08-16,3.9601,4.29,3.92,4.28,7187400,"CDEV","NASDAQ"
2019-08-19,4.38,4.66,4.31,4.65,7207400,"CDEV","NASDAQ"
2019-08-20,4.62,4.89,4.575,4.82,5995200,"CDEV","NASDAQ"
2019-08-21,4.89,4.96,4.64,4.7,5098200,"CDEV","NASDAQ"
2019-08-22,4.72,4.8,4.55,4.56,4116300,"CDEV","NASDAQ"
2019-08-23,4.43,4.69,4.28,4.3,5456800,"CDEV","NASDAQ"
2019-08-26,4.4,4.62,4.32,4.45,4486500,"CDEV","NASDAQ"
2019-08-27,4.48,4.515,4.28,4.36,3743900,"CDEV","NASDAQ"
2019-08-28,4.44,4.8,4.44,4.58,3776400,"CDEV","NASDAQ"
2019-08-29,4.64,4.92,4.57,4.86,3193600,"CDEV","NASDAQ"
2019-08-30,4.98,4.98,4.725,4.82,4296400,"CDEV","NASDAQ"
2019-09-03,4.69,4.85,4.485,4.8,5608000,"CDEV","NASDAQ"
2019-09-04,4.97,5.275,4.905,5.1,4508100,"CDEV","NASDAQ"
2019-09-05,5,5.12,4.76,4.81,6151800,"CDEV","NASDAQ"
2019-09-06,4.78,4.87,4.55,4.57,6449300,"CDEV","NASDAQ"
2019-09-09,4.7,4.87,4.59,4.71,20070300,"CDEV","NASDAQ"
2019-09-10,4.71,5.02,4.65,4.78,22247700,"CDEV","NASDAQ"
2019-09-11,4.86,5.04,4.44,4.6,9958800,"CDEV","NASDAQ"
2019-09-12,4.46,4.69,4.31,4.52,8646100,"CDEV","NASDAQ"
2019-09-13,4.62,4.715,4.355,4.41,6274000,"CDEV","NASDAQ"
2019-09-16,5.29,6.09,5.2,5.8,25742000,"CDEV","NASDAQ"
2019-09-17,5.72,5.75,4.81,4.84,11971500,"CDEV","NASDAQ"
2019-09-18,4.68,4.85,4.53,4.76,27959800,"CDEV","NASDAQ"
2019-09-19,4.8,4.87,4.64,4.72,10982900,"CDEV","NASDAQ"
2019-09-20,4.72,5.07,4.67,5.02,12451000,"CDEV","NASDAQ"
2019-09-23,4.99,5.05,4.76,4.97,5946300,"CDEV","NASDAQ"
2019-09-24,4.91,4.91,4.635,4.71,5605700,"CDEV","NASDAQ"
2019-09-25,4.64,4.66,4.365,4.61,6485800,"CDEV","NASDAQ"
2019-09-26,4.58,4.645,4.37,4.47,4833700,"CDEV","NASDAQ"
2019-09-27,4.38,4.62,4.345,4.515,4774800,"CDEV","NASDAQ"
2019-09-30,4.45,4.525,4.28,4.515,3837400,"CDEV","NASDAQ"
2019-10-01,4.58,4.605,4.05,4.08,9668800,"CDEV","NASDAQ"
2019-10-02,4.03,4.25,3.92,3.95,4696200,"CDEV","NASDAQ"
2019-10-03,3.93,4.06,3.715,4.005,6134000,"CDEV","NASDAQ"
2019-10-04,4.02,4.24,3.73,3.795,4732800,"CDEV","NASDAQ"
2019-10-07,3.8,3.97,3.66,3.83,4449100,"CDEV","NASDAQ"
2019-10-08,3.75,3.91,3.64,3.64,6479300,"CDEV","NASDAQ"
2019-10-09,3.72,3.787,3.55,3.62,4617700,"CDEV","NASDAQ"
2019-10-10,3.6,3.785,3.56,3.71,5166400,"CDEV","NASDAQ"
2019-10-11,3.75,3.85,3.68,3.7,4816500,"CDEV","NASDAQ"
2019-10-14,3.64,3.64,3.21,3.28,5248400,"CDEV","NASDAQ"
